청구정산마스터ID,계약ID,판매채널ID,판매채널명,대표콘텐츠명,정제_대표콘텐츠명,청구정산상태,승인상태,거래처명,계약명,계약종료일,계약콘텐츠수,담당자,담당부서,분리사유
601177,85795,449,아시아나IDT,보스,보스,종료,미승인,아시아나IDT,20260511_보스_아시아나IDT,2026-03-25,1,문솔,Sql Error,청구정산 후보
601176,85637,1360,대만-Renta,남사친 사용법 (대만 서드파티),남사친사용법,운영중,미승인,Papyless Taiwan Co.,20251201_그레이스 길들이기 (대만 서드파티)외5_Papyless Taiwan Co.,2026-05-07,1,이한별,해외사업팀,청구정산 후보
601175,85637,1360,대만-Renta,늪 속의 불 (대만 서드파티),늪속의불,운영중,미승인,Papyless Taiwan Co.,20251201_그레이스 길들이기 (대만 서드파티)외5_Papyless Taiwan Co.,2026-05-07,1,이한별,해외사업팀,청구정산 후보
601174,85637,1360,대만-Renta,백작가의 사생아가 결혼하면 (대만 서드파티),백작가의사생아가결혼하면,운영중,미승인,Papyless Taiwan Co.,20251201_그레이스 길들이기 (대만 서드파티)외5_Papyless Taiwan Co.,2026-05-07,1,이한별,해외사업팀,청구정산 후보
601173,85637,1360,대만-Renta,비아그라 저스트 프렌드 (대만 서드파티),비아그라저스트프렌드,운영중,미승인,Papyless Taiwan Co.,20251201_그레이스 길들이기 (대만 서드파티)외5_Papyless Taiwan Co.,2026-05-07,1,이한별,해외사업팀,청구정산 후보
601172,85637,1360,대만-Renta,"꽃은 꽃으로, 잎은 잎으로 (대만 서드파티)",꽃은꽃으로잎은잎으로,운영중,미승인,Papyless Taiwan Co.,20251201_그레이스 길들이기 (대만 서드파티)외5_Papyless Taiwan Co.,2026-05-07,1,이한별,해외사업팀,청구정산 후보
601171,85637,1360,대만-Renta,그레이스 길들이기 (대만 서드파티),그레이스길들이기,운영중,미승인,Papyless Taiwan Co.,20251201_그레이스 길들이기 (대만 서드파티)외5_Papyless Taiwan Co.,2026-05-07,1,이한별,해외사업팀,청구정산 후보
601170,85635,1361,대만-Renta(봄툰B2BC),역광의 이면 (대만 서드파티),역광의이면,운영중,미승인,Papyless Taiwan Co.,20251201_나비처럼 날아 벌처럼 쏘다 (대만 서드파티)외6_Papyless Taiwan Co.,2025-12-01,1,이한별,해외사업팀,청구정산 후보
601169,85635,1361,대만-Renta(봄툰B2BC),종막 (대만 서드파티),종막,운영중,미승인,Papyless Taiwan Co.,20251201_나비처럼 날아 벌처럼 쏘다 (대만 서드파티)외6_Papyless Taiwan Co.,2025-12-01,1,이한별,해외사업팀,청구정산 후보
601168,85635,1361,대만-Renta(봄툰B2BC),오늘부로 파트너십 종료합니다 (대만 서드파티),오늘부로파트너십종료합니다,운영중,미승인,Papyless Taiwan Co.,20251201_나비처럼 날아 벌처럼 쏘다 (대만 서드파티)외6_Papyless Taiwan Co.,2025-12-01,1,이한별,해외사업팀,청구정산 후보
601167,85635,1361,대만-Renta(봄툰B2BC),어느 쪽이 좋아? (대만 서드파티),어느쪽이좋아,운영중,미승인,Papyless Taiwan Co.,20251201_나비처럼 날아 벌처럼 쏘다 (대만 서드파티)외6_Papyless Taiwan Co.,2025-12-01,1,이한별,해외사업팀,청구정산 후보
601166,85635,1361,대만-Renta(봄툰B2BC),사랑도 재활용이 되나요? (대만 서드파티),사랑도재활용이되나요,운영중,미승인,Papyless Taiwan Co.,20251201_나비처럼 날아 벌처럼 쏘다 (대만 서드파티)외6_Papyless Taiwan Co.,2025-12-01,1,이한별,해외사업팀,청구정산 후보
601165,85635,1361,대만-Renta(봄툰B2BC),내가 싫어한 그 여자 (대만 서드파티),내가싫어한그여자,운영중,미승인,Papyless Taiwan Co.,20251201_나비처럼 날아 벌처럼 쏘다 (대만 서드파티)외6_Papyless Taiwan Co.,2025-12-01,1,이한별,해외사업팀,청구정산 후보
601164,85635,1361,대만-Renta(봄툰B2BC),나비처럼 날아 벌처럼 쏘다 (대만 서드파티),나비처럼날아벌처럼쏘다,운영중,미승인,Papyless Taiwan Co.,20251201_나비처럼 날아 벌처럼 쏘다 (대만 서드파티)외6_Papyless Taiwan Co.,2025-12-01,1,이한별,해외사업팀,청구정산 후보
601163,85634,31,카카오페이지(선투자),정보석 카카오 선투자 26차,정보석카카오선투자차,운영중,승인,주식회사 카카오엔터테인먼트,20260507_정보석 카카오 선투자 27차_주식회사 카카오엔터테인먼트,2026-05-07,1,홍지표,소설편집팀,청구정산 후보
