판매채널콘텐츠ID,콘텐츠ID,콘텐츠명,정제_콘텐츠명,판매채널ID,판매채널명,그룹콘텐츠ID,그룹콘텐츠명,플랫폼콘텐츠ID,콘텐츠형태,콘텐츠상태,최초연재일,담당자,담당부서,정산시작여부,제외사유
118962,118092,[정산정보없음]_연애담,연애담,1,봄툰KR(1068149784),463481,연애담,12258,소설,완결,2019-12-17,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
119102,118230,하라는 일은 안 하고,하라는일은안하고,1,봄툰KR(1068149784),463602,하라는일은안하고,14587,소설,완결,2020-08-21,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
119152,118279,소년의 봄에 내리는 비는,소년의봄에내리는비는,1,봄툰KR(1068149784),463647,소년의봄에내리는비는,15491,소설,완결,2020-10-08,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
119181,118308,제왕의 책사,제왕의책사,1,봄툰KR(1068149784),463674,제왕의책사,15984,소설,완결,2020-12-16,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
120681,119661,별의 호수,별의호수,1,봄툰KR(1068149784),421771,북팔,35257,소설,완결,2024-05-27,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
120688,119668,연월소하,연월소하,1,봄툰KR(1068149784),454245,스토리작,36205,소설,완결,2024-06-21,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
120691,119671,릴리아 그레이스,릴리아그레이스,1,봄툰KR(1068149784),464485,도서출판가하,36323,소설,완결,2024-06-25,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
120828,119804,피랍,피랍,1,봄툰KR(1068149784),464707,피랍,14682,소설,완결,2020-08-07,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
120842,119818,알아줘,알아줘,1,봄툰KR(1068149784),464721,알아줘,17067,소설,완결,2021-02-08,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
120860,119836,크로스오버(Crossover),크로스오버,1,봄툰KR(1068149784),464738,크로스오버(Crossover),19267,소설,완결,2021-07-29,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
121000,119972,다시 피는 꽃,다시피는꽃,1,봄툰KR(1068149784),464485,도서출판가하,36151,소설,완결,2024-06-19,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
121144,120109,화도월해,화도월해,1,봄툰KR(1068149784),464958,화도월해,14830,소설,완결,2020-08-28,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
121147,120112,온종일 현란한,온종일현란한,1,봄툰KR(1068149784),464961,온종일현란한,14909,소설,완결,2020-08-26,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
121188,120152,음양상열지사,음양상열지사,1,봄툰KR(1068149784),464998,음양상열지사,20150,소설,완결,2021-10-07,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
