amount_rule_status,default_feed_rows,offset_amount_from,period_file_count,platform,s2_amount_policy_locked,s2_gate,s2_projection_status,sale_amount_from,settlement_base_amount_from
needs_reconcile,0,없음 확인 필요,0,교보,False,대표월 fixture + 판매금액 산식 확정 전 S2 출력 금지,s2_projection_blocked_by_amount_or_policy,정산대상판매가총액 또는 판매가 x 판매수량,정산액
needs_policy,4242,미국 원천징수세 / 법인세 차감액 후보,1,구글,False,Google 금액 기준 확정 + 외화/세금 처리 전 S2 출력 금지,s2_projection_blocked_by_amount_or_policy,Publisher Revenue / Payment Amount 후보,법인세 차감 후 금액 또는 Publisher Revenue 후보
needs_policy,1008,마켓수수료(추정치) / 유상 이용권 보정,9,네이버,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,s2_projection_blocked_by_amount_or_policy,합계,"정산금액 있는 그룹만 직접 후보, 그 외 정책 필요"
needs_cancel_policy,74,취소금액,1,노벨피아,False,취소금액 처리 정책 확정 후 S2 출력,s2_projection_blocked_by_amount_or_policy,판매합계 또는 판매금액,정산금액
candidate_confirmed_after_reconcile,0,없음 확인 필요,0,로망띠끄,True,대표월 fixture + 총액 reconcile 후 출력,s2_projection_candidate_after_policy,판매액,정산액
needs_policy,0,취소액 / 앱마켓 수수료 / 앱마켓 취소액,0,리디북스,False,판매/취소/앱마켓 산식 확정 전 S2 출력 금지,s2_projection_blocked_by_amount_or_policy,판매액 + 단권/세트/대여 판매액 후보,정산액 / 앱마켓 정산대상액 후보
needs_policy,332,총 매출액-순 매출액 후보,1,모픽,False,총/순 매출 기준 확정 후 S2 출력,s2_projection_blocked_by_amount_or_policy,총 매출액 또는 순 매출액,정산액
needs_coin_policy,514,공제수수료 / 취소코인,1,무툰,False,코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지,s2_projection_blocked_by_amount_or_policy,합계 / 사용코인 후보,정산총액 또는 정산금액
needs_cancel_policy,118,구매취소 / 대여취소,1,문피아,False,취소/IOS/Google 포함 여부 확정 후 S2 출력,s2_projection_blocked_by_amount_or_policy,총매출,정산
needs_policy,125,결제수수료(원),2,미소설,False,지급액 컬럼 선택 기준 확정 후 S2 출력,s2_projection_blocked_by_amount_or_policy,전체매출(원),총지급액(원) 또는 지급액(원) ASP
blocked_until_settlement_basis,0,없음 확인 필요,0,미스터블루,False,정산기준액 정의 전 S2 출력 금지,s2_projection_blocked_by_amount_or_policy,작품별 합계(정액+종량) / 볼륨별 소계 후보,정산기준액 후보 없음. 정책 필요
candidate_confirmed_after_reconcile,1192,없음 확인 필요,1,밀리의서재,True,에피소드명 집계 단위 확정 + 총액 reconcile 후 출력,s2_projection_candidate_after_policy,발생 금액,정산 예정 금액 / 정산 금액
blocked_non_sales,0,없음,0,보인&국립장애인도서관,False,S2 판매상세가 아니라 구매/목록선정 자료로 판단. 기본 출력 금지,s2_projection_blocked_non_s2_source,판매가 / 구매비,정산기준액 없음
needs_derived_sale_policy,192,정산율 기반 파생 후보,1,부커스,False,판매금액 파생식 확정 전 S2 출력 금지,s2_projection_blocked_by_amount_or_policy,정가 x 열람 횟수 후보,정산 금액(원)
candidate_confirmed_after_reconcile,0,할인 / 수수료,0,북큐브,True,대표월 fixture + 할인/수수료 상계 기준 확정 후 출력,s2_projection_candidate_after_policy,판매액,정산액 / 정산대상금액
candidate_confirmed_after_reconcile,0,없음 확인 필요,0,북팔,True,보조 안내문 시트 제외 + 총액 reconcile 후 출력,s2_projection_candidate_after_policy,매출,수익금 / 수익
candidate_confirmed_after_reconcile,63,수수료,1,블라이스,True,수수료 컬럼명 정규화 + 총액 reconcile 후 출력,s2_projection_candidate_after_policy,판매액,정산금액
candidate_confirmed_after_reconcile,7,없음 확인 필요,1,스낵북,True,대표월 fixture + 총액 reconcile 후 출력,s2_projection_candidate_after_policy,판매(원),정산(원)
needs_subadapter_policy,176,취소금액 / 차감 / 취소코인,1,스토린랩,False,서브어댑터별 amount rule 확정 전 S2 출력 금지,s2_projection_blocked_by_amount_or_policy,판매금액 / 정액권 총매출액 / 판매총액 / 합계금액,정산액 / 입금액 / 상품별 정산금액
candidate_confirmed_after_reconcile,0,없음 확인 필요,0,신영미디어,True,대표월 fixture + 총액 reconcile 후 출력,s2_projection_candidate_after_policy,합계,소득액
needs_cancel_policy,0,판매형태=취소/원주문일시 기반 취소 처리,0,알라딘,False,판매/취소 행 처리 정책 확정 후 S2 출력,s2_projection_blocked_by_amount_or_policy,판매가,정산액
blocked_non_content_ledger,0,반품금액,0,알라딘 종이책,False,전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지,s2_projection_blocked_non_s2_source,출고금액 / 반품금액,현잔액 등 원장 금액
candidate_confirmed_after_reconcile,0,운영 수수료 합계 (원),0,에이블리,True,요약 시트 제외 + 총액 reconcile 후 출력,s2_projection_candidate_after_policy,판매 금액 합계 (원),정산 금액 합계 (원)
candidate_confirmed_after_reconcile,461,수수료,1,에피루스,True,대표월 fixture + 수수료 상계 정책 확인 후 출력,s2_projection_candidate_after_policy,판매금액,정산액
needs_policy,0,서점환불가 / 환불일 기반 취소 처리,0,예스24,False,판매가 기준/환불 처리 정책 확정 후 출력,s2_projection_blocked_by_amount_or_policy,서점판매가 또는 출판사판매가,출판사정산액
needs_fee_policy,0,앱스토어 수수료(원) / 올웨이즈 수수료(원),0,올툰,False,수수료 제외/순매출 기준 확정 후 S2 출력,s2_projection_blocked_by_amount_or_policy,총 매출액(원) / 코인 사용수량,정산 대상 금액(수수료 제외)
needs_policy,19607,취소 / 앱마켓수수료 / 서비스이용료,1,원스토어,False,판매/정액제/취소/수수료 산식 확정 전 S2 출력 금지,s2_projection_blocked_by_amount_or_policy,판매 / 합계 / 정액제 정산대상액 후보,정산지급액
needs_policy,883,없음 확인 필요,1,윌라,False,공급가/정가 판매금액 기준 확정 + 가격변동이력 제외 후 출력,s2_projection_blocked_by_amount_or_policy,공급가 또는 정가 후보,정산 금액
needs_derived_sale_policy,217,없음 확인 필요,5,조아라,False,단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지,s2_projection_blocked_by_amount_or_policy,단가 x 판매건수 / 금액 / 이용권 후보. 일부 단행본은 판매금액 불명,정산금액
needs_tax_policy,0,세액은 별도 보존. 상계 아님,0,카카오,False,과/면세 및 공급가액/공급대가 기준 확정 전 출력 금지,s2_projection_blocked_by_amount_or_policy,공급대가 또는 총합계-순매출 후보,공급가액
needs_coin_policy,25,공제수수료 / 취소코인,1,큐툰,False,코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지,s2_projection_blocked_by_amount_or_policy,합계 / 사용코인 후보,정산총액
needs_tax_split_policy,45,결제수수료,1,토스(구루컴퍼니),False,면세/과세 합산 기준 확정 후 출력,s2_projection_blocked_by_amount_or_policy,콘텐츠 매출금액,콘텐츠 정산금액 또는 면세+과세 합산
needs_contextual_amount_policy,3331,포인트 사용 후보,1,판무림,False,상단 문맥+반복 판매금액 flatten 전 S2 출력 금지,s2_projection_blocked_by_amount_or_policy,소장/대여/정액제/포인트 구간 판매금액 flatten 후 합산 후보,표지 정산비율 적용 여부 정책 필요
candidate_confirmed_after_reconcile,0,없음 확인 필요,0,피우리(누온),True,대표월 fixture + 판매가/매출액 기준 확인 후 출력,s2_projection_candidate_after_policy,매출액 또는 판매가 x 판매수,정산액
candidate_confirmed_after_reconcile,4,없음 확인 필요,1,피플앤스토리,True,샘플 행 적음. 다른 월 1개 추가 fixture 후 출력,s2_projection_candidate_after_policy,판매금액(원),정산금액(원)
needs_purchase_rental_policy,355,없음 확인 필요,1,하이북,False,구매/대여 합산 단위 확정 후 출력,s2_projection_blocked_by_amount_or_policy,판매금액(구매)+판매금액(대여) 또는 판매금액,정산금액(구매)+정산금액(대여) 또는 정산금액
needs_section_policy,9253,배분률 기반 차액 후보,1,한아름,False,구간 파서 + 시간/건당 과금 정책 확정 전 S2 출력 금지,s2_projection_blocked_by_amount_or_policy,건당 로그 금액 / 시간 로그 히트 기반 정책 필요,상단 정산금액 요약 및 배분률 대조
