platform,latest_period,latest_file_count,latest_files,all_file_count
교보,2025-11,1,교보\11월\2025년 11월 교보문고 정산상세.xlsx,2
구글,2026-04,1,구글\4월\2026년 4월 구글 정산상세(법인세).xlsx,11
네이버,2026-04,9,네이버\4월\2026년 4월 네이버 연재 정산상세.xlsx | 네이버\4월\2026년 4월 네이버 장르 정산상세.xlsx | 네이버\4월\선투자\2026년 4월 네이버 간딴 정산상세.xlsx | 네이버\4월\선투자\2026년 4월 네이버 김악개 정산상세.xlsx | 네이버\4월\선투자\2026년 4월 네이버 낙필 정산상세.xlsx | 네이버\4월\선투자\2026년 4월 네이버 북홀릭 정산상세.xlsx | 네이버\4월\선투자\2026년 4월 네이버 선투자 정산상세(통합).xlsx | 네이버\4월\선투자\2026년 4월 네이버 차라리 정산상세.xlsx | 네이버\4월\선투자\2026년 4월 네이버 호수 정산상세.xlsx,71
노벨피아,2026-04,1,노벨피아\4월\2026년 4월 노벨피아 정산상세.xlsx,8
로망띠끄,2025-11,1,로망띠끄\11월\2025년 11월 로망띠끄 정산상세.xlsx,3
리디북스,2025-12,1,리디북스\234\2025년 12월 리디 정산상세.xlsx,5
모픽,2026-04,1,모픽\4월\2026년 4월 모픽 정산상세.xlsx,8
무툰,2026-04,1,무툰\4월\2026년 4월 무툰 정산상세.xlsx,8
문피아,2026-04,1,문피아\4월\2026년 4월 문피아 정산상세.xlsx,8
미소설,2026-04,1,미소설\4월\2026년 4월 미소설 정산상세.xlsx,9
미스터블루,2025-11,1,미스터블루\11월\2025년 11월 미스터블루 정산상세.xlsx,4
밀리의서재,2026-04,1,밀리의서재\4월\2026년 4월 밀리의서재 정산상세.xlsx,8
보인&국립장애인도서관,2026-03,1,보인&국립장애인도서관\2026년 3월 국립장애인도서관 정산상세.xlsx,1
부커스,2026-04,2,부커스\4월\2026년 4월 부커스 정산상세 - 복사본.xlsx | 부커스\4월\2026년 4월 부커스 정산상세.xlsx,8
북큐브,2025-11,2,북큐브\11월\2025년 11월 북큐브(로맨스) 정산상세.xlsx | 북큐브\11월\2025년 11월 북큐브(판무) 정산상세.xlsx,6
북팔,2025-11,2,북팔\11월\2025년 11월 북팔 정산상세.xlsx | 북팔\11월\2025년 11월 북팔 핫딜수익금 정산상세.xlsx,4
블라이스,2026-04,1,블라이스\4월\2026년 4월 블라이스 정산상세.xlsx,8
스낵북,2026-03,1,스낵북\3월\2026년 3월 스낵북 정산상세.xlsx,6
스토린랩,2026-02,1,스토린랩\2월\2026년 2월 스토린랩 정산상세.xlsx,7
신영미디어,2025-09,1,신영미디어\2025년 9월 신영미디어 정산상세.xlsx,1
알라딘,2025-11,1,알라딘\11월\2025년 11월 알라딘 정산상세.xlsx,3
알라딘 종이책,2025-11,1,알라딘 종이책\11월\2025년 11월 알라딘 종이책 정산상세.xlsx,2
에이블리,2025-11,1,에이블리\11월\2025년 11월 에이블리 정산상세.xlsx,3
에피루스,2026-03,1,에피루스\3월\2026년 3월 에피루스 정산상세.xlsx,8
예스24,2025-11,1,예스24\11월\2025년 11월 예스24 정산상세.xlsx,2
올툰,2025-11,1,올툰\11월\2025년 11월 올툰 정산상세.xlsx,3
원스토어,2026-03,1,원스토어\3월\2026년 3월 원스토어 정산상세.xlsx,7
윌라,2026-03,1,윌라\3월\2026년 3월 윌라 정산상세.xlsx,7
조아라,2026-04,4,조아라\4월\로맨스\2026년 4월 조아라 로맨스 단행본 정산상세.xlsx | 조아라\4월\로맨스\2026년 4월 조아라 로맨스 정산상세.xlsx | 조아라\4월\판무\2026년 4월 조아라 판무 단행본 정산상세.xlsx | 조아라\4월\판무\2026년 4월 조아라 판무 정산상세.xlsx,39
카카오,2025-11,3,카카오\11월\2025년 11월 카카오 정산상세.xlsx | 카카오\11월\2025년 카카오 미발행건 정산상세.xlsx | 카카오\선투자\11월\2025년 11월 카카오(선투자) 정산상세.xlsx,9
큐툰,2026-04,1,큐툰\4월\2026년 4월 큐툰 정산상세.xlsx,8
토스(구루컴퍼니),2026-03,1,토스(구루컴퍼니)\3월\2026년 3월 토스 정산상세.xlsx,8
판무림,2026-04,1,판무림\4월\2026년 4월 판무림 정산상세.xlsx,8
피우리(누온),2025-11,1,피우리(누온)\11월\2025년 11월 누온(피우리) 정산상세.xlsx,3
피플앤스토리,2026-04,1,피플앤스토리\4월\2026년 4월 피플앤스토리 정산상세.xlsx,7
하이북,2026-04,1,하이북\4월\2026년 4월 하이북 정산상세.xlsx,7
한아름,2026-04,1,한아름\4월\2026년 4월 한아름 정산상세.xlsx,8
