relative_path,sheet,header_hits
구글\2월\2026년 2월 구글 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
구글\2월\2026년 2월 구글 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 판매금액
구글\4월\2026년 4월 구글 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
구글\4월\2026년 4월 구글 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 상계금액 | 판매금액
구글\25년\12월\2025년 12월 구글 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 정산기준액
네이버\4월\2026년 4월 네이버 연재 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 상계금액 | 판매금액
네이버\4월\2026년 4월 네이버 장르 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 상계금액 | 판매금액
네이버\4월\2026년 4월 네이버 통합 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 상계금액 | 판매금액
네이버\4월\2026년 4월 네이버 통합 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 상계금액 | 판매금액
노벨피아\4월\2026년 4월 노벨피아 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
노벨피아\4월\2026년 4월 노벨피아 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 상계금액 | 판매금액
모픽\4월\2026년 4월 모픽 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 상계금액
문피아\4월\2026년 4월 문피아 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 상계금액
미소설\4월\2026년 4월 미소설 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
미소설\4월\2026년 4월 미소설 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 상계금액 | 판매금액
밀리의서재\1월\2026년 1월 밀리의서재 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 판매금액
밀리의서재\4월\2026년 4월 밀리의서재 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 상계금액
부커스\2월\2026년 2월 부커스 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
부커스\2월\2026년 2월 부커스 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 판매금액
부커스\4월\2026년 4월 부커스 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 판매금액
에피루스\1월\2026년 1월 에피루스 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
에피루스\1월\2026년 1월 에피루스 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 판매금액
에피루스\2월\2026년 2월 에피루스 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
에피루스\2월\2026년 2월 에피루스 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 판매금액
에피루스\3월\2026년 3월 에피루스 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
에피루스\3월\2026년 3월 에피루스 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 상계금액 | 판매금액
