platform,relative_path,file_name,size_bytes,modified_at,human_filename_hits,audit_status,open_error,sheet_count,sheet_names
구글,구글\4월\2026년 4월 구글 정산상세(법인세).xlsx,2026년 4월 구글 정산상세(법인세).xlsx,575806,2026-05-07 09:39:52,,ok,,1,GoogleSalesTransactionReport
네이버,네이버\4월\2026년 4월 네이버 연재 정산상세.xlsx,2026년 4월 네이버 연재 정산상세.xlsx,187928,2026-05-06 08:24:53,,ok,,1,contentsSelling_2026-05-06
네이버,네이버\4월\2026년 4월 네이버 장르 정산상세.xlsx,2026년 4월 네이버 장르 정산상세.xlsx,180715,2026-05-06 08:26:03,,ok,,1,contentsSelling_2026-05-06
네이버,네이버\4월\선투자\2026년 4월 네이버 간딴 정산상세.xlsx,2026년 4월 네이버 간딴 정산상세.xlsx,12567,2026-05-06 08:37:41,,ok,,1,contentsSelling_2026-05-06
네이버,네이버\4월\선투자\2026년 4월 네이버 김악개 정산상세.xlsx,2026년 4월 네이버 김악개 정산상세.xlsx,12533,2026-05-06 08:31:25,,ok,,1,contentsSelling_2026-05-06
네이버,네이버\4월\선투자\2026년 4월 네이버 낙필 정산상세.xlsx,2026년 4월 네이버 낙필 정산상세.xlsx,12549,2026-05-06 08:38:34,,ok,,1,contentsSelling_2026-05-06
네이버,네이버\4월\선투자\2026년 4월 네이버 북홀릭 정산상세.xlsx,2026년 4월 네이버 북홀릭 정산상세.xlsx,12412,2026-05-06 08:34:46,,ok,,1,contentsSelling_2026-05-06
네이버,네이버\4월\선투자\2026년 4월 네이버 선투자 정산상세(통합).xlsx,2026년 4월 네이버 선투자 정산상세(통합).xlsx,14452,2026-05-06 08:40:48,통합,ok,,1,contentsSelling_2026-05-06
네이버,네이버\4월\선투자\2026년 4월 네이버 차라리 정산상세.xlsx,2026년 4월 네이버 차라리 정산상세.xlsx,12565,2026-05-06 08:36:47,,ok,,1,contentsSelling_2026-05-06
네이버,네이버\4월\선투자\2026년 4월 네이버 호수 정산상세.xlsx,2026년 4월 네이버 호수 정산상세.xlsx,12551,2026-05-06 08:35:33,,ok,,1,contentsSelling_2026-05-06
노벨피아,노벨피아\4월\2026년 4월 노벨피아 정산상세.xlsx,2026년 4월 노벨피아 정산상세.xlsx,14207,2026-05-04 14:30:22,,ok,,1,일별 정산
모픽,모픽\4월\2026년 4월 모픽 정산상세.xlsx,2026년 4월 모픽 정산상세.xlsx,18865,2026-05-06 10:41:14,,ok,,1,작품별정산
무툰,무툰\4월\2026년 4월 무툰 정산상세.xlsx,2026년 4월 무툰 정산상세.xlsx,60946,2026-05-06 09:52:30,,ok,,1,Sheet
문피아,문피아\4월\2026년 4월 문피아 정산상세.xlsx,2026년 4월 문피아 정산상세.xlsx,24310,2026-05-06 13:51:38,,ok,,1,다우인큐브
미소설,미소설\4월\2026년 4월 미소설 정산상세.xlsx,2026년 4월 미소설 정산상세.xlsx,20885,2026-05-04 10:50:26,,ok,,1,cpexcel20260504104935
밀리의서재,밀리의서재\4월\2026년 4월 밀리의서재 정산상세.xlsx,2026년 4월 밀리의서재 정산상세.xlsx,137038,2026-05-04 11:18:13,,ok,,1,list
부커스,부커스\4월\2026년 4월 부커스 정산상세 - 복사본.xlsx,2026년 4월 부커스 정산상세 - 복사본.xlsx,20278,2026-05-04 15:53:03,복사,ok,,1,CP 콘텐츠별 정산
부커스,부커스\4월\2026년 4월 부커스 정산상세.xlsx,2026년 4월 부커스 정산상세.xlsx,20278,2026-05-04 15:53:03,,ok,,1,CP 콘텐츠별 정산
블라이스,블라이스\4월\2026년 4월 블라이스 정산상세.xlsx,2026년 4월 블라이스 정산상세.xlsx,16155,2026-05-06 08:56:00,,ok,,1,CP정산20260506_085425
조아라,조아라\4월\로맨스\2026년 4월 조아라 로맨스 단행본 정산상세.xlsx,2026년 4월 조아라 로맨스 단행본 정산상세.xlsx,10756,2026-05-06 12:19:01,,ok,,1,작품별 정산리스트_2026-4 (1)
조아라,조아라\4월\로맨스\2026년 4월 조아라 로맨스 정산상세.xlsx,2026년 4월 조아라 로맨스 정산상세.xlsx,14597,2026-05-06 12:18:40,,ok,,1,작품별 정산리스트_2026-4
조아라,조아라\4월\판무\2026년 4월 조아라 판무 단행본 정산상세.xlsx,2026년 4월 조아라 판무 단행본 정산상세.xlsx,12124,2026-05-06 12:17:53,,ok,,1,작품별 정산리스트_2026-4
조아라,조아라\4월\판무\2026년 4월 조아라 판무 정산상세.xlsx,2026년 4월 조아라 판무 정산상세.xlsx,17281,2026-05-06 12:17:14,,ok,,1,작품별 정산리스트_2026-4
큐툰,큐툰\4월\2026년 4월 큐툰 정산상세.xlsx,2026년 4월 큐툰 정산상세.xlsx,12436,2026-05-06 09:52:49,,ok,,1,Sheet
판무림,판무림\4월\2026년 4월 판무림 정산상세.xlsx,2026년 4월 판무림 정산상세.xlsx,286461,2026-05-07 10:13:57,,ok,,2,표지 | 세부내역
피플앤스토리,피플앤스토리\4월\2026년 4월 피플앤스토리 정산상세.xlsx,2026년 4월 피플앤스토리 정산상세.xlsx,12039,2026-05-04 10:38:30,,ok,,1,다운로드
하이북,하이북\4월\2026년 4월 하이북 정산상세.xlsx,2026년 4월 하이북 정산상세.xlsx,41723,2026-05-04 10:16:51,,ok,,1,정산리스트
한아름,한아름\4월\2026년 4월 한아름 정산상세.xlsx,2026년 4월 한아름 정산상세.xlsx,478665,2026-05-04 16:19:19,,ok,,1,Sheet1
