platform,relative_path,sheet_name,strict_sheet_action,strict_sheet_verdict,max_row,max_column,best_header_row,best_header_title_hits,best_header_id_hits,best_header_sale_hits,best_header_settle_hits,best_header_offset_hits,shape_label,audit_flags,best_header_preview_sanitized
구글,구글\4월\2026년 4월 구글 정산상세(법인세).xlsx,GoogleSalesTransactionReport,special_parser_only,English Google export; Korean header matcher will miss it,4394,28,1,0,1,0,0,0,detail_candidate,,Transaction Date | Id | Product | Type | Preorder | Qty | Primary ISBN | Imprint Name | Title | Author | Original List Price Currency | Original List Price | List Price Currency | List Price [tax inclusive] | List Price [tax exclusive] | Country of Sale | Publisher Revenue % | Publisher Revenue | Payment Currency | Payment Amount | Currency Conversion Rate | 담당팀 | 미국 원천징수세 | 법인세 차감 후 금액
네이버,네이버\4월\2026년 4월 네이버 연재 정산상세.xlsx,contentsSelling_2026-05-06,include_candidate,detail sheet candidate,542,71,3,1,3,1,0,2,detail_candidate,merged_cells,컨텐츠 | 컨텐츠No | 공급자코드 | CP명 | 작가명 | 출판사 | 나이제한 | 서비스일 | 대여권 | 소장권 | 쿠키로 대여 | 쿠키로 구매 | i쿠키로 대여 | i쿠키로 구매 | 자동충전 쿠키로 대여 | 자동충전 쿠키로 구매 | 구글 쿠키로 대여 | 구글 쿠키로 구매 | 구글 외부 쿠키로 대여 | 구글 외부 쿠키로 구매 | 원스토어 쿠키로 대여 | 원스토어 쿠키로 구매 | 리딤 쿠키로 대여 | 리딤 쿠키로 구매 | 유상 이용권 보정 | 마켓수수료(추정치) | 합계
네이버,네이버\4월\2026년 4월 네이버 장르 정산상세.xlsx,contentsSelling_2026-05-06,include_candidate,detail sheet candidate,575,71,3,1,3,1,0,2,detail_candidate,merged_cells,컨텐츠 | 컨텐츠No | 공급자코드 | CP명 | 작가명 | 출판사 | 나이제한 | 서비스일 | 대여권 | 소장권 | 쿠키로 대여 | 쿠키로 구매 | i쿠키로 대여 | i쿠키로 구매 | 자동충전 쿠키로 대여 | 자동충전 쿠키로 구매 | 구글 쿠키로 대여 | 구글 쿠키로 구매 | 구글 외부 쿠키로 대여 | 구글 외부 쿠키로 구매 | 원스토어 쿠키로 대여 | 원스토어 쿠키로 구매 | 리딤 쿠키로 대여 | 리딤 쿠키로 구매 | 유상 이용권 보정 | 마켓수수료(추정치) | 합계
네이버,네이버\4월\선투자\2026년 4월 네이버 간딴 정산상세.xlsx,contentsSelling_2026-05-06,include_candidate,detail sheet candidate,6,71,3,1,3,1,0,2,detail_candidate,merged_cells,컨텐츠 | 컨텐츠No | 공급자코드 | CP명 | 작가명 | 출판사 | 나이제한 | 서비스일 | 대여권 | 소장권 | 쿠키로 대여 | 쿠키로 구매 | i쿠키로 대여 | i쿠키로 구매 | 자동충전 쿠키로 대여 | 자동충전 쿠키로 구매 | 구글 쿠키로 대여 | 구글 쿠키로 구매 | 구글 외부 쿠키로 대여 | 구글 외부 쿠키로 구매 | 원스토어 쿠키로 대여 | 원스토어 쿠키로 구매 | 리딤 쿠키로 대여 | 리딤 쿠키로 구매 | 유상 이용권 보정 | 마켓수수료(추정치) | 합계
네이버,네이버\4월\선투자\2026년 4월 네이버 김악개 정산상세.xlsx,contentsSelling_2026-05-06,include_candidate,detail sheet candidate,6,71,3,1,3,1,0,2,detail_candidate,merged_cells,컨텐츠 | 컨텐츠No | 공급자코드 | CP명 | 작가명 | 출판사 | 나이제한 | 서비스일 | 대여권 | 소장권 | 쿠키로 대여 | 쿠키로 구매 | i쿠키로 대여 | i쿠키로 구매 | 자동충전 쿠키로 대여 | 자동충전 쿠키로 구매 | 구글 쿠키로 대여 | 구글 쿠키로 구매 | 구글 외부 쿠키로 대여 | 구글 외부 쿠키로 구매 | 원스토어 쿠키로 대여 | 원스토어 쿠키로 구매 | 리딤 쿠키로 대여 | 리딤 쿠키로 구매 | 유상 이용권 보정 | 마켓수수료(추정치) | 합계
네이버,네이버\4월\선투자\2026년 4월 네이버 낙필 정산상세.xlsx,contentsSelling_2026-05-06,include_candidate,detail sheet candidate,6,71,3,1,3,1,0,2,detail_candidate,merged_cells,컨텐츠 | 컨텐츠No | 공급자코드 | CP명 | 작가명 | 출판사 | 나이제한 | 서비스일 | 대여권 | 소장권 | 쿠키로 대여 | 쿠키로 구매 | i쿠키로 대여 | i쿠키로 구매 | 자동충전 쿠키로 대여 | 자동충전 쿠키로 구매 | 구글 쿠키로 대여 | 구글 쿠키로 구매 | 구글 외부 쿠키로 대여 | 구글 외부 쿠키로 구매 | 원스토어 쿠키로 대여 | 원스토어 쿠키로 구매 | 리딤 쿠키로 대여 | 리딤 쿠키로 구매 | 유상 이용권 보정 | 마켓수수료(추정치) | 합계
네이버,네이버\4월\선투자\2026년 4월 네이버 북홀릭 정산상세.xlsx,contentsSelling_2026-05-06,include_candidate,detail sheet candidate,6,71,3,1,3,1,0,2,detail_candidate,merged_cells,컨텐츠 | 컨텐츠No | 공급자코드 | CP명 | 작가명 | 출판사 | 나이제한 | 서비스일 | 대여권 | 소장권 | 쿠키로 대여 | 쿠키로 구매 | i쿠키로 대여 | i쿠키로 구매 | 자동충전 쿠키로 대여 | 자동충전 쿠키로 구매 | 구글 쿠키로 대여 | 구글 쿠키로 구매 | 구글 외부 쿠키로 대여 | 구글 외부 쿠키로 구매 | 원스토어 쿠키로 대여 | 원스토어 쿠키로 구매 | 리딤 쿠키로 대여 | 리딤 쿠키로 구매 | 유상 이용권 보정 | 마켓수수료(추정치) | 합계
네이버,네이버\4월\선투자\2026년 4월 네이버 선투자 정산상세(통합).xlsx,contentsSelling_2026-05-06,review_before_include,possible aggregate file; including with individual files can double count,10,71,3,1,3,1,0,2,detail_candidate,"filename_human_work_signal,merged_cells",컨텐츠 | 컨텐츠No | 공급자코드 | CP명 | 작가명 | 출판사 | 나이제한 | 서비스일 | 대여권 | 소장권 | 쿠키로 대여 | 쿠키로 구매 | i쿠키로 대여 | i쿠키로 구매 | 자동충전 쿠키로 대여 | 자동충전 쿠키로 구매 | 구글 쿠키로 대여 | 구글 쿠키로 구매 | 구글 외부 쿠키로 대여 | 구글 외부 쿠키로 구매 | 원스토어 쿠키로 대여 | 원스토어 쿠키로 구매 | 리딤 쿠키로 대여 | 리딤 쿠키로 구매 | 유상 이용권 보정 | 마켓수수료(추정치) | 합계
네이버,네이버\4월\선투자\2026년 4월 네이버 차라리 정산상세.xlsx,contentsSelling_2026-05-06,include_candidate,detail sheet candidate,6,71,3,1,3,1,0,2,detail_candidate,merged_cells,컨텐츠 | 컨텐츠No | 공급자코드 | CP명 | 작가명 | 출판사 | 나이제한 | 서비스일 | 대여권 | 소장권 | 쿠키로 대여 | 쿠키로 구매 | i쿠키로 대여 | i쿠키로 구매 | 자동충전 쿠키로 대여 | 자동충전 쿠키로 구매 | 구글 쿠키로 대여 | 구글 쿠키로 구매 | 구글 외부 쿠키로 대여 | 구글 외부 쿠키로 구매 | 원스토어 쿠키로 대여 | 원스토어 쿠키로 구매 | 리딤 쿠키로 대여 | 리딤 쿠키로 구매 | 유상 이용권 보정 | 마켓수수료(추정치) | 합계
네이버,네이버\4월\선투자\2026년 4월 네이버 호수 정산상세.xlsx,contentsSelling_2026-05-06,include_candidate,detail sheet candidate,6,71,3,1,3,1,0,2,detail_candidate,merged_cells,컨텐츠 | 컨텐츠No | 공급자코드 | CP명 | 작가명 | 출판사 | 나이제한 | 서비스일 | 대여권 | 소장권 | 쿠키로 대여 | 쿠키로 구매 | i쿠키로 대여 | i쿠키로 구매 | 자동충전 쿠키로 대여 | 자동충전 쿠키로 구매 | 구글 쿠키로 대여 | 구글 쿠키로 구매 | 구글 외부 쿠키로 대여 | 구글 외부 쿠키로 구매 | 원스토어 쿠키로 대여 | 원스토어 쿠키로 구매 | 리딤 쿠키로 대여 | 리딤 쿠키로 구매 | 유상 이용권 보정 | 마켓수수료(추정치) | 합계
