"full_path","relative_path","directory","file_name","base_name","extension","size_bytes","modified_at","created_at"
"\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\교보\10월\2025년 10월 교보 정산상세.xlsx","교보\10월\2025년 10월 교보 정산상세.xlsx","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\교보\10월","2025년 10월 교보 정산상세.xlsx","2025년 10월 교보 정산상세",".xlsx","84359","2025-11-06 10:25:01","2026-05-07 13:50:36"
"\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\교보\11월\2025년 11월 교보문고 정산상세.xlsx","교보\11월\2025년 11월 교보문고 정산상세.xlsx","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\교보\11월","2025년 11월 교보문고 정산상세.xlsx","2025년 11월 교보문고 정산상세",".xlsx","127964","2025-12-02 15:41:13","2026-05-07 13:50:37"
"\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\1월\2026년 1월 구글 정산상세(법인세).xlsx","구글\1월\2026년 1월 구글 정산상세(법인세).xlsx","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\1월","2026년 1월 구글 정산상세(법인세).xlsx","2026년 1월 구글 정산상세(법인세)",".xlsx","647497","2026-02-04 09:23:08","2026-05-07 13:50:22"
"\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\25년\10월\2025년 10월 구글 정산상세(법인세).xlsx","구글\25년\10월\2025년 10월 구글 정산상세(법인세).xlsx","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\25년\10월","2025년 10월 구글 정산상세(법인세).xlsx","2025년 10월 구글 정산상세(법인세)",".xlsx","847551","2025-12-04 10:03:36","2026-05-07 13:50:23"
"\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\25년\11월\2025년 11월 구글 정산상세(법인세).xlsx","구글\25년\11월\2025년 11월 구글 정산상세(법인세).xlsx","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\25년\11월","2025년 11월 구글 정산상세(법인세).xlsx","2025년 11월 구글 정산상세(법인세)",".xlsx","810223","2025-12-04 10:06:54","2026-05-07 13:50:23"
"\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\25년\12월\2025년 12월 구글 정산상세(법인세).xlsx","구글\25년\12월\2025년 12월 구글 정산상세(법인세).xlsx","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\25년\12월","2025년 12월 구글 정산상세(법인세).xlsx","2025년 12월 구글 정산상세(법인세)",".xlsx","640778","2026-01-05 15:37:26","2026-05-07 13:50:23"
"\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\25년\9월\2025년 8월 구글 정산상세.xlsx","구글\25년\9월\2025년 8월 구글 정산상세.xlsx","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\25년\9월","2025년 8월 구글 정산상세.xlsx","2025년 8월 구글 정산상세",".xlsx","325075","2025-09-17 09:36:33","2026-05-07 13:50:23"
"\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\25년\9월\2025년 8월 구글 정산상세(법인세).xlsx","구글\25년\9월\2025년 8월 구글 정산상세(법인세).xlsx","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\25년\9월","2025년 8월 구글 정산상세(법인세).xlsx","2025년 8월 구글 정산상세(법인세)",".xlsx","418743","2025-10-10 15:36:29","2026-05-07 13:50:23"
"\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\25년\9월\2025년 9월 구글 정산상세.xlsx","구글\25년\9월\2025년 9월 구글 정산상세.xlsx","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\25년\9월","2025년 9월 구글 정산상세.xlsx","2025년 9월 구글 정산상세",".xlsx","601023","2025-10-10 15:57:56","2026-05-07 13:50:23"
"\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\25년\9월\2025년 9월 구글 정산상세(법인세).xlsx","구글\25년\9월\2025년 9월 구글 정산상세(법인세).xlsx","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\25년\9월","2025년 9월 구글 정산상세(법인세).xlsx","2025년 9월 구글 정산상세(법인세)",".xlsx","364779","2025-10-10 18:17:18","2026-05-07 13:50:23"
"\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\2월\2026년 2월 구글 정산상세(법인세).xlsx","구글\2월\2026년 2월 구글 정산상세(법인세).xlsx","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\2월","2026년 2월 구글 정산상세(법인세).xlsx","2026년 2월 구글 정산상세(법인세)",".xlsx","631830","2026-03-03 15:40:27","2026-05-07 13:50:23"
"\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\3월\2026년 3월 구글 정산상세(법인세).xlsx","구글\3월\2026년 3월 구글 정산상세(법인세).xlsx","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\3월","2026년 3월 구글 정산상세(법인세).xlsx","2026년 3월 구글 정산상세(법인세)",".xlsx","713364","2026-04-03 15:28:58","2026-05-07 13:50:23"
"\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\4월\2026년 4월 구글 정산상세(법인세).xlsx","구글\4월\2026년 4월 구글 정산상세(법인세).xlsx","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\4월","2026년 4월 구글 정산상세(법인세).xlsx","2026년 4월 구글 정산상세(법인세)",".xlsx","575806","2026-05-07 09:39:52","2026-05-07 13:50:23"
"\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\1월\2026년 1월 네이버 연재 정산상세.xlsx","네이버\1월\2026년 1월 네이버 연재 정산상세.xlsx","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\1월","2026년 1월 네이버 연재 정산상세.xlsx","2026년 1월 네이버 연재 정산상세",".xlsx","174807","2026-02-04 09:50:02","2026-05-07 13:50:24"
"\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\1월\2026년 1월 네이버 장르 정산상세.xlsx","네이버\1월\2026년 1월 네이버 장르 정산상세.xlsx","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\1월","2026년 1월 네이버 장르 정산상세.xlsx","2026년 1월 네이버 장르 정산상세",".xlsx","158806","2026-02-04 09:56:36","2026-05-07 13:50:24"
"\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\1월\선투자\2026년 1월 네이버 김악개 정산상세.xlsx","네이버\1월\선투자\2026년 1월 네이버 김악개 정산상세.xlsx","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\1월\선투자","2026년 1월 네이버 김악개 정산상세.xlsx","2026년 1월 네이버 김악개 정산상세",".xlsx","12523","2026-02-04 15:49:28","2026-05-07 13:50:24"
