batch,platform,schema_group_no,platform_total_sheets,platform_schema_group_count,schema_sheet_count,schema_file_count,schema_status,normalization_status,interpretation_label,origin_variant_signal,human_or_aux_signal,filename_human_work_hints,header_row_distribution,sheet_names,standard_상품명,standard_외부콘텐츠ID,standard_판매금액,standard_정산기준액,standard_상계금액,상품명_candidates,외부콘텐츠ID_candidates,판매금액_candidates,정산기준액_candidates,상계금액_candidates,flags,example,headers_preview
1/3,네이버,1,71,2,67,67,adapter_candidate,ok_for_adapter_design,uncertain_mixed_origin_and_human_or_aux_signal,"same_platform_multiple_header_or_sheet_groups,merged_layout_template","hidden_or_auxiliary_sheet_signal,filename_human_work_signal",네이버\1월\선투자\2026년 1월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\25년\10월\선투자\2025년 10월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\25년\11월\선투자\2025년 11월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\25년\12월\선투자\2025년 12월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\25년\9월\2025년 9월 네이버 장르 정산상세_2차.xlsx (2차) || 네이버\25년\9월\선투자\2025년 9월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\2월\선투자\2026년 2월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\3월\2026년 3월 네이버 연재 정산상세 - 복사본.xlsx (복사),3:67,contentsSelling_2026-04-03(9) | contentsSelling_2026-05-06(9) | contentsSelling_2026-02-04(7) | contentsSelling_2026-03-04(7) | contentsSelling_2026-01-06(6) | contentsSelling_2025-09-03(4) | contentsSelling_2025-10-10(4) | contentsSelling_2025-11-04(3),컨텐츠,공급자코드,합계,,마켓수수료(추정치),컨텐츠(3),공급자코드(9) | 컨텐츠No(7),합계(3),,마켓수수료(추정치)(8),merged_cells:67 | hidden_rows:1 | hidden_columns:1,네이버\1월\2026년 1월 네이버 연재 정산상세.xlsx::contentsSelling_2026-02-04,컨텐츠 | 컨텐츠No | 공급자코드 | CP명 | 작가명 | 출판사 | 나이제한 | 서비스일 | 대여권 | 소장권 | 쿠키로 대여 | 쿠키로 구매 | i쿠키로 대여 | i쿠키로 구매 | 자동충전 쿠키로 대여 | 자동충전 쿠키로 구매 | 구글 쿠키로 대여 | 구글 쿠키로 구매 | 구글 외부 쿠키로 대여 | 구글 외부 쿠키로 구매 | 원스토어 쿠키로 대여 | 원스토어 쿠키로 구매 | 리딤 쿠키로 대여 | 리딤 쿠키로 구매 | 유상 이용권 보정 | 마켓수수료(추정치) | 합계
1/3,네이버,2,71,2,4,4,adapter_candidate,ok_for_adapter_design,uncertain_mixed_origin_and_human_or_aux_signal,"same_platform_multiple_header_or_sheet_groups,merged_layout_template",filename_human_work_signal,네이버\1월\선투자\2026년 1월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\25년\10월\선투자\2025년 10월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\25년\11월\선투자\2025년 11월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\25년\12월\선투자\2025년 12월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\25년\9월\2025년 9월 네이버 장르 정산상세_2차.xlsx (2차) || 네이버\25년\9월\선투자\2025년 9월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\2월\선투자\2026년 2월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\3월\2026년 3월 네이버 연재 정산상세 - 복사본.xlsx (복사),3:4,contentsSelling_2025-11-04(1) | contentsSelling_2025-12-03(1) | contentsSelling_2026-01-06(1) | contentsSelling_2025-10-10(1),컨텐츠,공급자코드,합계,정산금액,마켓수수료(추정치),컨텐츠(3),공급자코드(9) | 컨텐츠No(7),합계(3),정산금액(11),마켓수수료(추정치)(8),merged_cells:4,네이버\25년\10월\선투자\2025년 10월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2025-11-04,컨텐츠 | 컨텐츠No | 공급자코드 | CP명 | 작가명 | 출판사 | 나이제한 | 서비스일 | 대여권 | 소장권 | 쿠키로 대여 | 쿠키로 구매 | i쿠키로 대여 | i쿠키로 구매 | 자동충전 쿠키로 대여 | 자동충전 쿠키로 구매 | 구글 쿠키로 대여 | 구글 쿠키로 구매 | 구글 외부 쿠키로 대여 | 구글 외부 쿠키로 구매 | 원스토어 쿠키로 대여 | 원스토어 쿠키로 구매 | 리딤 쿠키로 대여 | 리딤 쿠키로 구매 | 유상 이용권 보정 | 마켓수수료(추정치) | 합계 | 정산금액
1/3,조아라,1,39,5,16,16,adapter_candidate,ok_for_adapter_design,origin_variant,same_platform_multiple_header_or_sheet_groups,,,1:16,작품별 정산리스트_2026-1(2) | 작품별 정산리스트_2025-10(2) | 작품별 정산리스트_2025-11(2) | 작품별 정산리스트_2025-12(2) | 작품별 정산리스트_2025-9(2) | 작품별 정산리스트_2026-2(2) | 작품별 정산리스트_2026-3(2) | 작품별 정산리스트_2026-4(2),작품명,작품코드,,정산금액,,작품명(10),작품코드(9),,정산금액(11),,,조아라\1월\로맨스\2026년 1월 조아라 로맨스 정산상세.xlsx::작품별 정산리스트_2026-1,작품명 | 작품코드 | 작가명 | 단가 | 판매건수 | 비율 | 정산금액 | 정산일
1/3,조아라,2,39,5,14,14,adapter_candidate,ok_for_adapter_design,origin_variant,same_platform_multiple_header_or_sheet_groups,,,1:14,작품별 정산리스트_2025-10(2) | 작품별 정산리스트_2025-9(2) | 작품별 정산리스트_2026-2(2) | 작품별 정산리스트_2026-1(1) | 작품별 정산리스트_2026-1 (1)(1) | 작품별 정산리스트_2025-11(1) | 작품별 정산리스트_2025-11 (1)(1) | 작품별 정산리스트_2025-12(1),작품명,,,정산금액,,작품명(10),,,정산금액(11),,,조아라\1월\로맨스\2026년 1월 조아라 로맨스 단행본 정산상세.xlsx::작품별 정산리스트_2026-1,작품명 | 작가명 | 판매건수 | 비율 | 정산금액 | 정산일
1/3,조아라,3,39,5,5,5,adapter_candidate,ok_for_adapter_design,origin_variant,same_platform_multiple_header_or_sheet_groups,,,1:5,후원쿠폰-작품별 정산_2026-1(2) | 후원쿠폰-작품별 정산_2025-10(1) | 후원쿠폰-작품별 정산_2025-12(1) | 후원쿠폰-작품별 정산_2026-2(1),작품명,,,정산금액,,작품명(10),,,정산금액(11),,,조아라\1월\로맨스\2026년 1월 조아라 로맨스 후원쿠폰 정산상세.xlsx::후원쿠폰-작품별 정산_2026-1,작품명 | 작가명 | 금액 | 비율 | 정산금액 | 정산일
1/3,조아라,4,39,5,2,2,adapter_candidate,ok_for_adapter_design,origin_variant,same_platform_multiple_header_or_sheet_groups,,,1:2,작품별  정산리스트_2025-10(1) | 작품별  정산리스트_2025-9(1),작품명,,,정산금액,,작품명(10),,,정산금액(11),,,조아라\25년\10월\판무\2025년 10월 조아라 판무 노블레스 정산상세.xlsx::작품별  정산리스트_2025-10,작품명 | 분류 | 작가명 | 이용권 | 5kb조회수 | 10kb조회수 | 정산금액 | 정산일
1/3,조아라,5,39,5,2,2,adapter_candidate,ok_for_adapter_design,origin_variant,same_platform_multiple_header_or_sheet_groups,,,1:2,작품별 정산리스트_2026-4 (1)(1) | 작품별 정산리스트_2026-4(1),작품명,작품코드,,정산금액,,작품명(10),작품코드(9),,정산금액(11),,,조아라\4월\로맨스\2026년 4월 조아라 로맨스 단행본 정산상세.xlsx::작품별 정산리스트_2026-4 (1),작품명 | 작품코드 | 작가명 | 판매건수 | 비율 | 정산금액 | 정산일
1/3,스토린랩,1,22,10,7,7,manual_review,needs_manual_review_before_adapter,origin_variant,"same_platform_multiple_header_or_sheet_groups,merged_layout_template",,,6:7,정리(7),,,매출,정산총액,,,,매출(3),정산총액(11),,merged_cells:7,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::정리,서점 명 | 판매건수 | 매출 | B2BC 정산율 | 정산총액
1/3,스토린랩,2,22,10,6,6,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,scale_or_used_range_variation",,,1:6,원스(6),채널상품명,채널상품ID,판매금액,정산액,취소금액,채널상품명(10) | 상품명(8),채널상품ID(9) | 상품ID(7) | 키다리코드(5) | 코드(3) | 파트너ID(3),판매금액(9) | 판매총액(4) | 합계(3),정산액(10) | 입금액(8) | 정액제 정산대상액(4) | 정산처(2) | 정산유형(2) | 2차정산여부(2),취소금액(8),large_column_count:6,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::원스,IOS | AOS | 쿠폰/시다무/포인트등 | 판매건수 | 취소건수 | 고객결제 | 고객결제(현금영수증) | 판매처 | 판매월 | 번호 | 상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 파트너명 | 파트너ID | 사업자구분 | 구매요청POC | 채널상품ID | 채널상품명 | 회차 | 상품ID | 코드 | 2차정산여부 | 카테고리 | 그림작가 | 타입 | 정액제 정산대상액 | 판매금액 | 취소금액 | 합계 | 고객결제 서비스이용료 | 차감 | 정산유형 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액
1/3,스토린랩,3,22,10,2,2,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,scale_or_used_range_variation",,,1:2,원스(북패스)(2),채널상품명,채널상품ID,정액권 총매출액,정산액,,채널상품명(10) | 이용상품명(5) | 정액권 상품명(5),채널상품ID(9) | 키다리코드(5) | 도서바코드(5) | 이용상품ID(5) | 정액권 상품ID(5) | 코드(3),정액권 총매출액(9) | 판매총액(4) | 매출지분(2) | 매출사업자(2),정산액(10) | 입금액(8) | 상품별 정산금액(5) | 정산처(2) | 업체별 정산지급액(2),,large_column_count:2,스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx::원스(북패스),판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 채널상품명 | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이용금액 | 상품별 정산금액 | 카테고리 | 타입 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액
