cluster_rank,sheet_count,signature,example_1,example_all
1,67,컨텐츠|컨텐츠no|공급자코드|cp명|작가명|출판사|나이제한|서비스일|대여권|소장권|쿠키로대여|쿠키로구매|i쿠키로대여|i쿠키로구매|자동충전쿠키로대여|자동충전쿠키로구매|구글쿠키로대여|구글쿠키로구매|구글외부쿠키로대여|구글외부쿠키로구매|원스토어쿠키로대여|원스토어쿠키로구매|리딤쿠키로대여|리딤쿠키로구매|유상이용권보정|마켓수수료추정치|합계,네이버\1월\2026년 1월 네이버 연재 정산상세.xlsx::contentsSelling_2026-02-04,네이버\1월\2026년 1월 네이버 연재 정산상세.xlsx::contentsSelling_2026-02-04 || 네이버\1월\2026년 1월 네이버 장르 정산상세.xlsx::contentsSelling_2026-02-04 || 네이버\1월\선투자\2026년 1월 네이버 김악개 정산상세.xlsx::contentsSelling_2026-02-04 || 네이버\1월\선투자\2026년 1월 네이버 북홀릭 정산상세.xlsx::contentsSelling_2026-02-04 || 네이버\1월\선투자\2026년 1월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2026-02-04
2,16,작품명|작품코드|작가명|단가|판매건수|비율|정산금액|정산일,조아라\1월\로맨스\2026년 1월 조아라 로맨스 정산상세.xlsx::작품별 정산리스트_2026-1,조아라\1월\로맨스\2026년 1월 조아라 로맨스 정산상세.xlsx::작품별 정산리스트_2026-1 || 조아라\1월\판무\2026년 1월 조아라 판무 정산상세.xlsx::작품별 정산리스트_2026-1 || 조아라\25년\10월\로맨스\2025년 10월 조아라 로맨스 정산상세.xlsx::작품별 정산리스트_2025-10 || 조아라\25년\10월\판무\2025년 10월 조아라 판무 정산상세.xlsx::작품별 정산리스트_2025-10 || 조아라\25년\11월\로맨스\2025년 11월 조아라 로맨스 정산상세.xlsx::작품별 정산리스트_2025-11
3,15,no|구분|작가|장르|타이틀|사용코인|취소코인|합계|공제수수료|정산총액,무툰\1월\2026년 1월 무툰 정산상세.xlsx::Sheet,무툰\1월\2026년 1월 무툰 정산상세.xlsx::Sheet || 무툰\25년\10월\2025년 10월 무툰 정산상세.xlsx::Sheet || 무툰\25년\11월\2025년 11월 무툰 정산상세.xlsx::Sheet || 무툰\25년\9월\2025년 9월 무툰 정산상세.xlsx::Sheet || 무툰\2월\2026년 2월 무툰 정산상세.xlsx::Sheet
4,14,작품명|작가명|판매건수|비율|정산금액|정산일,조아라\1월\로맨스\2026년 1월 조아라 로맨스 단행본 정산상세.xlsx::작품별 정산리스트_2026-1,조아라\1월\로맨스\2026년 1월 조아라 로맨스 단행본 정산상세.xlsx::작품별 정산리스트_2026-1 || 조아라\1월\판무\2026년 1월 조아라 판무 단행본 정산상세.xlsx::작품별 정산리스트_2026-1 (1) || 조아라\25년\10월\로맨스\2025년 10월 조아라 로맨스 단행본 정산상세.xlsx::작품별 정산리스트_2025-10 || 조아라\25년\10월\판무\2025년 10월 조아라 판무 단행본 정산상세.xlsx::작품별 정산리스트_2025-10 || 조아라\25년\11월\로맨스\2025년 11월 조아라 로맨스 단행본 정산상세.xlsx::작품별 정산리스트_2025-11
5,9,특별일반|사업자명|사업자번호|발행자명|계약유형|당월신규계약여부|계약uid|계약명|과면세|콘텐츠유형|시리즈id|시리즈명|판매시작일|판매종료일|제품코드발행자가부여하는코드|레이블|작가명|isbn유무|이용권종류|android캐시|web캐시|ios캐시|event캐시|유상캐시캐시|무상캐시캐시|총합계캐시|android원화|web원화|ios원화|event원화|유상캐시원화|무상캐시원화|총합계원화|android순매출|web순매출|ios순매출|event순매출|유상캐시순매출|무상캐시순매출|총합계순매출|android정산율%|web정산율%|ios정산율%|event정산율%|공급가액|세액|공급대가,카카오\10월\2025년 10월 카카오(일반) 정산상세.xlsx::정산리포트_카카오페이지_2025-10,카카오\10월\2025년 10월 카카오(일반) 정산상세.xlsx::정산리포트_카카오페이지_2025-10 || 카카오\11월\2025년 11월 카카오 정산상세.xlsx::정산리포트_카카오페이지_2025-11 || 카카오\11월\2025년 카카오 미발행건 정산상세.xlsx::정산리포트_카카오페이지_2025-08 || 카카오\9월\2025년 9월 카카오 정산상세.xlsx::정산리포트_카카오페이지_2025-09 || 카카오\선투자\10월\2025년 10월 카카오(선투자) 정산상세.xlsx::정산리포트_카카오페이지_2025-10
6,8,날짜|컨텐츠유형|판매방식|작품코드|연재단행|상품명|작가명|출판사|판매건|판매금액|취소건|취소금액|판매합계|정산금액,노벨피아\1월\2026년 1월 노벨피아 정산상세.xlsx::일별 정산,노벨피아\1월\2026년 1월 노벨피아 정산상세.xlsx::일별 정산 || 노벨피아\25년\10월\2025년 10월 노벨피아 정산상세.xlsx::일별 정산 || 노벨피아\25년\11월\2025년 11월 노벨피아 정산상세.xlsx::일별 정산 || 노벨피아\25년\12월\2025년 12월 노벨피아 정산상세.xlsx::일별 정산 || 노벨피아\25년\9월\2025년 9월 노벨피아 정산상세.xlsx::일별 정산
7,8,cp|번호|날짜|구분|작가|계정|작품코드|작품|구매|구매취소|대여|대여취소|총매출|ios매출|google매출|정산,문피아\1월\2026년 1월 문피아 정산상세.xlsx::다우인큐브,문피아\1월\2026년 1월 문피아 정산상세.xlsx::다우인큐브 || 문피아\25년\10월\2025년 10월 문피아 정산상세.xlsx::다우인큐브 || 문피아\25년\11월\2025년 11월 문피아 정산상세.xlsx::다우인큐브 || 문피아\25년\12월\2025년 12월 문피아 정산상세.xlsx::다우인큐브 || 문피아\25년\9월\2025년 9월 문피아 정산상세.xlsx::다우인큐브
8,8,판매월|정산월|작품명|구분|등록유형|작품no|작가명|판매액|수수료결제대행수수료+블라이스운영수수료|정산금액,블라이스\1월\2026년 1월 블라이스 정산상세.xlsx::CP정산20260204_033510,블라이스\1월\2026년 1월 블라이스 정산상세.xlsx::CP정산20260204_033510 || 블라이스\25년\10월\2025년 10월 블라이스 정산상세.xlsx::CP정산20251103_110647 || 블라이스\25년\11월\2025년 11월 블라이스 정산상세.xlsx::CP정산20251202_110152 || 블라이스\25년\12월\2025년 12월 블라이스 정산상세.xlsx::CP정산20260108_032753 || 블라이스\25년\9월\2025년 9월 블라이스 정산상세.xlsx::CP정산20251014_054458
9,8,정산자|판매구분|제목|저자|출판사|수량|판매금액|수수료|정산액,에피루스\1월\2026년 1월 에피루스 정산상세.xlsx::2026년01월정산내역_키다리스튜디오,에피루스\1월\2026년 1월 에피루스 정산상세.xlsx::2026년01월정산내역_키다리스튜디오 || 에피루스\25년\10월\2025년 10월 에피루스 정산상세.xlsx::2025년10월정산내역_키다리스튜디오 || 에피루스\25년\11월\2025년 11월 에피루스 정산상세.xlsx::2025년11월정산내역_키다리스튜디오 || 에피루스\25년\12월\2025년 12월 에피루스 정산상세.xlsx::2025년12월정산내역_키다리스튜디오 || 에피루스\25년\8월\2025년 8월 에피루스 정산상세.xlsx::2025년08월정산내역_키다리스튜디오
10,8,no|시리즈코드|각권코드|대분류|중분류|작품제목|회차제목|저자|cp|출판사|웹판매건수|앱판매건수|판매금액|웹판매건수|앱판매건수|판매금액|이용건수|이용건수|판매금액|포인트사용|판매금액,판무림\1월\2026년 1월 판무림 정산상세.xlsx::세부내역,판무림\1월\2026년 1월 판무림 정산상세.xlsx::세부내역 || 판무림\25년\10월\2025년 10월 판무림 정산상세.xlsx::세부내역 || 판무림\25년\11월\2025년 11월 판무림 정산상세.xlsx::세부내역 || 판무림\25년\12월\2025년 12월 판무림 정산상세.xlsx::세부내역 || 판무림\25년\9월\2025년 9월 판무림 정산상세.xlsx::세부내역
