relative_path,sheet_name,flags,max_row,max_column,header_row,merged_cell_ranges,hidden_rows,hidden_columns,sheet_state,header_preview
교보\10월\2025년 10월 교보 정산상세.xlsx,Sheet1,"no_header_candidate,merged_cells",795,26,,1,0,0,visible,[header not detected: data-like row redacted]
교보\11월\2025년 11월 교보문고 정산상세.xlsx,Sheet1,"no_header_candidate,merged_cells",1269,26,,1,0,0,visible,[header not detected: data-like row redacted]
구글\1월\2026년 1월 구글 정산상세(법인세).xlsx,GoogleSalesTransactionReport,"no_header_candidate,large_row_count",6660,28,,0,0,0,visible,[header not detected: data-like row redacted]
구글\25년\10월\2025년 10월 구글 정산상세(법인세).xlsx,GoogleSalesTransactionReport,"no_header_candidate,large_row_count",6660,28,,0,0,0,visible,[header not detected: data-like row redacted]
구글\25년\11월\2025년 11월 구글 정산상세(법인세).xlsx,GoogleSalesTransactionReport,"no_header_candidate,large_row_count",6660,28,,0,0,0,visible,[header not detected: data-like row redacted]
구글\25년\12월\2025년 12월 구글 정산상세(법인세).xlsx,GoogleSalesTransactionReport,"no_header_candidate,large_row_count",6660,28,,0,0,0,visible,[header not detected: data-like row redacted]
구글\25년\9월\2025년 8월 구글 정산상세.xlsx,GoogleSalesTransactionReport,no_header_candidate,2930,21,,0,0,0,visible,[header not detected: data-like row redacted]
구글\25년\9월\2025년 8월 구글 정산상세(법인세).xlsx,GoogleSalesTransactionReport,no_header_candidate,2930,28,,0,0,0,visible,[header not detected: data-like row redacted]
구글\25년\9월\2025년 9월 구글 정산상세.xlsx,GoogleSalesTransactionReport,"no_header_candidate,large_row_count",5837,21,,0,0,0,visible,[header not detected: data-like row redacted]
구글\25년\9월\2025년 9월 구글 정산상세(법인세).xlsx,GoogleSalesTransactionReport,no_header_candidate,2930,28,,0,0,0,visible,[header not detected: data-like row redacted]
구글\2월\2026년 2월 구글 정산상세(법인세).xlsx,GoogleSalesTransactionReport,"no_header_candidate,large_row_count",6660,28,,0,0,0,visible,[header not detected: data-like row redacted]
구글\3월\2026년 3월 구글 정산상세(법인세).xlsx,GoogleSalesTransactionReport,"no_header_candidate,large_row_count",6660,28,,0,0,0,visible,[header not detected: data-like row redacted]
구글\4월\2026년 4월 구글 정산상세(법인세).xlsx,GoogleSalesTransactionReport,no_header_candidate,4394,28,,0,0,0,visible,[header not detected: data-like row redacted]
네이버\1월\2026년 1월 네이버 연재 정산상세.xlsx,contentsSelling_2026-02-04,merged_cells,502,71,3,29,0,0,visible,컨텐츠 | 컨텐츠No | 공급자코드 | CP명 | 작가명 | 출판사 | 나이제한 | 서비스일 | 대여권 | 소장권 | 쿠키로 대여 | 쿠키로 구매 | i쿠키로 대여 | i쿠키로 구매 | 자동충전 쿠키로 대여 | 자동충전 쿠키로 구매 | 구글 쿠키로 대여 | 구글 쿠키로 구매 | 구글 외부 쿠키로 대여 | 구글 외부 쿠키로 구매 | 원스토어 쿠키로 대여 | 원스토어 쿠키로 구매 | 리딤 쿠키로 대여 | 리딤 쿠키로 구매 | 유상 이용권 보정 | 마켓수수료(추정치) | 합계
네이버\1월\2026년 1월 네이버 장르 정산상세.xlsx,contentsSelling_2026-02-04,merged_cells,506,71,3,29,0,0,visible,컨텐츠 | 컨텐츠No | 공급자코드 | CP명 | 작가명 | 출판사 | 나이제한 | 서비스일 | 대여권 | 소장권 | 쿠키로 대여 | 쿠키로 구매 | i쿠키로 대여 | i쿠키로 구매 | 자동충전 쿠키로 대여 | 자동충전 쿠키로 구매 | 구글 쿠키로 대여 | 구글 쿠키로 구매 | 구글 외부 쿠키로 대여 | 구글 외부 쿠키로 구매 | 원스토어 쿠키로 대여 | 원스토어 쿠키로 구매 | 리딤 쿠키로 대여 | 리딤 쿠키로 구매 | 유상 이용권 보정 | 마켓수수료(추정치) | 합계
네이버\1월\선투자\2026년 1월 네이버 김악개 정산상세.xlsx,contentsSelling_2026-02-04,merged_cells,6,71,3,29,0,0,visible,컨텐츠 | 컨텐츠No | 공급자코드 | CP명 | 작가명 | 출판사 | 나이제한 | 서비스일 | 대여권 | 소장권 | 쿠키로 대여 | 쿠키로 구매 | i쿠키로 대여 | i쿠키로 구매 | 자동충전 쿠키로 대여 | 자동충전 쿠키로 구매 | 구글 쿠키로 대여 | 구글 쿠키로 구매 | 구글 외부 쿠키로 대여 | 구글 외부 쿠키로 구매 | 원스토어 쿠키로 대여 | 원스토어 쿠키로 구매 | 리딤 쿠키로 대여 | 리딤 쿠키로 구매 | 유상 이용권 보정 | 마켓수수료(추정치) | 합계
