파일,판매채널,플랫폼,정산서_원본행번호,정산서원본_source_row,정산서_콘텐츠명_표시,패치전_정제키,패치후_정제키,패치전_S2상태,패치후_S2상태,패치후_S2후보제목,패치후_S2후보ID
2026-02__구글(소설)__구글__2026년 2월 구글 정산상세(법인세).xlsx,구글(소설),구글,505,,[10%할인] 파공검제 11권,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865542 | 836752
2026-02__구글(소설)__구글__2026년 2월 구글 정산상세(법인세).xlsx,구글(소설),구글,660,,파공검제 1권,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865542 | 836752
2026-02__구글(소설)__구글__2026년 2월 구글 정산상세(법인세).xlsx,구글(소설),구글,866,,[10%할인] 파공검제 12권,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865542 | 836752
2026-02__구글(소설)__구글__2026년 2월 구글 정산상세(법인세).xlsx,구글(소설),구글,1033,,파공검제 1권,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865542 | 836752
2026-02__구글(소설)__구글__2026년 2월 구글 정산상세(법인세).xlsx,구글(소설),구글,1383,,파공검제 13권,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865542 | 836752
2026-02__구글(소설)__구글__2026년 2월 구글 정산상세(법인세).xlsx,구글(소설),구글,3255,,파공검제 14권,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865542 | 836752
2026-02__구글(소설)__구글__2026년 2월 구글 정산상세(법인세).xlsx,구글(소설),구글,3280,,파공검제 14권,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865542 | 836752
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,470,,[e북]수라검제 2권,수라검,수라검제,no_match,matched,수라검제,852014
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,622,,[e북]수라검제 3권,수라검,수라검제,no_match,matched,수라검제,852014
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,623,,[e북]수라검제 4권,수라검,수라검제,no_match,matched,수라검제,852014
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,624,,[e북]수라검제 5권,수라검,수라검제,no_match,matched,수라검제,852014
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,625,,[e북]수라검제 6권,수라검,수라검제,no_match,matched,수라검제,852014
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,626,,[e북]수라검제 7권,수라검,수라검제,no_match,matched,수라검제,852014
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,627,,[e북]수라검제 8권,수라검,수라검제,no_match,matched,수라검제,852014
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,628,,[e북]수라검제 9권,수라검,수라검제,no_match,matched,수라검제,852014
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,629,,[e북]수라검제 10권 (완결),수라검,수라검제,no_match,matched,수라검제,852014
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,1262,,[e북]파공검제 30권,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,4777,,파공검제 23화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6898,,파공검제 24화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6899,,파공검제 287화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6900,,파공검제 288화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6901,,파공검제 289화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6902,,파공검제 371화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6903,,파공검제 372화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6904,,파공검제 373화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6905,,파공검제 374화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6906,,파공검제 375화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6907,,파공검제 376화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6908,,파공검제 377화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6909,,파공검제 378화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6910,,파공검제 379화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6911,,파공검제 380화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6912,,파공검제 381화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6913,,파공검제 382화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6914,,파공검제 383화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6915,,파공검제 384화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6916,,파공검제 385화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6917,,파공검제 386화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6918,,파공검제 387화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6919,,파공검제 388화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6920,,파공검제 389화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6921,,파공검제 390화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6922,,파공검제 391화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6923,,파공검제 392화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6924,,파공검제 393화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6925,,파공검제 394화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6926,,파공검제 395화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6927,,파공검제 396화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6928,,파공검제 397화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6929,,파공검제 398화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6930,,파공검제 399화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6931,,파공검제 400화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6932,,파공검제 401화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6933,,파공검제 402화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6934,,파공검제 403화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6935,,파공검제 404화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,6936,,파공검제 405화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
