channel,key,rows,raw_examples,files,bucket,s2_channels,s2_title_examples
문피아,,1,[효종],1,blank_key_cleaning_candidate,"EDITIO, OPMS, Yes24(서점), Yes24(시프트북스), 교보문고(소설), 교보문고(톡소다), 구글(소설), 구루컴퍼니, 국립장애인도서관, 네이버_연재, 네이버_일반, 네이버_장르",(가제) | 10101 | 103578951 | 11336(일일삼삼육) | 2041 | 2111(이일일일)
Yes24(서점),메소드로맨스메소드비스트로맨스,1,[BL] 메소드 로맨스 (웹툰 출간 기념 수인 외전) : 메소드 비스트 로맨스,1,no_s2_key_any_channel,,
Yes24(서점),악작현대au,106,[BL] 악작 현대AU 특별외전 | [BL] 악작 현대AU (외전),1,no_s2_key_any_channel,,
Yes24(서점),야한규칙으로다따먹음,15,야한 규칙으로 다 따먹음 1권 | 야한 규칙으로 다 따먹음 2권 | 야한 규칙으로 다 따먹음 3권,1,no_s2_key_any_channel,,
Yes24(서점),야한연극의ts주인공이되었다,1,야한 연극의 TS 주인공이 되었다 1권,1,no_s2_key_any_channel,,
교보문고(소설),금검지,13,금검지 12 | 금검지 1 | 금검지 2 | 금검지 3 | 금검지 4,1,no_s2_key_any_channel,,
교보문고(소설),김석산파이브,1,김석산 파이브,1,no_s2_key_any_channel,,
교보문고(소설),메소드로맨스메소드비스트로맨스,1,메소드 로맨스(개정판). 외전 : 메소드 비스트 로맨스,1,no_s2_key_any_channel,,
교보문고(소설),무유지,1,무유지 8,1,no_s2_key_any_channel,,
교보문고(소설),소림대협,7,소림대협 1 | 소림대협 2 | 소림대협 3 | 소림대협 4 | 소림대협 5,1,no_s2_key_any_channel,,
교보문고(소설),소설황당무계,9,소설 황당무계 1 | 소설 황당무계 2 | 소설 황당무계 3 | 소설 황당무계 4 | 소설 황당무계 5,1,no_s2_key_any_channel,,
교보문고(소설),악작현대au,6,악작. 현대AU 외전 | 악작. 현대AU 특별외전,1,no_s2_key_any_channel,,
교보문고(소설),야한규칙으로다따먹음,7,야한 규칙으로 다 따먹음 | 야한 규칙으로 다 따먹음 2권 | 야한 규칙으로 다 따먹음 3권 | 야한 규칙으로 다 따먹음 4권 | 야한 규칙으로 다 따먹음 5권,1,no_s2_key_any_channel,,
교보문고(소설),야한연극의ts주인공이되었다,1,야한 연극의 TS 주인공이 되었다,1,no_s2_key_any_channel,,
교보문고(소설),용쟁혈투,5,용쟁혈투 1 | 용쟁혈투 2 | 용쟁혈투 3 | 용쟁혈투 4 | 용쟁혈투 5,1,no_s2_key_any_channel,,
교보문고(소설),조금은야한우리회사,1,조금은 야한 우리 회사,1,no_s2_key_any_channel,,
교보문고(소설),중원지,4,중원지 1 | 중원지 2 | 중원지 3 | 중원지 4,1,no_s2_key_any_channel,,
교보문고(소설),협골단심,1,협골단심 1,1,no_s2_key_any_channel,,
구글(소설),검,3,검(劍) 1권,1,no_s2_key_any_channel,,
구글(소설),고인물무림에가다,9,"고인물, 무림에 가다 1권 | [10%할인] 고인물, 무림에 가다 1권",1,no_s2_key_any_channel,,
구글(소설),교시연애영역,2,[BL] 9교시 연애영역 1권,1,no_s2_key_any_channel,,
구글(소설),내가키운용사가나에게집착한다,2,내가 키운 용사가 나에게 집착한다 1권,1,no_s2_key_any_channel,,
구글(소설),너의빛깔너의향기,1,[BL] 너의 빛깔 너의 향기 1권,1,no_s2_key_any_channel,,
구글(소설),"년의실종,재회그리고",1,[19금] 4년의 실종， 재회 그리고 1권,1,no_s2_key_any_channel,,
구글(소설),늙은경비에게조교당하는스튜어디스의이야기,22,늙은 경비에게 조교당하는 스튜어디스의 이야기 1권 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 2권 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 3권 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 4권 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 5권,1,no_s2_key_any_channel,,
구글(소설),달달물이라며,1,[BL] 달달물이라며 1권,1,no_s2_key_any_channel,,
구글(소설),독식하는재벌세,3,[10%할인] 독식하는 재벌 3세 2권 | 독식하는 재벌 3세 1권,1,no_s2_key_any_channel,,
구글(소설),망한세상에서나혼자각성,7,망한 세상에서 나 혼자 각성 1권 | 망한 세상에서 나 혼자 각성 2권 | 망한 세상에서 나 혼자 각성 3권 | 망한 세상에서 나 혼자 각성 4권 | 망한 세상에서 나 혼자 각성 5권,1,no_s2_key_any_channel,,
구글(소설),보수적이라며팬티는왜벗어,6,보수적이라며 팬티는 왜 벗어? 1권,1,no_s2_key_any_channel,,
구글(소설),붉은심장에올라탄중사,1,[19금] 붉은 심장에 올라탄 중사 1권,1,no_s2_key_any_channel,,
구글(소설),"서큐버스와인큐버스,그들의수행기",2,[19금] 서큐버스와 인큐버스， 그들의 수행기 1권,1,no_s2_key_any_channel,,
구글(소설),세명의병신과나,1,[19금] 세 명의 병신과 나 1권,1,no_s2_key_any_channel,,
구글(소설),야한연극의ts주인공이되었다,1,야한 연극의 TS 주인공이 되었다 1권,1,no_s2_key_any_channel,,
구글(소설),오래전에,1,[BL] 오래전에 1권,1,no_s2_key_any_channel,,
구글(소설),용사무적,2,용사무적 1권,1,no_s2_key_any_channel,,
구글(소설),집사와수상한계약을,2,[19금] 집사와 수상한 계약을 1권,1,no_s2_key_any_channel,,
구글(소설),"추억,순간의바람이되어",1,추억， 순간의 바람이 되어 1권,1,no_s2_key_any_channel,,
구글(소설),파공검,7,[10%할인] 파공검제 11권 | 파공검제 1권 | [10%할인] 파공검제 12권 | 파공검제 13권 | 파공검제 14권,1,no_s2_key_any_channel,,
구글(소설),하룻밤의유희,1,[BL] 하룻밤의 유희 1권,1,no_s2_key_any_channel,,
구글(소설),혈무연,2,[10%할인] 혈무연 1 | [10%할인] 혈무연 3 (완결),1,no_s2_key_any_channel,,
네이버_연재,ex급만능사제가되었다,1,EX급 만능사제가 되었다,1,no_s2_key_any_channel,,
네이버_연재,sm클럽암캐가된여자들,1,SM클럽 -암캐가 된 여자들-,1,no_s2_key_any_channel,,
네이버_연재,고인물무림에가다,1,"고인물, 무림에 가다 [독점]",1,no_s2_key_any_channel,,
네이버_연재,다따먹점혈법,1,다따먹점혈법,1,no_s2_key_any_channel,,
네이버_연재,독식하는재벌세,1,독식하는 재벌 3세,1,no_s2_key_any_channel,,
네이버_연재,드래곤잡으려다내가잡힘,1,드래곤 잡으려다 내가 잡힘?! [독점],1,no_s2_key_any_channel,,
네이버_연재,망한세상에서나혼자각성,1,망한 세상에서 나 혼자 각성,1,no_s2_key_any_channel,,
네이버_연재,아이돌공략법으로데뷔합니다,1,아이돌 공략법으로 데뷔합니다 [독점],1,no_s2_key_any_channel,,
네이버_연재,아포칼립스인데나혼자농사,1,아포칼립스인데 나 혼자 농사 [독점],1,no_s2_key_any_channel,,
네이버_연재,야한규칙으로다따먹음,1,야한 규칙으로 다 따먹음,1,no_s2_key_any_channel,,
네이버_연재,야한연극의ts주인공이되었다,1,야한 연극의 TS 주인공이 되었다,1,no_s2_key_any_channel,,
네이버_연재,조금은야한우리회사,1,조금은 야한 우리 회사,1,no_s2_key_any_channel,,
네이버_장르,던전에서성자가하는일,1,던전에서 성자가 하는 일 [단행본],1,no_s2_key_any_channel,,
네이버_장르,독식하는재벌세,1,독식하는 재벌 3세 [단행본],1,no_s2_key_any_channel,,
네이버_장르,만강홍,1,만강홍 [단행본],1,no_s2_key_any_channel,,
네이버_장르,망한세상에서나혼자각성,1,망한 세상에서 나 혼자 각성 [단행본],1,no_s2_key_any_channel,,
네이버_장르,베스트단편추리소설걸작선,1,베스트 단편추리소설 걸작선,1,no_s2_key_any_channel,,
네이버_장르,십교종사,1,십교종사 [단행본],1,no_s2_key_any_channel,,
네이버_장르,야한규칙으로다따먹음,1,야한 규칙으로 다 따먹음 [단행본],1,no_s2_key_any_channel,,
네이버_장르,조선명탐정정약용암행,1,조선명탐정 정약용-암행(暗行) [단행본],1,no_s2_key_any_channel,,
네이버_장르,혈무연,1,혈무연 [단행본],1,no_s2_key_any_channel,,
네이버_장르,혜정교살인사건,1,혜정교 살인사건 [단행본],1,no_s2_key_any_channel,,
리디북스(소설),ex급만능사제가되었다,187,EX급 만능사제가 되었다 27화 | EX급 만능사제가 되었다 28화 | EX급 만능사제가 되었다 29화 | EX급 만능사제가 되었다 30화 | EX급 만능사제가 되었다 31화,1,no_s2_key_any_channel,,
리디북스(소설),sm클럽암캐가된여자들,180,[e북]SM클럽 -암캐가 된 여자들- 2권 | [e북]SM클럽 -암캐가 된 여자들- 3권 | [e북]SM클럽 -암캐가 된 여자들- 4권 | [e북]SM클럽 -암캐가 된 여자들- 5권 | SM클럽 -암캐가 된 여자들- 268화,1,no_s2_key_any_channel,,
리디북스(소설),검,1,[e북]검(劍) 1,1,no_s2_key_any_channel,,
리디북스(소설),고구마,1,고구마,1,no_s2_key_any_channel,,
리디북스(소설),고인물무림에가다,1,"고인물, 무림에 가다 1화",1,no_s2_key_any_channel,,
리디북스(소설),나비를잡는아버지,1,나비를 잡는 아버지,1,no_s2_key_any_channel,,
리디북스(소설),늙은경비에게조교당하는스튜어디스의이야기,338,늙은 경비에게 조교당하는 스튜어디스의 이야기 15화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 213화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 6화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 14화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 16화,1,no_s2_key_any_channel,,
리디북스(소설),독식하는재벌세,778,[e북]독식하는 재벌 3세 2권 | [e북]독식하는 재벌 3세 3권 | [e북]독식하는 재벌 3세 4권 | [e북]독식하는 재벌 3세 5권 | [e북]독식하는 재벌 3세 6권,1,no_s2_key_any_channel,,
리디북스(소설),마교육,179,마교육제 242화 | 마교육제 243화 | 마교육제 244화 | 마교육제 245화 | 마교육제 246화,1,no_s2_key_any_channel,,
리디북스(소설),망겜의고인물로살아남기프롤로그,1,망겜의 고인물로 살아남기 프롤로그,1,no_s2_key_any_channel,,
리디북스(소설),망한세상에서나혼자각성,4,망한 세상에서 나 혼자 각성 1화 | 망한 세상에서 나 혼자 각성 2화 | 망한 세상에서 나 혼자 각성 3화 | 망한 세상에서 나 혼자 각성 4화,1,no_s2_key_any_channel,,
리디북스(소설),메소드로맨스웹툰출간기념수인메소드비스트로맨스,1,[e북]개정판 | 메소드 로맨스 웹툰 출간 기념 수인 외전 : 메소드 비스트 로맨스,1,no_s2_key_any_channel,,
리디북스(소설),보수적이라며팬티는왜벗어,36,보수적이라며 팬티는 왜 벗어? 17화 | 보수적이라며 팬티는 왜 벗어? 18화 | 보수적이라며 팬티는 왜 벗어? 19화 | 보수적이라며 팬티는 왜 벗어? 20화 | 보수적이라며 팬티는 왜 벗어? 21화,1,no_s2_key_any_channel,,
리디북스(소설),보이즈돈크라이,1,[e북]보이즈 돈 크라이 (Boys don't cry) 1권,1,no_s2_key_any_channel,,
리디북스(소설),사립루레인학원시리즈,151,사립 루레인 학원 시리즈 152화 | 사립 루레인 학원 시리즈 153화 | 사립 루레인 학원 시리즈 154화 | 사립 루레인 학원 시리즈 155화 | 사립 루레인 학원 시리즈 156화,1,no_s2_key_any_channel,,
리디북스(소설),수라검,35,[e북]수라검제 2권 | [e북]수라검제 3권 | [e북]수라검제 4권 | [e북]수라검제 5권 | [e북]수라검제 6권,1,no_s2_key_any_channel,,
리디북스(소설),스피크오브더데블,5,[e북]스피크 오브 더 데블(Speak Of The Devil) 5권 (완결) | [e북]스피크 오브 더 데블(Speak Of The Devil) 4권 | [e북]스피크 오브 더 데블(Speak Of The Devil) 1권 | [e북]스피크 오브 더 데블(Speak Of The Devil) 2권 | [e북]스피크 오브 더 데블(Speak Of The Devil) 3권,1,no_s2_key_any_channel,,
리디북스(소설),아이돌공략법으로데뷔합니다,324,아이돌 공략법으로 데뷔합니다 130화 | 아이돌 공략법으로 데뷔합니다 131화 | 아이돌 공략법으로 데뷔합니다 101화 | 아이돌 공략법으로 데뷔합니다 102화 | 아이돌 공략법으로 데뷔합니다 103화,1,no_s2_key_any_channel,,
리디북스(소설),아포칼립스인데나혼자농사,3,[e북]아포칼립스인데 나 혼자 농사 1권 | [e북]아포칼립스인데 나 혼자 농사 2권 | [e북]아포칼립스인데 나 혼자 농사 3권 (완결),1,no_s2_key_any_channel,,
리디북스(소설),야한연극의ts주인공이되었다,70,야한 연극의 TS 주인공이 되었다 16화 | 야한 연극의 TS 주인공이 되었다 17화 | 야한 연극의 TS 주인공이 되었다 18화 | 야한 연극의 TS 주인공이 되었다 19화 | 야한 연극의 TS 주인공이 되었다 21화,1,no_s2_key_any_channel,,
리디북스(소설),유령의노래,1,[e북]유령의 노래,1,no_s2_key_any_channel,,
리디북스(소설),조금은야한우리회사,60,조금은 야한 우리 회사 16화 | 조금은 야한 우리 회사 17화 | 조금은 야한 우리 회사 18화 | 조금은 야한 우리 회사 21화 | 조금은 야한 우리 회사 22화,1,no_s2_key_any_channel,,
리디북스(소설),파공검,686,[e북]파공검제 30권 | 파공검제 23화 | 파공검제 24화 | 파공검제 287화 | 파공검제 288화,1,no_s2_key_any_channel,,
리디북스(소설),평화로운먼치킨영지화,21,평화로운 먼치킨 영지 5 화 | 평화로운 먼치킨 영지 6 화 | 평화로운 먼치킨 영지 7 화 | 평화로운 먼치킨 영지 8 화 | 평화로운 먼치킨 영지 9 화,1,no_s2_key_any_channel,,
모픽(mofic),나는작가다,1,나는 작가다,1,no_s2_key_any_channel,,
모픽(mofic),망한세상에서나혼자각성,1,망한 세상에서 나 혼자 각성,1,no_s2_key_any_channel,,
모픽(mofic),사이코패스살인마는살고싶다,1,사이코패스 살인마는 살고 싶다,1,no_s2_key_any_channel,,
모픽(mofic),용사무적,1,용사무적,1,no_s2_key_any_channel,,
모픽(mofic),줍고보니괴담백서,1,줍고보니 괴담 백서,1,no_s2_key_any_channel,,
무툰(소설 서비스),검,1,검(劍),1,no_s2_key_any_channel,,
무툰(소설 서비스),검웅영제,1,검웅영제(무삭제 개정판),1,no_s2_key_any_channel,,
무툰(소설 서비스),구룡겁,1,구룡겁,1,no_s2_key_any_channel,,
무툰(소설 서비스),늙은경비에게조교당하는스튜어디스의이야기,1,늙은 경비에게 조교당하는 스튜어디스의 이야기,1,no_s2_key_any_channel,,
무툰(소설 서비스),다따먹점혈법,1,다따먹점혈법,1,no_s2_key_any_channel,,
무툰(소설 서비스),독식하는재벌세,2,독식하는 재벌 3세 | 독식하는 재벌 3세 [단행본],1,no_s2_key_any_channel,,
무툰(소설 서비스),보수적이라며팬티는왜벗어,1,보수적이라며 팬티는 왜 벗어,1,no_s2_key_any_channel,,
무툰(소설 서비스),삼랑소,1,삼랑소,1,no_s2_key_any_channel,,
무툰(소설 서비스),야한규칙으로다따먹음,2,야한 규칙으로 다 따먹음 | 야한 규칙으로 다 따먹음 [단행본],1,no_s2_key_any_channel,,
무툰(소설 서비스),야한연극의ts주인공이되었다,2,야한 연극의 TS 주인공이 되었다 [단행본] | 야한 연극의 TS 주인공이 되었다,1,no_s2_key_any_channel,,
무툰(소설 서비스),조금은야한우리회사,1,조금은 야한 우리 회사,1,no_s2_key_any_channel,,
무툰(소설 서비스),천마겁,1,천마겁(무삭제본),1,no_s2_key_any_channel,,
무툰(소설 서비스),천의역근참수기,1,천의역근참수기,1,no_s2_key_any_channel,,
무툰(소설 서비스),칠기무제,1,칠기무제(무삭제 개정판),1,no_s2_key_any_channel,,
무툰(소설 서비스),칠색무,1,칠색무,1,no_s2_key_any_channel,,
무툰(소설 서비스),혈무연,1,혈무연,1,no_s2_key_any_channel,,
문피아,ex급만능사제가되었다,1,EX급 만능사제가 되었다,1,no_s2_key_any_channel,,
문피아,다따먹점혈법,1,다따먹점혈법,1,no_s2_key_any_channel,,
문피아,독식하는재벌세,1,독식하는 재벌 3세 [D],1,no_s2_key_any_channel,,
문피아,야한규칙으로다따먹음,1,야한 규칙으로 다 따먹음,1,no_s2_key_any_channel,,
문피아,야한회사에서대박남,1,야한 회사에서 대박남,1,no_s2_key_any_channel,,
미소설,검웅영제,1,검웅영제 (무삭제 개정판),1,no_s2_key_any_channel,,
미소설,늙은경비에게조교당하는스튜어디스의이야기,1,늙은 경비에게 조교당하는 스튜어디스의 이야기,1,no_s2_key_any_channel,,
미소설,다따먹점혈법,1,다따먹점혈법,1,no_s2_key_any_channel,,
미소설,독식하는재벌세,1,독식하는 재벌 3세,1,no_s2_key_any_channel,,
미소설,보수적이라며팬티는왜벗어,1,보수적이라며 팬티는 왜 벗어?,1,no_s2_key_any_channel,,
미소설,야한규칙으로다따먹음,2,야한 규칙으로 다 따먹음,1,no_s2_key_any_channel,,
미소설,조금은야한우리회사,1,조금은 야한 우리 회사,1,no_s2_key_any_channel,,
미소설,칠기무제,1,칠기무제 (무삭제 개정판),1,no_s2_key_any_channel,,
미스터블루(소설),ex급만능사제가되었다,1,EX급 만능사제가 되었다,1,no_s2_key_any_channel,,
미스터블루(소설),lust,1,LUST [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),sm클럽암캐가된여자들,1,SM클럽 -암캐가 된 여자들-,1,no_s2_key_any_channel,,
미스터블루(소설),검,1,검 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),검은달의전설,1,검은 달의 전설 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),검혼무,1,검혼무 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),고검기,1,고검기 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),고검사우객,1,고검사우객 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),관능소설구멍,1,관능소설-구멍 (무삭제판) [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),광혈사혼무,1,광혈사혼무 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),군,1,군 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),그여자의숲,1,그 여자의 숲 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),금검지,1,금검지 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),금황,1,금황 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),나쁜며느리,1,나쁜 며느리 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),낙하산과클레오파트라,1,낙하산과 클레오파트라 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),냉홍검,1,냉홍검 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),뇌신혈,1,뇌신혈 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),뇌전왕,1,뇌전왕 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),늙은경비에게조교당하는스튜어디스의이야기,2,늙은 경비에게 조교당하는 스튜어디스의 이야기 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),다따먹점혈법,1,다따먹점혈법,1,no_s2_key_any_channel,,
미스터블루(소설),달이가득차오를때,1,달이 가득 차오를 때 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),대도란,1,대도란 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),대상천하,1,대상천하 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),더씨,1,더 씨 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),더히어로즈,1,더 히어로즈 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),도광사,1,도광사 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),독검,1,독검 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),독식하는재벌세,2,독식하는 재벌 3세 | 독식하는 재벌 3세 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),마황,1,마황 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),만약에,1,만약에 [단행본],1,no_s2_key_any_channel,,
