묶음ID,순번,원버킷,감리버킷,추천판정,판매채널,현재정제키,행수,원문예시,best_same_score,same_channel_candidates,best_any_score,any_channel_candidates,S2존재채널,S2제목예시,priority
NOS2_01,25,NOS2,A_same_channel_strong_candidate,"같은 채널 S2 강후보. 진짜 없음으로 단정 금지, 수동확인 우선",리디북스(소설),평화로운먼치킨영지화,21,평화로운 먼치킨 영지 5 화 | 평화로운 먼치킨 영지 6 화 | 평화로운 먼치킨 영지 7 화 | 평화로운 먼치킨 영지 8 화 | 평화로운 먼치킨 영지 9 화 | 평화로운 먼치킨 영지 10 화,1.0,1.0::[연재]평화로운 먼치킨 영지::184365 || 1.0::평화로운 먼치킨 영지::220821,1.0,1.0::Yes24(서점)::[합본]평화로운 먼치킨 영지::189450 || 1.0::Yes24(서점)::평화로운 먼치킨 영지::220812 || 1.0::교보문고(소설)::평화로운 먼치킨 영지::220825 || 1.0::교보문고(톡소다)::평화로운 먼치킨 영지::685764 || 1.0::구글(소설)::[연재]평화로운 먼치킨 영지::568203,,,1
NOS2_01,29,NOS2,A_same_channel_strong_candidate,"같은 채널 S2 강후보. 진짜 없음으로 단정 금지, 수동확인 우선",카카오페이지(소설),천대받는f급힐러라좋았는데요,11,천대받는 F급 힐러라 좋았는데요?,0.9655,0.9655::천대받는 F급 힐러라서 좋았는데요?::873254,0.9655,0.9655::카카오페이지(소설)::천대받는 F급 힐러라서 좋았는데요?::873254,,,1
NOS2_02,73,NOS2,A_same_channel_strong_candidate,"같은 채널 S2 강후보. 진짜 없음으로 단정 금지, 수동확인 우선",구글(소설),"서큐버스와인큐버스,그들의수행기",2,[19금] 서큐버스와 인큐버스， 그들의 수행기 1권,0.9677,"0.9677::[19금]서큐버스와인큐버스,그들의수행기::488318",0.9677,"0.9677::구글(소설)::[19금]서큐버스와인큐버스,그들의수행기::488318",,,1
NOS2_01,1,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,리디북스(소설),독식하는재벌세,778,[e북]독식하는 재벌 3세 2권 | [e북]독식하는 재벌 3세 3권 | [e북]독식하는 재벌 3세 4권 | [e북]독식하는 재벌 3세 5권 | [e북]독식하는 재벌 3세 6권 | [e북]독식하는 재벌 3세 7권,0.9231,0.9231::1980 독식하는 재벌!::111664,0.9231,0.9231::교보문고(소설)::1980 독식하는 재벌!::673477 || 0.9231::구글(소설)::1980 독식하는 재벌!::673476 || 0.9231::네이버_연재::1980 독식하는 재벌!::488558 || 0.9231::네이버_연재(광고수익)::1980 독식하는 재벌!::488560 || 0.9231::네이버_장르(광고수익)::1980 독식하는 재벌!::673478,,,2
NOS2_01,2,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,원스토어(소설),독식하는재벌세,687,독식하는 재벌 3세,0.9231,0.9231::1980 독식하는 재벌!::189502,0.9231,0.9231::교보문고(소설)::1980 독식하는 재벌!::673477 || 0.9231::구글(소설)::1980 독식하는 재벌!::673476 || 0.9231::네이버_연재::1980 독식하는 재벌!::488558 || 0.9231::네이버_연재(광고수익)::1980 독식하는 재벌!::488560 || 0.9231::네이버_장르(광고수익)::1980 독식하는 재벌!::673478,,,2
NOS2_01,3,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,리디북스(소설),늙은경비에게조교당하는스튜어디스의이야기,338,늙은 경비에게 조교당하는 스튜어디스의 이야기 15화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 213화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 6화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 14화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 16화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 17화,0.91,0.91::늙은 경비에게 조교당하는 스튜어디스::164407,0.91,0.91::구글(소설)::늙은 경비에게 조교당하는 스튜어디스::567971 || 0.91::리디북스(소설)::늙은 경비에게 조교당하는 스튜어디스::164407 || 0.91::무툰(소설 서비스)::늙은 경비에게 조교당하는 스튜어디스::164408 || 0.91::미소설::늙은 경비에게 조교당하는 스튜어디스::164409 || 0.91::미스터블루(소설)::늙은 경비에게 조교당하는 스튜어디스::164410,,,2
NOS2_01,9,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,원스토어(소설),야한규칙으로다따먹음,158,야한 규칙으로 다 따먹음,0.91,0.91::0_야한규칙으로 다 따먹음_파워레인젖_일반::870803,0.91,0.91::Yes24(서점)::0_야한규칙으로 다 따먹음_파워레인젖_일반::889829 || 0.91::교보문고(소설)::0_야한규칙으로 다 따먹음_파워레인젖_일반::863787 || 0.91::구글(소설)::0_야한규칙으로 다 따먹음_파워레인젖_일반::901106 || 0.91::네이버_연재::0_야한규칙으로 다 따먹음_파워레인젖_일반::869284 || 0.91::무툰(소설 서비스)::0_야한규칙으로 다 따먹음_파워레인젖_일반::869635,,,2
NOS2_01,12,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,한아름(P000003716),조금은야한우리회사,99,[연재] 조금은 야한 우리 회사,0.91,0.91::0_조금은 야한 우리 회사_파워레인젖_일반::889219,0.91,0.91::교보문고(소설)::0_조금은 야한 우리 회사_파워레인젖_일반::873923 || 0.91::네이버_연재::0_조금은 야한 우리 회사_파워레인젖_일반::889418 || 0.91::리디북스(소설)::0_조금은 야한 우리 회사_파워레인젖_일반::891294 || 0.91::무툰(소설 서비스)::0_조금은 야한 우리 회사_파워레인젖_일반::889799 || 0.91::미소설::0_조금은 야한 우리 회사_파워레인젖_일반::889263,,,2
NOS2_01,13,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,판무림,야한규칙으로다따먹음,86,야한 규칙으로 다 따먹음,0.91,0.91::0_야한규칙으로 다 따먹음_파워레인젖_일반::870096,0.91,0.91::Yes24(서점)::0_야한규칙으로 다 따먹음_파워레인젖_일반::889829 || 0.91::교보문고(소설)::0_야한규칙으로 다 따먹음_파워레인젖_일반::863787 || 0.91::구글(소설)::0_야한규칙으로 다 따먹음_파워레인젖_일반::901106 || 0.91::네이버_연재::0_야한규칙으로 다 따먹음_파워레인젖_일반::869284 || 0.91::무툰(소설 서비스)::0_야한규칙으로 다 따먹음_파워레인젖_일반::869635,,,2
NOS2_01,15,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,리디북스(소설),야한연극의ts주인공이되었다,70,야한 연극의 TS 주인공이 되었다 16화 | 야한 연극의 TS 주인공이 되었다 17화 | 야한 연극의 TS 주인공이 되었다 18화 | 야한 연극의 TS 주인공이 되었다 19화 | 야한 연극의 TS 주인공이 되었다 21화 | 야한 연극의 TS 주인공이 되었다 26화,0.91,0.91::0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반::870811,0.91,0.91::Yes24(서점)::0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반::878921 || 0.91::교보문고(소설)::0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반::857905 || 0.91::네이버_연재::0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반::869286 || 0.91::네이버_장르::0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반::879209 || 0.91::리디북스(소설)::0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반::870811,,,2
NOS2_01,16,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,리디북스(소설),조금은야한우리회사,60,조금은 야한 우리 회사 16화 | 조금은 야한 우리 회사 17화 | 조금은 야한 우리 회사 18화 | 조금은 야한 우리 회사 21화 | 조금은 야한 우리 회사 22화 | 조금은 야한 우리 회사 23화,0.91,0.91::0_조금은 야한 우리 회사_파워레인젖_일반::891294,0.91,0.91::교보문고(소설)::0_조금은 야한 우리 회사_파워레인젖_일반::873923 || 0.91::네이버_연재::0_조금은 야한 우리 회사_파워레인젖_일반::889418 || 0.91::리디북스(소설)::0_조금은 야한 우리 회사_파워레인젖_일반::891294 || 0.91::무툰(소설 서비스)::0_조금은 야한 우리 회사_파워레인젖_일반::889799 || 0.91::미소설::0_조금은 야한 우리 회사_파워레인젖_일반::889263,,,2
