묶음ID,원버킷,후보유형,판매채널,현재정제키,제안정제키,행수,원문예시,같은채널_S2후보,추천판정
NOS2_01,NOS2,s2_structured_title_segment,원스토어(소설),야한규칙으로다따먹음,야한규칙으로다따먹음,158,야한 규칙으로 다 따먹음,0_야한규칙으로 다 따먹음_파워레인젖_일반,로직 후보
NOS2_01,NOS2,s2_structured_title_segment,한아름(P000003716),조금은야한우리회사,조금은야한우리회사,99,[연재] 조금은 야한 우리 회사,0_조금은 야한 우리 회사_파워레인젖_일반,로직 후보
NOS2_01,NOS2,s2_structured_title_segment,판무림,야한규칙으로다따먹음,야한규칙으로다따먹음,86,야한 규칙으로 다 따먹음,0_야한규칙으로 다 따먹음_파워레인젖_일반,로직 후보
NOS2_01,NOS2,s2_structured_title_segment,리디북스(소설),야한연극의ts주인공이되었다,야한연극의ts주인공이되었다,70,야한 연극의 TS 주인공이 되었다 16화 | 야한 연극의 TS 주인공이 되었다 17화 | 야한 연극의 TS 주인공이 되었다 18화 | 야한 연극의 TS 주인공이 되었다 19화 | 야한 연극의 TS 주인공이 되었다 21화 | 야한 연극의 TS 주인공이 되었다 26화,0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반,로직 후보
NOS2_01,NOS2,s2_structured_title_segment,리디북스(소설),조금은야한우리회사,조금은야한우리회사,60,조금은 야한 우리 회사 16화 | 조금은 야한 우리 회사 17화 | 조금은 야한 우리 회사 18화 | 조금은 야한 우리 회사 21화 | 조금은 야한 우리 회사 22화 | 조금은 야한 우리 회사 23화,0_조금은 야한 우리 회사_파워레인젖_일반,로직 후보
NOS2_01,NOS2,s2_structured_title_segment,한아름(P000003716),야한규칙으로다따먹음,야한규칙으로다따먹음,42,[연재] 야한 규칙으로 다 따먹음,0_야한규칙으로 다 따먹음_파워레인젖_일반,로직 후보
NOS2_01,NOS2,s2_structured_title_segment,원스토어(소설),조금은야한우리회사,조금은야한우리회사,41,조금은 야한 우리 회사,0_조금은 야한 우리 회사_파워레인젖_일반,로직 후보
NOS2_01,NOS2,s2_structured_title_segment,알라딘(소설)(1068659313),야한규칙으로다따먹음,야한규칙으로다따먹음,16,야한 규칙으로 다 따먹음 1 | 야한 규칙으로 다 따먹음 2 | 야한 규칙으로 다 따먹음 3 | 야한 규칙으로 다 따먹음 5 | 야한 규칙으로 다 따먹음 4 | 야한 규칙으로 다 따먹음 7,0_야한규칙으로 다 따먹음_파워레인젖_일반,로직 후보
OTHER_01,OTHER,s2_structured_title_segment,한아름(P000003716),혜정이의야한이야기,혜정이의야한이야기,15,[연재] 혜정이의 야한 이야기,0_혜정이의 야한 이야기_파워레인젖_일반,로직 후보
NOS2_01,NOS2,s2_structured_title_segment,Yes24(서점),야한규칙으로다따먹음,야한규칙으로다따먹음,15,야한 규칙으로 다 따먹음 1권 | 야한 규칙으로 다 따먹음 2권 | 야한 규칙으로 다 따먹음 3권,0_야한규칙으로 다 따먹음_파워레인젖_일반,로직 후보
OTHER_01,OTHER,s2_structured_title_segment,에피루스 이북클럽(B2C),가리봉마왕족발,가리봉마왕족발,10,가리봉 마왕족발 2 | 가리봉 마왕족발 3 | 가리봉 마왕족발 4 | 가리봉 마왕족발 5 | 가리봉 마왕족발 6 | 가리봉 마왕족발 7,0_가리봉 마왕족발_디케이_일반,로직 후보
NOS2_01,NOS2,s2_structured_title_segment,북큐브(소설),야한규칙으로다따먹음,야한규칙으로다따먹음,10,야한 규칙으로 다 따먹음 2 | 야한 규칙으로 다 따먹음 3 | 야한 규칙으로 다 따먹음 4 | 야한 규칙으로 다 따먹음 5 | 야한 규칙으로 다 따먹음 6 | 야한 규칙으로 다 따먹음 7,0_야한규칙으로 다 따먹음_파워레인젖_일반,로직 후보
NOS2_01,NOS2,s2_structured_title_segment,교보문고(소설),야한규칙으로다따먹음,야한규칙으로다따먹음,7,야한 규칙으로 다 따먹음 | 야한 규칙으로 다 따먹음 2권 | 야한 규칙으로 다 따먹음 3권 | 야한 규칙으로 다 따먹음 4권 | 야한 규칙으로 다 따먹음 5권 | 야한 규칙으로 다 따먹음 6권,0_야한규칙으로 다 따먹음_파워레인젖_일반,로직 후보
NOS2_02,NOS2,s2_structured_title_segment,원스토어(소설),나는작가다,나는작가다,4,[기한대]나는 작가다,0_나는 작가다_만선_일반,로직 후보
NOS2_02,NOS2,s2_structured_title_segment,리디북스(소설),아포칼립스인데나혼자농사,아포칼립스인데나혼자농사,3,[e북]아포칼립스인데 나 혼자 농사 1권 | [e북]아포칼립스인데 나 혼자 농사 2권 | [e북]아포칼립스인데 나 혼자 농사 3권 (완결),0_아포칼립스인데나혼자농사_이루이_일반,로직 후보
NOS2_02,NOS2,s2_structured_title_segment,무툰(소설 서비스),야한규칙으로다따먹음,야한규칙으로다따먹음,2,야한 규칙으로 다 따먹음 | 야한 규칙으로 다 따먹음 [단행본],0_야한규칙으로 다 따먹음_파워레인젖_일반,로직 후보
NOS2_02,NOS2,s2_structured_title_segment,무툰(소설 서비스),야한연극의ts주인공이되었다,야한연극의ts주인공이되었다,2,야한 연극의 TS 주인공이 되었다 [단행본] | 야한 연극의 TS 주인공이 되었다,0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반,로직 후보
NOS2_02,NOS2,s2_structured_title_segment,미소설,야한규칙으로다따먹음,야한규칙으로다따먹음,2,야한 규칙으로 다 따먹음,0_야한규칙으로 다 따먹음_파워레인젖_일반,로직 후보
NOS2_02,NOS2,s2_structured_title_segment,미스터블루(소설),야한규칙으로다따먹음,야한규칙으로다따먹음,2,야한 규칙으로 다 따먹음 | 야한 규칙으로 다 따먹음 [단행본],0_야한규칙으로 다 따먹음_파워레인젖_일반,로직 후보
NOS2_02,NOS2,s2_structured_title_segment,에피루스 이북클럽(B2C),야한규칙으로다따먹음,야한규칙으로다따먹음,2,야한 규칙으로 다 따먹음 6화 | 야한 규칙으로 다 따먹음 7화,0_야한규칙으로 다 따먹음_파워레인젖_일반,로직 후보
NOS2_02,NOS2,s2_structured_title_segment,조아라(소설),야한규칙으로다따먹음,야한규칙으로다따먹음,2,야한 규칙으로 다 따먹음 (단행본) | 야한 규칙으로 다 따먹음,0_야한규칙으로 다 따먹음_파워레인젖_일반,로직 후보
NOS2_02,NOS2,s2_structured_title_segment,판무림,조금은야한우리회사,조금은야한우리회사,2,조금은 야한 우리 회사,0_조금은 야한 우리 회사_파워레인젖_일반,로직 후보
OTHER_02,OTHER,s2_structured_title_segment,Yes24(서점),혜정이의야한이야기,혜정이의야한이야기,1,혜정이의 야한 이야기 1권,0_혜정이의 야한 이야기_파워레인젖_일반,로직 후보
OTHER_03,OTHER,s2_structured_title_segment,네이버_연재,음공천하,음공천하,1,음공천하,0_음공천하_서호_일반,로직 후보
