단계,플랫폼,판매채널명,상태,순번,판매채널ID,거래처코드,행수,오류
target,교보,교보문고(소설),targeted,,,,,
target,교보,교보문고(톡소다),targeted,,,,,
target,구글,구글(소설),targeted,,,,,
target,네이버,네이버_장르(광고수익),targeted,,,,,
target,네이버,네이버_연재(광고수익),targeted,,,,,
target,네이버,네이버_장르,targeted,,,,,
target,네이버,네이버_연재,targeted,,,,,
target,네이버,네이버_일반,targeted,,,,,
target,노벨피아,노벨피아 (소설),targeted,,,,,
target,로망띠끄,로망띠끄,targeted,,,,,
target,리디북스,리디북스(이벤트),targeted,,,,,
target,모픽,모픽(mofic),targeted,,,,,
target,무툰,무툰(소설 서비스),targeted,,,,,
target,문피아,문피아(후원금 정산),targeted,,,,,
target,미소설,미소설,targeted,,,,,
target,미스터블루,미스터블루(소설),targeted,,,,,
target,밀리의서재,밀리의 서재,targeted,,,,,
target,보인&국립장애인도서관,보인,targeted,,,,,
target,보인&국립장애인도서관,국립장애인도서관,targeted,,,,,
target,부커스,부커스,targeted,,,,,
target,북큐브,북큐브(소설),targeted,,,,,
target,북팔,북팔(소설),targeted,,,,,
target,북팔,예원북스(북팔),targeted,,,,,
target,블라이스,블라이스_일반결제,targeted,,,,,
target,블라이스,블라이스_인앱결제,targeted,,,,,
target,블라이스,블라이스 셀렉트,targeted,,,,,
target,스낵북,스낵북(알에스),targeted,,,,,
target,스토린랩,스토린랩(원스토어),targeted,,,,,
target,신영미디어,신영미디어,targeted,,,,,
target,알라딘,알라딘(소설)(1068659313),targeted,,,,,
target,에이블리,에이블리(소설),targeted,,,,,
target,에피루스,에피루스 이북클럽(B2C),targeted,,,,,
target,예스24,Yes24(서점),targeted,,,,,
target,예스24,Yes24(시프트북스),targeted,,,,,
target,올툰,올툰(소설),targeted,,,,,
target,올툰,올툰,targeted,,,,,
target,원스토어,원스토어(소설),targeted,,,,,
target,윌라,윌라(전자책),targeted,,,,,
target,윌라,윌라(오디오북),targeted,,,,,
target,조아라,조아라(소설),targeted,,,,,
target,카카오,카카오페이지(선투자),targeted,,,,,
target,카카오,카카오페이지(창작지원금),targeted,,,,,
target,카카오,카카오페이지(소설),targeted,,,,,
target,큐툰,큐툰(소설 서비스),targeted,,,,,
target,토스(구루컴퍼니),토스(소설),targeted,,,,,
target,토스(구루컴퍼니),구루컴퍼니,targeted,,,,,
target,판무림,판무림,targeted,,,,,
target,피우리(누온),누온,targeted,,,,,
target,피플앤스토리,피플앤스토리 (P2P 웹소설 서비스),targeted,,,,,
target,하이북,웹소설 하이북,targeted,,,,,
target,한아름,한아름(P000003716),targeted,,,,,
fetch,교보,교보문고(소설),success,1.0,87,1028111670,3367.0,
fetch,교보,교보문고(톡소다),success,2.0,65,1028111670,595.0,
fetch,구글,구글(소설),success,3.0,82,F000000251,3529.0,
fetch,네이버,네이버_연재,success,4.0,35,6698601888,887.0,
fetch,네이버,네이버_연재(광고수익),success,5.0,34,6698601888,1267.0,
fetch,네이버,네이버_일반,success,6.0,36,2208162517,3266.0,
fetch,네이버,네이버_장르,success,7.0,37,6698601888,1897.0,
fetch,네이버,네이버_장르(광고수익),success,8.0,33,6698601888,2870.0,
fetch,노벨피아,노벨피아 (소설),success,9.0,1169,CN2025020371,349.0,
fetch,로망띠끄,로망띠끄,success,10.0,84,6020637265,947.0,
fetch,리디북스,리디북스(이벤트),success,11.0,61,1208727435,3568.0,
fetch,모픽,모픽(mofic),success,12.0,1248,7238801847,515.0,
fetch,무툰,무툰(소설 서비스),success,13.0,63,7168100915,3080.0,
fetch,문피아,문피아(후원금 정산),success,14.0,49,2648108435,794.0,
fetch,미소설,미소설,success,15.0,67,2728100259,766.0,
fetch,미스터블루,미스터블루(소설),success,16.0,93,1078830967,9666.0,
fetch,밀리의서재,밀리의 서재,success,17.0,1106,4238800370,409.0,
fetch,보인&국립장애인도서관,국립장애인도서관,success,18.0,1284,3628300051,113.0,
fetch,보인&국립장애인도서관,보인,success,19.0,1280,2448600486,143.0,
fetch,부커스,부커스,success,20.0,42,4588801884,325.0,
fetch,북큐브,북큐브(소설),success,21.0,66,1138624199,3662.0,
fetch,북팔,북팔(소설),success,22.0,46,2148874813,1149.0,
fetch,북팔,예원북스(북팔),success,23.0,78,2148874813,262.0,
fetch,블라이스,블라이스 셀렉트,success,24.0,1107,4238800370,299.0,
fetch,블라이스,블라이스_인앱결제,success,25.0,57,4238800370,565.0,
fetch,블라이스,블라이스_일반결제,success,26.0,58,4238800370,991.0,
fetch,스낵북,스낵북(알에스),success,27.0,74,3048700261,520.0,
fetch,스토린랩,스토린랩(원스토어),success,28.0,77,6048600280,2066.0,
fetch,신영미디어,신영미디어,success,29.0,80,1018124115,371.0,
fetch,알라딘,알라딘(소설)(1068659313),success,30.0,55,2018123094,1370.0,
fetch,에이블리,에이블리(소설),success,31.0,40,1648700149,473.0,
fetch,에피루스,에피루스 이북클럽(B2C),success,32.0,73,2148631557,869.0,
fetch,예스24,Yes24(서점),success,33.0,54,2298137000,3994.0,
fetch,예스24,Yes24(시프트북스),success,34.0,85,2298137000,244.0,
fetch,올툰,올툰,success,35.0,466,1798102225,196.0,
fetch,올툰,올툰(소설),success,36.0,1108,1798102225,336.0,
fetch,원스토어,원스토어(소설),success,37.0,92,8568600329,9998.0,
fetch,윌라,윌라(오디오북),success,38.0,41,2208765006,245.0,
fetch,윌라,윌라(전자책),success,39.0,38,2208765006,498.0,
fetch,조아라,조아라(소설),success,40.0,79,6178165421,1263.0,
fetch,카카오,카카오페이지(선투자),success,41.0,31,2208802594,740.0,
fetch,카카오,카카오페이지(소설),success,42.0,32,2208802594,1242.0,
fetch,카카오,카카오페이지(창작지원금),success,43.0,30,2208802594,1063.0,
fetch,큐툰,큐툰(소설 서비스),success,44.0,47,7168100915,414.0,
fetch,토스(구루컴퍼니),구루컴퍼니,success,45.0,453,1678601247,247.0,
fetch,토스(구루컴퍼니),토스(소설),success,46.0,1109,1678601247,619.0,
fetch,판무림,판무림,success,47.0,62,5878702092,9124.0,
fetch,피우리(누온),누온,success,48.0,88,2278700227,2397.0,
fetch,피플앤스토리,피플앤스토리 (P2P 웹소설 서비스),success,49.0,75,1058810325,1746.0,
fetch,하이북,웹소설 하이북,success,50.0,76,3748700519,3542.0,
fetch,한아름,한아름(P000003716),success,51.0,70,1108144866,7440.0,
