파일,S2 판매채널,플랫폼,정산서_원본행번호,정산서원본_source_row,정산서_콘텐츠명,이전_정제키,이전_S2상태,이전_S2_ID,이전_S2콘텐츠명,이전_검토필요,신규_정제키,신규_S2상태,신규_S2_ID,신규_S2콘텐츠명,신규_검토필요,_merge
2026-02__Yes24(서점)__SSOT.xlsx,Yes24(서점),예스24,1082,,혜정이의 야한 이야기 1권,혜정이의야한이야기,no_match,,,Y,혜정이의야한이야기,matched,863943,0_혜정이의 야한 이야기_파워레인젖_일반,N,both
2026-02__Yes24(서점)__SSOT.xlsx,Yes24(서점),예스24,206,,야한 규칙으로 다 따먹음 1권,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,889829,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
2026-02__Yes24(서점)__SSOT.xlsx,Yes24(서점),예스24,350,,야한 규칙으로 다 따먹음 1권,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,889829,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
2026-02__Yes24(서점)__SSOT.xlsx,Yes24(서점),예스24,407,,야한 규칙으로 다 따먹음 1권,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,889829,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
2026-02__Yes24(서점)__SSOT.xlsx,Yes24(서점),예스24,428,,야한 규칙으로 다 따먹음 1권,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,889829,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
2026-02__Yes24(서점)__SSOT.xlsx,Yes24(서점),예스24,491,,야한 규칙으로 다 따먹음 1권,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,889829,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
2026-02__Yes24(서점)__SSOT.xlsx,Yes24(서점),예스24,560,,야한 규칙으로 다 따먹음 1권,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,889829,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
2026-02__Yes24(서점)__SSOT.xlsx,Yes24(서점),예스24,599,,야한 연극의 TS 주인공이 되었다 1권,야한연극의ts주인공이되었다,no_match,,,Y,야한연극의ts주인공이되었다,matched,878921,0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반,N,both
2026-02__Yes24(서점)__SSOT.xlsx,Yes24(서점),예스24,608,,야한 규칙으로 다 따먹음 2권,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,889829,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
2026-02__Yes24(서점)__SSOT.xlsx,Yes24(서점),예스24,609,,야한 규칙으로 다 따먹음 1권,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,889829,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
2026-02__Yes24(서점)__SSOT.xlsx,Yes24(서점),예스24,657,,야한 규칙으로 다 따먹음 1권,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,889829,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
2026-02__Yes24(서점)__SSOT.xlsx,Yes24(서점),예스24,658,,야한 규칙으로 다 따먹음 3권,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,889829,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
2026-02__Yes24(서점)__SSOT.xlsx,Yes24(서점),예스24,659,,야한 규칙으로 다 따먹음 2권,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,889829,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
2026-02__Yes24(서점)__SSOT.xlsx,Yes24(서점),예스24,660,,야한 규칙으로 다 따먹음 1권,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,889829,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
2026-02__Yes24(서점)__SSOT.xlsx,Yes24(서점),예스24,692,,야한 규칙으로 다 따먹음 1권,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,889829,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
2026-02__Yes24(서점)__SSOT.xlsx,Yes24(서점),예스24,696,,야한 규칙으로 다 따먹음 1권,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,889829,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
2026-02__Yes24(서점)__SSOT.xlsx,Yes24(서점),예스24,719,,야한 규칙으로 다 따먹음 1권,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,889829,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
2026-02__교보문고(소설)__SSOT.xlsx,교보문고(소설),교보,156,,김석산 파이브,김석산파이브,no_match,,,Y,김석산파이브,matched,889697,0_김석산 파이브_지미신_일반,N,both
2026-02__교보문고(소설)__SSOT.xlsx,교보문고(소설),교보,584,,야한 연극의 TS 주인공이 되었다,야한연극의ts주인공이되었다,no_match,,,Y,야한연극의ts주인공이되었다,matched,857905,0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반,N,both
2026-02__교보문고(소설)__SSOT.xlsx,교보문고(소설),교보,585,,야한 규칙으로 다 따먹음,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,863787,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
2026-02__교보문고(소설)__SSOT.xlsx,교보문고(소설),교보,602,,조금은 야한 우리 회사,조금은야한우리회사,no_match,,,Y,조금은야한우리회사,matched,873923,0_조금은 야한 우리 회사_파워레인젖_일반,N,both
2026-02__교보문고(소설)__SSOT.xlsx,교보문고(소설),교보,723,,야한 규칙으로 다 따먹음 2권,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,863787,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
2026-02__교보문고(소설)__SSOT.xlsx,교보문고(소설),교보,724,,야한 규칙으로 다 따먹음 3권,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,863787,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
2026-02__교보문고(소설)__SSOT.xlsx,교보문고(소설),교보,725,,야한 규칙으로 다 따먹음 4권,야한규칙으로다따먹음,no_match,,,Y,야한규칙으로다따먹음,matched,863787,0_야한규칙으로 다 따먹음_파워레인젖_일반,N,both
