S2 판매채널,이전_정제키,신규_정제키,이전_S2상태,신규_S2상태,행수
원스토어(소설),야한규칙으로다따먹음,야한규칙으로다따먹음,no_match,matched,158
한아름(P000003716),조금은야한우리회사,조금은야한우리회사,no_match,matched,99
판무림,야한규칙으로다따먹음,야한규칙으로다따먹음,no_match,matched,86
리디북스(소설),야한연극의ts주인공이되었다,야한연극의ts주인공이되었다,no_match,matched,70
리디북스(소설),조금은야한우리회사,조금은야한우리회사,no_match,matched,60
한아름(P000003716),야한규칙으로다따먹음,야한규칙으로다따먹음,no_match,matched,42
원스토어(소설),조금은야한우리회사,조금은야한우리회사,no_match,matched,41
리디북스(소설),평화로운먼치킨영지화,평화로운먼치킨영지,no_match,matched,21
알라딘(소설)(1068659313),야한규칙으로다따먹음,야한규칙으로다따먹음,no_match,matched,16
Yes24(서점),야한규칙으로다따먹음,야한규칙으로다따먹음,no_match,matched,15
한아름(P000003716),혜정이의야한이야기,혜정이의야한이야기,no_match,matched,15
에피루스 이북클럽(B2C),가리봉마왕족발,가리봉마왕족발,no_match,matched,10
북큐브(소설),야한규칙으로다따먹음,야한규칙으로다따먹음,no_match,matched,10
교보문고(소설),야한규칙으로다따먹음,야한규칙으로다따먹음,no_match,matched,7
원스토어(소설),나는작가다,나는작가다,no_match,matched,4
리디북스(소설),아포칼립스인데나혼자농사,아포칼립스인데나혼자농사,no_match,matched,3
미소설,야한규칙으로다따먹음,야한규칙으로다따먹음,no_match,matched,2
무툰(소설 서비스),야한연극의ts주인공이되었다,야한연극의ts주인공이되었다,no_match,matched,2
에피루스 이북클럽(B2C),야한규칙으로다따먹음,야한규칙으로다따먹음,no_match,matched,2
미스터블루(소설),야한규칙으로다따먹음,야한규칙으로다따먹음,no_match,matched,2
조아라(소설),야한규칙으로다따먹음,야한규칙으로다따먹음,no_match,matched,2
무툰(소설 서비스),야한규칙으로다따먹음,야한규칙으로다따먹음,no_match,matched,2
판무림,조금은야한우리회사,조금은야한우리회사,no_match,matched,2
조아라(소설),혜정이의야한이야기,혜정이의야한이야기,no_match,matched,1
블라이스_일반결제,야한규칙으로다따먹음,야한규칙으로다따먹음,no_match,matched,1
웹소설 하이북,조금은야한우리회사,조금은야한우리회사,no_match,matched,1
웹소설 하이북,야한규칙으로다따먹음,야한규칙으로다따먹음,no_match,matched,1
교보문고(소설),야한연극의ts주인공이되었다,야한연극의ts주인공이되었다,no_match,matched,1
교보문고(소설),조금은야한우리회사,조금은야한우리회사,no_match,matched,1
교보문고(소설),김석산파이브,김석산파이브,no_match,matched,1
한아름(P000003716),야한연극의ts주인공이되었다,야한연극의ts주인공이되었다,no_match,matched,1
Yes24(서점),혜정이의야한이야기,혜정이의야한이야기,no_match,matched,1
네이버_연재,드래곤잡으려다내가잡힘,드래곤잡으려다내가잡힘,no_match,matched,1
네이버_연재,조금은야한우리회사,조금은야한우리회사,no_match,matched,1
북팔(소설),조금은야한우리회사,조금은야한우리회사,no_match,matched,1
북팔(소설),야한규칙으로다따먹음,야한규칙으로다따먹음,no_match,matched,1
네이버_연재,혜정이의야한이야기,혜정이의야한이야기,no_match,matched,1
미스터블루(소설),조금은야한우리회사,조금은야한우리회사,no_match,matched,1
미소설,조금은야한우리회사,조금은야한우리회사,no_match,matched,1
Yes24(서점),야한연극의ts주인공이되었다,야한연극의ts주인공이되었다,no_match,matched,1
문피아,야한회사에서대박남,야한회사에서대박남,no_match,matched,1
문피아,야한규칙으로다따먹음,야한규칙으로다따먹음,no_match,matched,1
무툰(소설 서비스),혜정이의야한이야기,혜정이의야한이야기,no_match,matched,1
무툰(소설 서비스),조금은야한우리회사,조금은야한우리회사,no_match,matched,1
모픽(mofic),용사무적,용사무적,no_match,matched,1
모픽(mofic),나는작가다,나는작가다,no_match,matched,1
네이버_연재,야한규칙으로다따먹음,야한규칙으로다따먹음,no_match,matched,1
네이버_연재,야한연극의ts주인공이되었다,야한연극의ts주인공이되었다,no_match,matched,1
네이버_연재,음공천하,음공천하,no_match,matched,1
북큐브(소설),조금은야한우리회사,조금은야한우리회사,no_match,matched,1
