세부판단유형,판매채널,groups,rows,상위정제키
같은채널 지급정산 fuzzy 동일작 확인,구글(소설),2,3,"서큐버스와인큐버스,그들의수행기(2) | 추억,순간의바람이되어(1)"
같은채널 지급정산 fuzzy 동일작 확인,네이버_장르,1,1,던전에서성자가하는일(1)
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),미스터블루(소설),38,38,검(1) | 검은달의전설(1) | 검혼무(1) | 고검기(1) | 고검사우객(1) | 군(1) | 금검지(1) | 금황(1)
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),한아름(P000003716),9,16,검(4) | 금검지(4) | 태양천자(2) | 검무흔(1) | 뇌신혈(1) | 독수혈랑(1) | 묘연만왕(1) | 섹스공화국(1)
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),교보문고(소설),3,15,금검지(13) | 무유지(1) | 협골단심(1)
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),카카오페이지(소설),4,14,함부로동정하지말것(6) | 아이돌공략법으로데뷔합니다(4) | 백치공주시리즈(3) | 원나잇노썸씽(1)
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),무툰(소설 서비스),8,8,검(1) | 검무흔(1) | 검웅영제(1) | 구룡겁(1) | 삼랑소(1) | 십왕책(1) | 칠기무제(1) | 혈무연(1)
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),웹소설 하이북,7,8,검웅영제(2) | 구룡겁(1) | 대상천하(1) | 천마겁(1) | 칠기무제(1) | 팔왕예조(1) | 혈무연(1)
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),카카오페이지(선투자),2,7,곤륜신기전(4) | rpg시티(3)
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),구글(소설),2,5,검(3) | 혈무연(2)
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),판무림,1,4,검웅영제(4)
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),네이버_연재,3,3,논마라나타(1) | 아이돌공략법으로데뷔합니다(1) | 이악당은이제제겁니다(1)
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),네이버_장르,2,2,베스트단편추리소설걸작선(1) | 십교종사(1)
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),모픽(mofic),1,1,줍고보니괴담백서(1)
같은채널 판매채널콘텐츠 있음(B급 잠재오염),미스터블루(소설),32,32,lust(1) | 관능소설구멍(1) | 광혈사혼무(1) | 그여자의숲(1) | 낙하산과클레오파트라(1) | 냉홍검(1) | 뇌전왕(1) | 달이가득차오를때(1)
같은채널 판매채널콘텐츠 있음(B급 잠재오염),교보문고(소설),4,25,소설황당무계(9) | 소림대협(7) | 용쟁혈투(5) | 중원지(4)
같은채널 판매채널콘텐츠 있음(B급 잠재오염),한아름(P000003716),14,21,무유지(7) | 색녀(2) | 검은달의전설(1) | 대단히부도덕한섹스(1) | 마황(1) | 무례한남자약은여자(1) | 살차이(1) | 색녀여사장의유혹(1)
같은채널 판매채널콘텐츠 있음(B급 잠재오염),판무림,6,16,소뢰아(5) | 천의역근참수기(4) | 팔왕예조(3) | 황성고검(2) | 구룡겁(1) | 칠색무(1)
같은채널 판매채널콘텐츠 있음(B급 잠재오염),원스토어(소설),8,13,독검(6) | 누나와김병장(1) | 모녀의외도(1) | 무유지(1) | 묻지마관광윤간사건(1) | 사모님과마사지알바생(1) | 아내의간통현장(1) | 아이돌공략법으로데뷔합니다(1)
같은채널 판매채널콘텐츠 있음(B급 잠재오염),네이버_장르,5,5,만강홍(1) | 몸으로우는소쩍새(1) | 조선명탐정정약용암행(1) | 혈무연(1) | 혜정교살인사건(1)
같은채널 판매채널콘텐츠 있음(B급 잠재오염),웹소설 하이북,5,5,광혈사혼무(1) | 금황(1) | 십교종사(1) | 태양천자(1) | 호협천추(1)
같은채널 판매채널콘텐츠 있음(B급 잠재오염),무툰(소설 서비스),4,4,검정대륙행(1) | 천마겁(1) | 천의역근참수기(1) | 칠색무(1)
같은채널 판매채널콘텐츠 있음(B급 잠재오염),미소설,2,2,검웅영제(1) | 칠기무제(1)
같은채널 판매채널콘텐츠 있음(B급 잠재오염),조아라(소설),2,2,만포인트로환생하기(1) | 아이돌공략법으로데뷔합니다(1)
같은채널 판매채널콘텐츠 있음(B급 잠재오염),카카오페이지(소설),2,2,교수님과하룻밤을보낼거야(1) | 아사벼리이지환로맨스소설(1)
같은채널 판매채널콘텐츠 있음(B급 잠재오염),로망띠끄,1,1,이름을세번부를때까지(1)
같은채널 판매채널콘텐츠 있음(B급 잠재오염),에피루스 이북클럽(B2C),1,1,신마열전(1)
같은채널 판매채널콘텐츠 있음(C급 사용안함/차단 확인),알라딘(소설)(1068659313),1,6,용사무적(6)
같은채널 판매채널콘텐츠 있음(C급 사용안함/차단 확인),구글(소설),1,2,용사무적(2)
같은채널 판매채널콘텐츠 있음(C급 사용안함/차단 확인),부커스,1,1,용사무적(1)
같은채널 판매채널콘텐츠 있음(등급 확인),구글(소설),1,122,타락의검은실(122)
"콘텐츠마스터 없음, 원천 작품 확인",리디북스(소설),10,1340,독식하는재벌세(778) | ex급만능사제가되었다(187) | sm클럽암캐가된여자들(180) | 사립루레인학원시리즈(151) | 보수적이라며팬티는왜벗어(36) | 망한세상에서나혼자각성(4) | 고인물무림에가다(1) | 망겜의고인물로살아남기프롤로그(1)
"콘텐츠마스터 없음, 원천 작품 확인",원스토어(소설),6,1205,독식하는재벌세(687) | ex급만능사제가되었다(313) | 다따먹점혈법(176) | 고인물무림에가다(10) | 시간의마에스트로(10) | sm클럽암캐가된여자들(9)
"콘텐츠마스터 없음, 원천 작품 확인",Yes24(서점),2,107,악작현대au(106) | 메소드로맨스메소드비스트로맨스(1)
"콘텐츠마스터 없음, 원천 작품 확인",판무림,3,82,다따먹점혈법(77) | 독식하는재벌세(3) | 보수적이라며팬티는왜벗어(2)
"콘텐츠마스터 없음, 원천 작품 확인",한아름(P000003716),9,56,다따먹점혈법(48) | 아름북스inapp(1) | 아름북스web(1) | 아름북스일반합계(1) | 한아름(1) | 한아름inapp(1) | 한아름web(1) | 한아름성인합계(1)
"콘텐츠마스터 없음, 원천 작품 확인",북큐브(소설),2,50,독식하는재벌세(49) | 다따먹점혈법(1)
"콘텐츠마스터 없음, 원천 작품 확인",구글(소설),14,38,고인물무림에가다(9) | 망한세상에서나혼자각성(7) | 보수적이라며팬티는왜벗어(6) | 독식하는재벌세(3) | 교시연애영역(2) | 내가키운용사가나에게집착한다(2) | 집사와수상한계약을(2) | 너의빛깔너의향기(1)
"콘텐츠마스터 없음, 원천 작품 확인",밀리의 서재,2,14,사이코패스살인마는살고싶다(8) | 망한세상에서나혼자각성(6)
"콘텐츠마스터 없음, 원천 작품 확인",카카오페이지(선투자),2,12,연봉조신입사원(8) | 월드스타가될운명입니다(4)
"콘텐츠마스터 없음, 원천 작품 확인",미스터블루(소설),7,8,독식하는재벌세(2) | ex급만능사제가되었다(1) | sm클럽암캐가된여자들(1) | 다따먹점혈법(1) | 보수적이라며팬티는왜벗어(1) | 중력술사아스께기맨(1) | 팔황예조(1)
"콘텐츠마스터 없음, 원천 작품 확인",교보문고(소설),2,7,악작현대au(6) | 메소드로맨스메소드비스트로맨스(1)
"콘텐츠마스터 없음, 원천 작품 확인",네이버_연재,6,6,ex급만능사제가되었다(1) | sm클럽암캐가된여자들(1) | 고인물무림에가다(1) | 다따먹점혈법(1) | 독식하는재벌세(1) | 망한세상에서나혼자각성(1)
"콘텐츠마스터 없음, 원천 작품 확인",카카오페이지(소설),3,5,사립루레인학원시리즈(3) | 망한세상에서나혼자각성(1) | 실명작(1)
"콘텐츠마스터 없음, 원천 작품 확인",무툰(소설 서비스),3,4,독식하는재벌세(2) | 다따먹점혈법(1) | 보수적이라며팬티는왜벗어(1)
