세부판단유형,원판단유형,판매채널,정제키,행수,원문예시,같은채널_판매채널콘텐츠_근거,콘텐츠마스터_근거,타채널_지급정산_근거,기존대표근거,권고
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,리디북스(소설),독식하는재벌세,778,[e북]독식하는 재벌 3세 2권 | [e북]독식하는 재벌 3세 3권 | [e북]독식하는 재벌 3세 4권 | [e북]독식하는 재벌 3세 5권 | [e북]독식하는 재벌 3세 6권 | [e북]독식하는 재벌 3세 7권,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,원스토어(소설),독식하는재벌세,687,독식하는 재벌 3세,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,한아름(P000003716),핵무기도만들어드릴까요,351,[연재]핵무기도 만들어 드릴까요? | 핵무기도 만들어 드릴까요?,,303763::[CP웹툰] 핵무기도 만들어 드릴까요?::IP프로듀싱팀::노종아,문피아::110907 || 카카오페이지(선투자)::110907,문피아::핵무기도 만들어 드릴까요?::110907 || 카카오페이지(선투자)::핵무기도 만들어 드릴까요?::110907,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
"콘텐츠마스터 있음, 판매채널/지급정산 신규 판단",S2 신규/진짜없음 판단,리디북스(소설),아이돌공략법으로데뷔합니다,324,아이돌 공략법으로 데뷔합니다 130화 | 아이돌 공략법으로 데뷔합니다 131화 | 아이돌 공략법으로 데뷔합니다 101화 | 아이돌 공략법으로 데뷔합니다 102화 | 아이돌 공략법으로 데뷔합니다 103화 | 아이돌 공략법으로 데뷔합니다 104화,,109544::[정산정보없음]_[연재] 아이돌 공략법으로 데뷔합니다::소설편집팀::이선근,,,콘텐츠ID는 있으므로 판매채널콘텐츠/지급정산 신규 생성 여부 판단
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,원스토어(소설),ex급만능사제가되었다,313,EX급 만능사제가 되었다,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,원스토어(소설),코인게이트를열었다,212,코인 게이트를 열었다,,,윌라(전자책)::247429 || 교보문고(소설)::247429 || 미소설::247429 || 미스터블루(소설)::247429 || 판무림::247429,윌라(전자책)::코인게이트를열었다::247429 || 교보문고(소설)::코인게이트를열었다::247429 || 미소설::코인게이트를열었다::247429 || 미스터블루(소설)::코인게이트를열었다::247429 || 판무림::코인게이트를열었다::247429,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,리디북스(소설),나홀로마법사,200,나 홀로 마법사 27화 | 나 홀로 마법사 28화 | 나 홀로 마법사 29화 | 나 홀로 마법사 30화 | 나 홀로 마법사 31화 | 나 홀로 마법사 32화,,,카카오페이지(선투자)::111915 || 알라딘(소설)(1068659313)::111915,카카오페이지(선투자)::나 홀로 마법사::111915 || 알라딘(소설)(1068659313)::나 홀로 마법사::111915,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,리디북스(소설),ex급만능사제가되었다,187,EX급 만능사제가 되었다 27화 | EX급 만능사제가 되었다 28화 | EX급 만능사제가 되었다 29화 | EX급 만능사제가 되었다 30화 | EX급 만능사제가 되었다 31화 | EX급 만능사제가 되었다 32화,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,리디북스(소설),sm클럽암캐가된여자들,180,[e북]SM클럽 -암캐가 된 여자들- 2권 | [e북]SM클럽 -암캐가 된 여자들- 3권 | [e북]SM클럽 -암캐가 된 여자들- 4권 | [e북]SM클럽 -암캐가 된 여자들- 5권 | SM클럽 -암캐가 된 여자들- 268화 | SM클럽 -암캐가 된 여자들- 266화,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,원스토어(소설),다따먹점혈법,176,다따먹점혈법,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,리디북스(소설),사립루레인학원시리즈,151,사립 루레인 학원 시리즈 152화 | 사립 루레인 학원 시리즈 153화 | 사립 루레인 학원 시리즈 154화 | 사립 루레인 학원 시리즈 155화 | 사립 루레인 학원 시리즈 156화 | 사립 루레인 학원 시리즈 157화,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,판무림,업어키운사매들,135,업어 키운 사매들,,,에피루스 이북클럽(B2C)::322005 || 카카오페이지(창작지원금)::322005 || 리디북스(소설)::322005 || 원스토어(소설)::322005 || 무툰(소설 서비스)::322005,에피루스 이북클럽(B2C)::업어 키운 사매들::322005 || 카카오페이지(창작지원금)::업어 키운 사매들::322005 || 리디북스(소설)::업어 키운 사매들::322005 || 원스토어(소설)::업어 키운 사매들::322005 || 무툰(소설 서비스)::업어 키운 사매들::322005,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,리디북스(소설),핵무기도만들어드릴까요,133,[e북]핵무기도 만들어 드릴까요? 7권 | [e북]핵무기도 만들어 드릴까요? 8권 | [e북]핵무기도 만들어 드릴까요? 9권 | [e북]핵무기도 만들어 드릴까요? 10권 | [e북]핵무기도 만들어 드릴까요? 11권 | [e북]핵무기도 만들어 드릴까요? 12권,,303763::[CP웹툰] 핵무기도 만들어 드릴까요?::IP프로듀싱팀::노종아,문피아::110907 || 카카오페이지(선투자)::110907,문피아::핵무기도 만들어 드릴까요?::110907 || 카카오페이지(선투자)::핵무기도 만들어 드릴까요?::110907,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,구글(소설),코드네임사신,129,[10%할인] 코드네임 사신 10권 | [10%할인] 코드네임 사신 11권 | 코드네임 사신 1권 | [10%할인] 코드네임 사신 12권 | 코드네임 사신 2권 | [10%할인] 코드네임 사신 13권,,,카카오페이지(소설)::160310 || Yes24(서점)::160310 || 모픽(mofic)::160310 || 미스터블루(소설)::160310 || 스낵북(알에스)::160310,카카오페이지(소설)::코드네임 사신::160310 || Yes24(서점)::코드네임 사신::160310 || 모픽(mofic)::코드네임 사신::160310 || 미스터블루(소설)::코드네임 사신::160310 || 스낵북(알에스)::코드네임 사신::160310,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
같은채널 판매채널콘텐츠 있음(등급 확인),타채널 exact 지급정산 보강 판단,구글(소설),타락의검은실,122,타락의 검은실 2부 1권 | 타락의 검은실 1부 1권,OK_지급정산관리존재::167225::108050::타락의 검은실 1부/2부_용병애쉬_1004942_874_확정,,밀리의 서재::107843 || 웹소설 하이북::108050 || Yes24(서점)::108050 || 블라이스_인앱결제::107843 || 블라이스 셀렉트::107843,밀리의 서재::타락의 검은 실::107843 || 웹소설 하이북::타락의 검은실 1부/2부::108050 || Yes24(서점)::타락의 검은실 1부/2부::108050 || 블라이스_인앱결제::타락의 검은 실::107843 || 블라이스 셀렉트::타락의 검은 실::107843,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,리디북스(소설),코드네임사신,113,코드네임 사신 38화 | 코드네임 사신 39화 | 코드네임 사신 40화 | 코드네임 사신 41화 | 코드네임 사신 42화 | 코드네임 사신 43화,,,카카오페이지(소설)::160310 || Yes24(서점)::160310 || 모픽(mofic)::160310 || 미스터블루(소설)::160310 || 스낵북(알에스)::160310,카카오페이지(소설)::코드네임 사신::160310 || Yes24(서점)::코드네임 사신::160310 || 모픽(mofic)::코드네임 사신::160310 || 미스터블루(소설)::코드네임 사신::160310 || 스낵북(알에스)::코드네임 사신::160310,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,Yes24(서점),악작현대au,106,[BL] 악작 현대AU 특별외전 | [BL] 악작 현대AU (외전),,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,리디북스(소설),아포칼립스의유일한플레이어,89,[e북]아포칼립스의 유일한 플레이어 4권 | [e북]아포칼립스의 유일한 플레이어 2권 | [e북]아포칼립스의 유일한 플레이어 3권 | [e북]아포칼립스의 유일한 플레이어 5권 (완결) | 아포칼립스의 유일한 플레이어 26화 | 아포칼립스의 유일한 플레이어 27화,,,카카오페이지(소설)::308483,카카오페이지(소설)::아포칼립스의 유일한 플레이어::308483,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,판무림,다따먹점혈법,77,다따먹점혈법,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,북큐브(소설),독식하는재벌세,49,독식하는 재벌 3세 10 | 독식하는 재벌 3세 11 | 독식하는 재벌 3세 12 | 독식하는 재벌 3세 13 | 독식하는 재벌 3세 14 | 독식하는 재벌 3세 15,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,한아름(P000003716),다따먹점혈법,48,[연재] 다따먹점혈법,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,원스토어(소설),재벌집망나니대독자,42,재벌집 망나니 7대독자,,,카카오페이지(창작지원금)::322006 || 리디북스(소설)::322006 || 문피아::322006 || 북큐브(소설)::322006 || 카카오페이지(소설)::322006,카카오페이지(창작지원금)::재벌집 망나니 7대 독자::322006 || 리디북스(소설)::재벌집 망나니 7대 독자::322006 || 문피아::재벌집 망나니 7대 독자::322006 || 북큐브(소설)::재벌집 망나니 7대 독자::322006 || 카카오페이지(소설)::재벌집 망나니 7대 독자::322006,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,리디북스(소설),보수적이라며팬티는왜벗어,36,보수적이라며 팬티는 왜 벗어? 17화 | 보수적이라며 팬티는 왜 벗어? 18화 | 보수적이라며 팬티는 왜 벗어? 19화 | 보수적이라며 팬티는 왜 벗어? 20화 | 보수적이라며 팬티는 왜 벗어? 21화 | 보수적이라며 팬티는 왜 벗어? 22화,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,구글(소설),코인게이트를열었다,33,코인 게이트를 열었다 1권 | [10%할인] 코인 게이트를 열었다 1권 | 코인 게이트를 열었다 4권 | 코인 게이트를 열었다 5권 | 코인 게이트를 열었다 6권 | 코인 게이트를 열었다 7권,,,윌라(전자책)::247429 || 교보문고(소설)::247429 || 미소설::247429 || 미스터블루(소설)::247429 || 판무림::247429,윌라(전자책)::코인게이트를열었다::247429 || 교보문고(소설)::코인게이트를열었다::247429 || 미소설::코인게이트를열었다::247429 || 미스터블루(소설)::코인게이트를열었다::247429 || 판무림::코인게이트를열었다::247429,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,북큐브(소설),코드네임사신,32,코드네임 사신 10 | 코드네임 사신 11 | 코드네임 사신 12 | 코드네임 사신 13 | 코드네임 사신 14 | 코드네임 사신 15,,,카카오페이지(소설)::160310 || Yes24(서점)::160310 || 모픽(mofic)::160310 || 미스터블루(소설)::160310 || 스낵북(알에스)::160310,카카오페이지(소설)::코드네임 사신::160310 || Yes24(서점)::코드네임 사신::160310 || 모픽(mofic)::코드네임 사신::160310 || 미스터블루(소설)::코드네임 사신::160310 || 스낵북(알에스)::코드네임 사신::160310,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,구글(소설),전직랭커는템빨로레벨업,21,전직 랭커는 템빨로 레벨 업! 1권 | 전직 랭커는 템빨로 레벨 업! 2권 | 전직 랭커는 템빨로 레벨 업! 3권 | 전직 랭커는 템빨로 레벨 업! 4권 | 전직 랭커는 템빨로 레벨 업! 5권,,317605::(카카오)전직 랭커는 템빨로 레벨 업!::소설유통팀::김성경 || 303878::[CP오디오] 전직 랭커는 템빨로 레벨 업!(소설)::IP프로듀싱팀::노종아,모픽(mofic)::317605 || 카카오페이지(선투자)::317605 || 토스(소설)::317605 || 리디북스(이벤트)::317605 || 카카오페이지(창작지원금)::317605,모픽(mofic)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 카카오페이지(선투자)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 토스(소설)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 리디북스(이벤트)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 카카오페이지(창작지원금)::(카카오)전직 랭커는 템빨로 레벨 업!::317605,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,Yes24(서점),핵무기도만들어드릴까요,20,핵무기도 만들어 드릴까요? 01권 | 핵무기도 만들어 드릴까요? (외전) | 핵무기도 만들어 드릴까요? 02권 | 핵무기도 만들어 드릴까요? 03권 | 핵무기도 만들어 드릴까요? 04권 | 핵무기도 만들어 드릴까요? 05권,,303763::[CP웹툰] 핵무기도 만들어 드릴까요?::IP프로듀싱팀::노종아,문피아::110907 || 카카오페이지(선투자)::110907,문피아::핵무기도 만들어 드릴까요?::110907 || 카카오페이지(선투자)::핵무기도 만들어 드릴까요?::110907,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,원스토어(소설),마왕이나노머신을숨김,20,마왕이 나노머신을 숨김,,317038::[카카오]마왕이 나노머신을 숨김 단행본::소설유통팀::김성경,모픽(mofic)::317038 || 미스터블루(소설)::317038 || 카카오페이지(선투자)::317038 || 리디북스(이벤트)::317038 || 카카오페이지(창작지원금)::317038,모픽(mofic)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 미스터블루(소설)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 카카오페이지(선투자)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 리디북스(이벤트)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 카카오페이지(창작지원금)::[카카오]마왕이 나노머신을 숨김 단행본::317038,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,윌라(전자책),아빠의게임,20,아빠의 게임 1 | 아빠의 게임 10 | 아빠의 게임 11 | 아빠의 게임 12 | 아빠의 게임 13 | 아빠의 게임 14,,303820::[CP오디오] 아빠의 게임(소설)::IP프로듀싱팀::노종아,카카오페이지(소설)::110470 || 윌라(오디오북)::110470,카카오페이지(소설)::아빠의 게임::110470 || 윌라(오디오북)::아빠의 게임::110470,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,구글(소설),마왕이나노머신을숨김,19,마왕이 나노머신을 숨김 1권 | 마왕이 나노머신을 숨김 2권 | 마왕이 나노머신을 숨김 3권 | 마왕이 나노머신을 숨김 4권 | 마왕이 나노머신을 숨김 5권 | 마왕이 나노머신을 숨김 6권,,317038::[카카오]마왕이 나노머신을 숨김 단행본::소설유통팀::김성경,모픽(mofic)::317038 || 미스터블루(소설)::317038 || 카카오페이지(선투자)::317038 || 리디북스(이벤트)::317038 || 카카오페이지(창작지원금)::317038,모픽(mofic)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 미스터블루(소설)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 카카오페이지(선투자)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 리디북스(이벤트)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 카카오페이지(창작지원금)::[카카오]마왕이 나노머신을 숨김 단행본::317038,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,알라딘(소설)(1068659313),각성자위탁관리인,17,각성자 위탁관리인 01 | 각성자 위탁관리인 03 | 각성자 위탁관리인 02 | 각성자 위탁관리인 08 | 각성자 위탁관리인 05 | 각성자 위탁관리인 04,,,밀리의 서재::107779 || 네이버_장르::107779 || 윌라(전자책)::107779 || 구글(소설)::107779 || 리디북스(소설)::107779,밀리의 서재::각성자 위탁관리인::107779 || 네이버_장르::각성자 위탁관리인::107779 || 윌라(전자책)::각성자 위탁관리인::107779 || 구글(소설)::각성자 위탁관리인::107779 || 리디북스(소설)::각성자 위탁관리인::107779,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,원스토어(소설),나홀로마법사,16,나 홀로 마법사,,,카카오페이지(선투자)::111915 || 알라딘(소설)(1068659313)::111915,카카오페이지(선투자)::나 홀로 마법사::111915 || 알라딘(소설)(1068659313)::나 홀로 마법사::111915,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,원스토어(소설),전직랭커는템빨로레벨업,16,전직 랭커는 템빨로 레벨 업!,,317605::(카카오)전직 랭커는 템빨로 레벨 업!::소설유통팀::김성경 || 303878::[CP오디오] 전직 랭커는 템빨로 레벨 업!(소설)::IP프로듀싱팀::노종아,모픽(mofic)::317605 || 카카오페이지(선투자)::317605 || 토스(소설)::317605 || 리디북스(이벤트)::317605 || 카카오페이지(창작지원금)::317605,모픽(mofic)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 카카오페이지(선투자)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 토스(소설)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 리디북스(이벤트)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 카카오페이지(창작지원금)::(카카오)전직 랭커는 템빨로 레벨 업!::317605,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,구글(소설),하렘으로세계정복,15,하렘으로 세계정복 1권,,,밀리의 서재::107848 || 블라이스 셀렉트::107848 || 윌라(전자책)::107848 || 스낵북(알에스)::107848 || 한아름(P000003716)::107848,밀리의 서재::하렘으로 세계정복::107848 || 블라이스 셀렉트::하렘으로 세계정복::107848 || 윌라(전자책)::하렘으로 세계정복::107848 || 스낵북(알에스)::하렘으로 세계정복::107848 || 한아름(P000003716)::하렘으로 세계정복::107848,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,한아름(P000003716),재벌집망나니대독자,14,[연재] 재벌집 망나니 7대독자,,,카카오페이지(창작지원금)::322006 || 리디북스(소설)::322006 || 문피아::322006 || 북큐브(소설)::322006 || 카카오페이지(소설)::322006,카카오페이지(창작지원금)::재벌집 망나니 7대 독자::322006 || 리디북스(소설)::재벌집 망나니 7대 독자::322006 || 문피아::재벌집 망나니 7대 독자::322006 || 북큐브(소설)::재벌집 망나니 7대 독자::322006 || 카카오페이지(소설)::재벌집 망나니 7대 독자::322006,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
