source,판단유형,우선순위,판매채널,정제키,행수,원문예시,대표근거,필요한판단
같은채널_fuzzy,같은채널 fuzzy 작품동일성 판단,1,구글(소설),"서큐버스와인큐버스,그들의수행기",2,[19금] 서큐버스와 인큐버스， 그들의 수행기 1권,"0.9677::[19금]서큐버스와인큐버스,그들의수행기::247028","같은 채널에 유사 제목 지급정산이 있으나 자동 alias로 태우기엔 위험. 동일작이면 exact alias 후보, 아니면 보류"
같은채널_fuzzy,같은채널 fuzzy 작품동일성 판단,1,구글(소설),"추억,순간의바람이되어",1,추억， 순간의 바람이 되어 1권,"0.9524::추억, 순간의 바람이 되어::295565","같은 채널에 유사 제목 지급정산이 있으나 자동 alias로 태우기엔 위험. 동일작이면 exact alias 후보, 아니면 보류"
같은채널_fuzzy,같은채널 fuzzy 작품동일성 판단,1,네이버_장르,던전에서성자가하는일,1,던전에서 성자가 하는 일 [단행본],0.9091::던전에서 성자性者가 하는 일::112529,"같은 채널에 유사 제목 지급정산이 있으나 자동 alias로 태우기엔 위험. 동일작이면 exact alias 후보, 아니면 보류"
기존_근접후보,작품 동일성 판단,2,카카오페이지(선투자),독식하는재벌세,10,독식하는 재벌 3세 | 독식하는 재벌 3세 [단행본],교보문고(소설) / 1980 독식하는 재벌! / 0.9231,정산서의 `독식하는 재벌 3세`와 S2 후보 `1980 독식하는 재벌!`가 같은 작품인지 확인 필요
기존_근접후보,작품 동일성 판단,2,카카오페이지(소설),백치공주시리즈,3,백치 공주 시리즈,봄툰KR(1068149784) / 백치공주 / 1.0,정산서 `백치 공주 시리즈`와 S2 `백치공주`가 같은 지급정산 대상인지 확인 필요
기존_근접후보,작품 동일성 판단,2,네이버_장르,독식하는재벌세,1,독식하는 재벌 3세 [단행본],교보문고(소설) / 1980 독식하는 재벌! / 0.9231,정산서의 `독식하는 재벌 3세`와 S2 후보 `1980 독식하는 재벌!`가 같은 작품인지 확인 필요
기존_근접후보,채널 보강 판단,3,원스토어(소설),고인물무림에가다,10,"고인물, 무림에 가다",네이버_연재 / 고인물 무림에 가다_갈드_창작지원금 / 0.91,다른 채널에는 동일 계열 S2 후보가 있으나 해당 판매채널에는 없음
기존_근접후보,채널 보강 판단,3,구글(소설),고인물무림에가다,9,"고인물, 무림에 가다 1권 | [10%할인] 고인물, 무림에 가다 1권",네이버_연재 / 고인물 무림에 가다_갈드_창작지원금 / 0.91,다른 채널에는 동일 계열 S2 후보가 있으나 해당 판매채널에는 없음
기존_근접후보,채널 보강 판단,3,원스토어(소설),아포칼립스인데나혼자농사,3,아포칼립스인데 나 혼자 농사,Yes24(서점) / 0_아포칼립스인데나혼자농사_이루이_일반 / 0.91,다른 채널에는 동일 계열 S2 후보가 있으나 해당 판매채널에는 없음
기존_근접후보,채널 보강 판단,3,카카오페이지(소설),아포칼립스인데나혼자농사,2,아포칼립스인데 나 혼자 농사,Yes24(서점) / 0_아포칼립스인데나혼자농사_이루이_일반 / 0.91,다른 채널에는 동일 계열 S2 후보가 있으나 해당 판매채널에는 없음
