정제키,채널수,총행수,대표세부판단유형,세부판단유형목록,콘텐츠마스터_fuzzy_overlay,판매채널목록,원문예시,대표근거
독식하는재벌세,14,1540,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(1529) | 타작품/시리즈 동일성 확인(11)",콘텐츠마스터 부분포함 후보(12),구글(소설) | 네이버_연재 | 네이버_장르 | 리디북스(소설) | 무툰(소설 서비스) | 문피아 | 미소설 | 미스터블루(소설) | 북큐브(소설) | 원스토어(소설) | 웹소설 하이북 | 조아라(소설) | 카카오페이지(선투자) | 판무림,[e북]독식하는 재벌 3세 2권 | [e북]독식하는 재벌 3세 3권 | [e북]독식하는 재벌 3세 4권 | [e북]독식하는 재벌 3세 5권 | [e북]독식하는 재벌 3세 6권 | [e북]독식하는 재벌 3세 7권 | 독식하는 재벌 3세 | 독식하는 재벌 3세 10 | 독식하는 재벌 3세 11 | 독식하는 재벌 3세 12 | 독식하는 재벌 3세 13 | 독식하는 재벌 3세 14 | 독식하는 재벌 3세 15,0.86::111110::1980 독식하는 재벌!::소설편집팀::이선근 || 0.86::111110::1980 독식하는 재벌!::소설편집팀::이선근 || 0.86::111110::1980 독식하는 재벌!::소설편집팀::이선근
핵무기도만들어드릴까요,15,545,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(545),,Yes24(서점) | 교보문고(소설) | 구글(소설) | 네이버_연재 | 네이버_장르 | 리디북스(소설) | 모픽(mofic) | 무툰(소설 서비스) | 미소설 | 미스터블루(소설) | 부커스 | 에이블리(소설) | 원스토어(소설) | 조아라(소설) | 한아름(P000003716),[연재]핵무기도 만들어 드릴까요? | 핵무기도 만들어 드릴까요? | [e북]핵무기도 만들어 드릴까요? 7권 | [e북]핵무기도 만들어 드릴까요? 8권 | [e북]핵무기도 만들어 드릴까요? 9권 | [e북]핵무기도 만들어 드릴까요? 10권 | [e북]핵무기도 만들어 드릴까요? 11권 | [e북]핵무기도 만들어 드릴까요? 12권 | 핵무기도 만들어 드릴까요? 01권 | 핵무기도 만들어 드릴까요? (외전) | 핵무기도 만들어 드릴까요? 02권 | 핵무기도 만들어 드릴까요? 03권 | 핵무기도 만들어 드릴까요? 04권 | 핵무기도 만들어 드릴까요? 05권,303763::[CP웹툰] 핵무기도 만들어 드릴까요?::IP프로듀싱팀::노종아 || 303763::[CP웹툰] 핵무기도 만들어 드릴까요?::IP프로듀싱팀::노종아 || 303763::[CP웹툰] 핵무기도 만들어 드릴까요?::IP프로듀싱팀::노종아
ex급만능사제가되었다,5,503,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(503)",,네이버_연재 | 리디북스(소설) | 문피아 | 미스터블루(소설) | 원스토어(소설),EX급 만능사제가 되었다 | EX급 만능사제가 되었다 27화 | EX급 만능사제가 되었다 28화 | EX급 만능사제가 되었다 29화 | EX급 만능사제가 되었다 30화 | EX급 만능사제가 되었다 31화 | EX급 만능사제가 되었다 32화 | EX급 만능사제가 되었다,
아이돌공략법으로데뷔합니다,5,331,"콘텐츠마스터 있음, 판매채널/지급정산 신규 판단","콘텐츠마스터 있음, 판매채널/지급정산 신규 판단(324) | 같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(5) | 같은채널 판매채널콘텐츠 있음(B급 잠재오염)(2)",,네이버_연재 | 리디북스(소설) | 원스토어(소설) | 조아라(소설) | 카카오페이지(소설),아이돌 공략법으로 데뷔합니다 130화 | 아이돌 공략법으로 데뷔합니다 131화 | 아이돌 공략법으로 데뷔합니다 101화 | 아이돌 공략법으로 데뷔합니다 102화 | 아이돌 공략법으로 데뷔합니다 103화 | 아이돌 공략법으로 데뷔합니다 104화 | 아이돌 공략법으로 데뷔합니다 | 아이돌 공략법으로 데뷔합니다 [독점],109544::[정산정보없음]_[연재] 아이돌 공략법으로 데뷔합니다::소설편집팀::이선근 || A_정산서등장_정산정보없음::873627::109544::[연재] 아이돌 공략법으로 데뷔합니다 || A_정산서등장_정산정보없음::110065::109544::[연재] 아이돌 공략법으로 데뷔합니다
다따먹점혈법,12,310,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(310)",,네이버_연재 | 무툰(소설 서비스) | 문피아 | 미소설 | 미스터블루(소설) | 북큐브(소설) | 블라이스_일반결제 | 원스토어(소설) | 웹소설 하이북 | 조아라(소설) | 판무림 | 한아름(P000003716),다따먹점혈법 | 다따먹점혈법 | [연재] 다따먹점혈법,
코드네임사신,10,293,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(293),,구글(소설) | 네이버_연재 | 리디북스(소설) | 무툰(소설 서비스) | 문피아 | 미소설 | 북큐브(소설) | 알라딘(소설)(1068659313) | 원스토어(소설) | 웹소설 하이북,[10%할인] 코드네임 사신 10권 | [10%할인] 코드네임 사신 11권 | 코드네임 사신 1권 | [10%할인] 코드네임 사신 12권 | 코드네임 사신 2권 | [10%할인] 코드네임 사신 13권 | 코드네임 사신 38화 | 코드네임 사신 39화 | 코드네임 사신 40화 | 코드네임 사신 41화 | 코드네임 사신 42화 | 코드네임 사신 43화 | 코드네임 사신 10 | 코드네임 사신 11 | 코드네임 사신 12 | 코드네임 사신 13 | 코드네임 사신 14 | 코드네임 사신 15,카카오페이지(소설)::160310 || Yes24(서점)::160310 || 모픽(mofic)::160310 || 미스터블루(소설)::160310 || 스낵북(알에스)::160310 || 카카오페이지(소설)::160310 || Yes24(서점)::160310 || 모픽(mofic)::160310 || 미스터블루(소설)::160310 || 스낵북(알에스)::160310 || 카카오페이지(소설)::160310 || Yes24(서점)::160310 || 모픽(mofic)::160310 || 미스터블루(소설)::160310 || 스낵북(알에스)::160310
코인게이트를열었다,6,249,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(249),,Yes24(서점) | 구글(소설) | 무툰(소설 서비스) | 스낵북(알에스) | 원스토어(소설) | 웹소설 하이북,코인 게이트를 열었다 | 코인 게이트를 열었다 1권 | [10%할인] 코인 게이트를 열었다 1권 | 코인 게이트를 열었다 4권 | 코인 게이트를 열었다 5권 | 코인 게이트를 열었다 6권 | 코인 게이트를 열었다 7권 | 코인 게이트를 열었다 06권,윌라(전자책)::247429 || 교보문고(소설)::247429 || 미소설::247429 || 미스터블루(소설)::247429 || 판무림::247429 || 윌라(전자책)::247429 || 교보문고(소설)::247429 || 미소설::247429 || 미스터블루(소설)::247429 || 판무림::247429 || 윌라(전자책)::247429 || 교보문고(소설)::247429 || 미소설::247429 || 미스터블루(소설)::247429 || 판무림::247429
나홀로마법사,7,236,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(236),,구글(소설) | 네이버_연재 | 리디북스(소설) | 모픽(mofic) | 밀리의 서재 | 에이블리(소설) | 원스토어(소설),나 홀로 마법사 27화 | 나 홀로 마법사 28화 | 나 홀로 마법사 29화 | 나 홀로 마법사 30화 | 나 홀로 마법사 31화 | 나 홀로 마법사 32화 | 나 홀로 마법사 | 나 홀로 마법사,카카오페이지(선투자)::111915 || 알라딘(소설)(1068659313)::111915 || 카카오페이지(선투자)::111915 || 알라딘(소설)(1068659313)::111915 || 카카오페이지(선투자)::111915 || 알라딘(소설)(1068659313)::111915
sm클럽암캐가된여자들,5,192,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(192)",,네이버_연재 | 리디북스(소설) | 미스터블루(소설) | 블라이스_일반결제 | 원스토어(소설),[e북]SM클럽 -암캐가 된 여자들- 2권 | [e북]SM클럽 -암캐가 된 여자들- 3권 | [e북]SM클럽 -암캐가 된 여자들- 4권 | [e북]SM클럽 -암캐가 된 여자들- 5권 | SM클럽 -암캐가 된 여자들- 268화 | SM클럽 -암캐가 된 여자들- 266화 | SM클럽 -암캐가 된 여자들- | SM클럽 -암캐가 된 여자들-,
사립루레인학원시리즈,2,154,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(154)",,리디북스(소설) | 카카오페이지(소설),사립 루레인 학원 시리즈 152화 | 사립 루레인 학원 시리즈 153화 | 사립 루레인 학원 시리즈 154화 | 사립 루레인 학원 시리즈 155화 | 사립 루레인 학원 시리즈 156화 | 사립 루레인 학원 시리즈 157화 | 사립루레인학원 시리즈,
