"new_file","destination","original_relative_path","selected_s2_channel","platform","decision","feed_rows","s2_matched","s2_no_match","review_rows","duplicate_candidate_keys","transfer_rows","transfer_blocked_rows"
"2026-02__교보문고(소설)__교보__2026년 2월 교보문고 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__교보문고(소설)__교보__2026년 2월 교보문고 정산상세.xlsx","교보\2월\2026년 2월 교보문고 정산상세.xlsx","교보문고(소설)","교보","selected_by_best_match","728","642","86","86","42","0","728"
"2026-02__구글(소설)__구글__2026년 2월 구글 정산상세(법인세).xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__구글(소설)__구글__2026년 2월 구글 정산상세(법인세).xlsx","구글\2월\2026년 2월 구글 정산상세(법인세).xlsx","구글(소설)","구글","selected_by_best_match","4242","3761","481","481","81","0","4242"
"2026-02__네이버_연재__네이버__2026년 2월 네이버 연재 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__네이버_연재__네이버__2026년 2월 네이버 연재 정산상세.xlsx","네이버\2월\2026년 2월 네이버 연재 정산상세.xlsx","네이버_연재","네이버","selected_by_filename","504","461","42","43","39","0","504"
"2026-02__네이버_장르__네이버__2026년 2월 네이버 장르 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__네이버_장르__네이버__2026년 2월 네이버 장르 정산상세.xlsx","네이버\2월\2026년 2월 네이버 장르 정산상세.xlsx","네이버_장르","네이버","selected_by_filename","497","472","25","25","71","0","497"
"2026-02__네이버_연재__네이버__2026년 2월 네이버 간딴 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__네이버_연재__네이버__2026년 2월 네이버 간딴 정산상세.xlsx","네이버\2월\선투자\2026년 2월 네이버 간딴 정산상세.xlsx","네이버_연재","네이버","selected_by_best_match","1","1","0","0","0","0","1"
"2026-02__네이버_일반__네이버__2026년 2월 네이버 김악개 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__네이버_일반__네이버__2026년 2월 네이버 김악개 정산상세.xlsx","네이버\2월\선투자\2026년 2월 네이버 김악개 정산상세.xlsx","네이버_일반","네이버","selected_by_best_match","1","1","0","0","0","0","1"
"2026-02__네이버_연재__네이버__2026년 2월 네이버 북홀릭 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__네이버_연재__네이버__2026년 2월 네이버 북홀릭 정산상세.xlsx","네이버\2월\선투자\2026년 2월 네이버 북홀릭 정산상세.xlsx","네이버_연재","네이버","selected_by_best_match","1","1","0","0","0","0","1"
"2026-02__네이버_연재(광고수익)__네이버__2026년 2월 네이버 차라리 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__네이버_연재(광고수익)__네이버__2026년 2월 네이버 차라리 정산상세.xlsx","네이버\2월\선투자\2026년 2월 네이버 차라리 정산상세.xlsx","네이버_연재(광고수익)","네이버","selected_by_best_match","1","1","0","0","0","0","1"
"2026-02__네이버_일반__네이버__2026년 2월 네이버 일반 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__네이버_일반__네이버__2026년 2월 네이버 일반 정산상세.xlsx","네이버\2월\일반\2026년 2월 네이버 일반 정산상세.xlsx","네이버_일반","네이버","selected_by_filename","2","2","0","0","0","0","2"
"2026-02__네이버_연재__네이버__2026년 2월 네이버 킹묵 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__네이버_연재__네이버__2026년 2월 네이버 킹묵 정산상세.xlsx","네이버\2월\킹묵추가\2026년 2월 네이버 킹묵 정산상세.xlsx","네이버_연재","네이버","selected_by_best_match","1","1","0","0","0","0","1"
"2026-02__노벨피아 (소설)__노벨피아__2026년 2월 노벨피아 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__노벨피아 (소설)__노벨피아__2026년 2월 노벨피아 정산상세.xlsx","노벨피아\2월\2026년 2월 노벨피아 정산상세.xlsx","노벨피아 (소설)","노벨피아","selected_by_best_match","74","64","10","10","1","0","74"
"2026-02__로망띠끄__로망띠끄__2026년 2월 로망띠끄 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__로망띠끄__로망띠끄__2026년 2월 로망띠끄 정산상세.xlsx","로망띠끄\2월\2026년 2월 로망띠끄 정산상세.xlsx","로망띠끄","로망띠끄","selected_by_filename","61","60","1","1","7","0","61"
"2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx","리디북스\2월\2026년 2월 리디북스 정산상세.xlsx","리디북스(소설)","리디북스","selected_by_best_match","32265","28625","3640","3640","203","0","32265"
"2026-02__모픽(mofic)__모픽__2026년 2월 모픽 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__모픽(mofic)__모픽__2026년 2월 모픽 정산상세.xlsx","모픽\2월\2026년 2월 모픽 정산상세.xlsx","모픽(mofic)","모픽","selected_by_best_match","332","314","18","18","10","0","332"
"2026-02__무툰(소설 서비스)__무툰__2026년 2월 무툰 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__무툰(소설 서비스)__무툰__2026년 2월 무툰 정산상세.xlsx","무툰\2월\2026년 2월 무툰 정산상세.xlsx","무툰(소설 서비스)","무툰","selected_by_best_match","514","482","32","32","66","0","514"
"2026-02__문피아__문피아__2026년 2월 문피아 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__문피아__문피아__2026년 2월 문피아 정산상세.xlsx","문피아\2월\2026년 2월 문피아 정산상세.xlsx","문피아","문피아","selected_by_filename","118","109","8","9","26","0","118"
