s2_channel,target_file,target_mode,source_count,source_file,source_sheet,target_sheet,source_rows,source_cols
Yes24(서점),2026-02__Yes24(서점)__SSOT.xlsx,copied_single_source,1,2026-02__Yes24(서점)__예스24__2026월 2월 예스24 정산상세.xlsx,,,,
교보문고(소설),2026-02__교보문고(소설)__SSOT.xlsx,copied_single_source,1,2026-02__교보문고(소설)__교보__2026년 2월 교보문고 정산상세.xlsx,,,,
구글(소설),2026-02__구글(소설)__SSOT.xlsx,copied_single_source,1,2026-02__구글(소설)__구글__2026년 2월 구글 정산상세(법인세).xlsx,,,,
네이버_연재,2026-02__네이버_연재__SSOT.xlsx,merged_by_s2_channel,4,2026-02__네이버_연재__네이버__2026년 2월 네이버 간딴 정산상세.xlsx,contentsSelling_2026-03-04,contentsSelling_2026-03-04_1,6,71
네이버_연재,2026-02__네이버_연재__SSOT.xlsx,merged_by_s2_channel,4,2026-02__네이버_연재__네이버__2026년 2월 네이버 북홀릭 정산상세.xlsx,contentsSelling_2026-03-04,contentsSelling_2026-03-04_2,6,71
네이버_연재,2026-02__네이버_연재__SSOT.xlsx,merged_by_s2_channel,4,2026-02__네이버_연재__네이버__2026년 2월 네이버 연재 정산상세.xlsx,contentsSelling_2026-03-04,contentsSelling_2026-03-04_3,509,71
네이버_연재,2026-02__네이버_연재__SSOT.xlsx,merged_by_s2_channel,4,2026-02__네이버_연재__네이버__2026년 2월 네이버 킹묵 정산상세.xlsx,contentsSelling_2026-03-10,contentsSelling_2026-03-10_4,6,71
네이버_연재(광고수익),2026-02__네이버_연재(광고수익)__SSOT.xlsx,copied_single_source,1,2026-02__네이버_연재(광고수익)__네이버__2026년 2월 네이버 차라리 정산상세.xlsx,,,,
네이버_일반,2026-02__네이버_일반__SSOT.xlsx,merged_by_s2_channel,2,2026-02__네이버_일반__네이버__2026년 2월 네이버 김악개 정산상세.xlsx,contentsSelling_2026-03-04,contentsSelling_2026-03-04_1,6,71
네이버_일반,2026-02__네이버_일반__SSOT.xlsx,merged_by_s2_channel,2,2026-02__네이버_일반__네이버__2026년 2월 네이버 일반 정산상세.xlsx,contentsSelling_2026-03-09,contentsSelling_2026-03-09_2,7,71
네이버_장르,2026-02__네이버_장르__SSOT.xlsx,copied_single_source,1,2026-02__네이버_장르__네이버__2026년 2월 네이버 장르 정산상세.xlsx,,,,
노벨피아 (소설),2026-02__노벨피아 (소설)__SSOT.xlsx,copied_single_source,1,2026-02__노벨피아 (소설)__노벨피아__2026년 2월 노벨피아 정산상세.xlsx,,,,
