file,relative_path,platform,file_size,extension,read_status,creator,last_modified_by,created,modified,modified_after_created_minutes,revision,application,total_time_minutes,sheet_count,hidden_sheets,very_hidden_sheets,sheet_names,used_ranges,formula_cells,array_formula_cells,merged_cells,comments_parts,hyperlinks,external_links,connections,query_tables,pivot_tables,tables,drawings,charts,images,sheet_protections,workbook_protection,auto_filters,data_validations,conditional_formats,defined_names,calc_mode,full_calc_on_load,force_full_calc,custom_properties,vba_project,touch_indicators,suspicion_score,suspicion_level
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\교보\2월\2026년 2월 교보문고 정산상세.xlsx,교보\2월\2026년 2월 교보문고 정산상세.xlsx,교보,821447,.xlsx,ok,,,,,,,,,1,0,0,Sheet1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\구글\2월\2026년 2월 구글 정산상세(법인세).xlsx,구글\2월\2026년 2월 구글 정산상세(법인세).xlsx,구글,631830,.xlsx,ok,User,User,2026-03-03T06:37:56Z,2026-03-03T06:40:27Z,2.52,,Microsoft Excel,,1,0,0,GoogleSalesTransactionReport,sheet1.xml:A1:AB6660,19988,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,댓글 1파트 | 외부연결/쿼리 1/0/0 | 수식셀 19988,10,high
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\네이버\2월\2026년 2월 네이버 연재 정산상세.xlsx,네이버\2월\2026년 2월 네이버 연재 정산상세.xlsx,네이버,176672,.xlsx,ok,User,User,2026-03-04T01:35:11Z,2026-03-04T01:35:11Z,0.0,,Microsoft Excel,,1,0,0,contentsSelling_2026-03-04,sheet1.xml:A1:BS509,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\네이버\2월\2026년 2월 네이버 장르 정산상세.xlsx,네이버\2월\2026년 2월 네이버 장르 정산상세.xlsx,네이버,158630,.xlsx,ok,User,User,2026-03-04T01:33:28Z,2026-03-04T01:33:28Z,0.0,,Microsoft Excel,,1,0,0,contentsSelling_2026-03-04,sheet1.xml:A1:BS502,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\네이버\2월\선투자\2026년 2월 네이버 간딴 정산상세.xlsx,네이버\2월\선투자\2026년 2월 네이버 간딴 정산상세.xlsx,네이버,12493,.xlsx,ok,User,User,2026-03-04T02:11:08Z,2026-03-04T02:11:08Z,0.0,,Microsoft Excel,,1,0,0,contentsSelling_2026-03-04,sheet1.xml:A1:BS6,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\네이버\2월\선투자\2026년 2월 네이버 김악개 정산상세.xlsx,네이버\2월\선투자\2026년 2월 네이버 김악개 정산상세.xlsx,네이버,12560,.xlsx,ok,User,User,2026-03-04T01:59:50Z,2026-03-04T01:59:50Z,0.0,,Microsoft Excel,,1,0,0,contentsSelling_2026-03-04,sheet1.xml:A1:BS6,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\네이버\2월\선투자\2026년 2월 네이버 북홀릭 정산상세.xlsx,네이버\2월\선투자\2026년 2월 네이버 북홀릭 정산상세.xlsx,네이버,12506,.xlsx,ok,User,User,2026-03-04T01:55:16Z,2026-03-04T01:55:16Z,0.0,,Microsoft Excel,,1,0,0,contentsSelling_2026-03-04,sheet1.xml:A1:BS6,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\네이버\2월\선투자\2026년 2월 네이버 선투자 정산상세(통합).xlsx,네이버\2월\선투자\2026년 2월 네이버 선투자 정산상세(통합).xlsx,네이버,13526,.xlsx,ok,User,User,2026-03-04T01:59:50Z,2026-03-04T02:17:30Z,17.67,,Microsoft Excel,,1,0,0,contentsSelling_2026-03-04,sheet1.xml:A1:BS8,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,생성 후 17.7분 뒤 저장,1,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\네이버\2월\선투자\2026년 2월 네이버 차라리 정산상세.xlsx,네이버\2월\선투자\2026년 2월 네이버 차라리 정산상세.xlsx,네이버,12499,.xlsx,ok,User,User,2026-03-04T02:10:11Z,2026-03-04T02:10:11Z,0.0,,Microsoft Excel,,1,0,0,contentsSelling_2026-03-04,sheet1.xml:A1:BS6,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\네이버\2월\일반\2026년 2월 네이버 일반 정산상세.xlsx,네이버\2월\일반\2026년 2월 네이버 일반 정산상세.xlsx,네이버,12517,.xlsx,ok,User,User,2026-03-09T04:32:07Z,2026-03-09T04:32:07Z,0.0,,Microsoft Excel,,1,0,0,contentsSelling_2026-03-09,sheet1.xml:A1:BS7,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
