relative_path,audit_level,status,detected_s2_channel,platform,adapter_status,adapter_blocking,adapter_warning,parsed_rows,feed_rows,s2_filter_before,s2_filter_after,s2_matched,s2_no_match,review_rows,missing_guard_candidates,billing_candidates,duplicate_candidate_keys,transfer_exportable,transfer_rows,transfer_blocked_rows,transfer_blocking_messages,error
교보\2월\2026년 2월 교보문고 정산상세.xlsx,low,blocked_channel_detection,,,,,,,,,,,,,,,,,,,,파일명에서 실제 S2 판매채널명을 감지하지 못함
네이버\2월\2026년 2월 네이버 연재 정산상세.xlsx,low,success,네이버_연재,네이버,include,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,504,504,124717,821,461,42,43,0,0,39,N,0,504,S2 전송자료 출력 차단: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지 | S2 전송자료 차단 행 504개가 있습니다.,
네이버\2월\2026년 2월 네이버 장르 정산상세.xlsx,low,success,네이버_장르,네이버,include,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,497,497,124717,1812,472,25,25,0,0,71,N,0,497,S2 전송자료 출력 차단: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지 | S2 전송자료 차단 행 497개가 있습니다.,
네이버\2월\선투자\2026년 2월 네이버 간딴 정산상세.xlsx,low,blocked_channel_detection,,,,,,,,,,,,,,,,,,,,파일명에서 실제 S2 판매채널명을 감지하지 못함
네이버\2월\선투자\2026년 2월 네이버 김악개 정산상세.xlsx,low,blocked_channel_detection,,,,,,,,,,,,,,,,,,,,파일명에서 실제 S2 판매채널명을 감지하지 못함
네이버\2월\선투자\2026년 2월 네이버 북홀릭 정산상세.xlsx,low,blocked_channel_detection,,,,,,,,,,,,,,,,,,,,파일명에서 실제 S2 판매채널명을 감지하지 못함
네이버\2월\선투자\2026년 2월 네이버 선투자 정산상세(통합).xlsx,low,blocked_channel_detection,,,,,,,,,,,,,,,,,,,,파일명에서 실제 S2 판매채널명을 감지하지 못함
네이버\2월\선투자\2026년 2월 네이버 차라리 정산상세.xlsx,low,blocked_channel_detection,,,,,,,,,,,,,,,,,,,,파일명에서 실제 S2 판매채널명을 감지하지 못함
네이버\2월\일반\2026년 2월 네이버 일반 정산상세.xlsx,low,success,네이버_일반,네이버,include,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,2,2,124717,3243,2,0,0,0,0,0,N,0,2,S2 전송자료 출력 차단: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지 | S2 전송자료 차단 행 2개가 있습니다.,
네이버\2월\킹묵추가\2026년 2월 네이버 킹묵 정산상세.xlsx,low,blocked_channel_detection,,,,,,,,,,,,,,,,,,,,파일명에서 실제 S2 판매채널명을 감지하지 못함
노벨피아\2월\2026년 2월 노벨피아 정산상세.xlsx,low,blocked_channel_detection,,,,,,,,,,,,,,,,,,,,파일명에서 실제 S2 판매채널명을 감지하지 못함
로망띠끄\2월\2026년 2월 로망띠끄 정산상세.xlsx,low,success,로망띠끄,로망띠끄,include,,,61,61,124717,928,60,1,1,0,0,7,N,0,61,S2 전송자료 차단 행 61개가 있습니다.,
리디북스\2월\2026년 2월 리디북스 정산상세.xlsx,low,blocked_channel_detection,,,,,,,,,,,,,,,,,,,,파일명에서 실제 S2 판매채널명을 감지하지 못함
모픽\2월\2026년 2월 모픽 정산상세.xlsx,low,blocked_channel_detection,,,,,,,,,,,,,,,,,,,,파일명에서 실제 S2 판매채널명을 감지하지 못함
미소설\2월\2026년 2월 미소설 정산상세.xlsx,low,success,미소설,미소설,include,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 지급액 컬럼 선택 기준 확정 후 S2 출력,125,125,124717,697,112,13,13,0,0,16,N,0,125,S2 전송자료 출력 차단: 지급액 컬럼 선택 기준 확정 후 S2 출력 | S2 전송자료 차단 행 125개가 있습니다.,
미스터블루\2월\2026년 2월 미스터블루 정산상세.xlsx,low,blocked_channel_detection,,,,,,,,,,,,,,,,,,,,파일명에서 실제 S2 판매채널명을 감지하지 못함
