"Platform","Source","Destination","Bytes","LastWriteTime"
"교보","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\교보\2월\2026년 2월 교보문고 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\교보\2월\2026년 2월 교보문고 정산상세.xlsx","821447","2026-03-04 오전 11:22:14"
"구글","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\2월\2026년 2월 구글 정산상세(법인세).xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\구글\2월\2026년 2월 구글 정산상세(법인세).xlsx","631830","2026-03-03 오후 3:40:27"
"네이버","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\2월\2026년 2월 네이버 연재 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\네이버\2월\2026년 2월 네이버 연재 정산상세.xlsx","176672","2026-03-04 오전 10:35:11"
"네이버","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\2월\2026년 2월 네이버 장르 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\네이버\2월\2026년 2월 네이버 장르 정산상세.xlsx","158630","2026-03-04 오전 10:33:28"
"네이버","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\2월\선투자\2026년 2월 네이버 간딴 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\네이버\2월\선투자\2026년 2월 네이버 간딴 정산상세.xlsx","12493","2026-03-04 오전 11:11:08"
"네이버","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\2월\선투자\2026년 2월 네이버 김악개 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\네이버\2월\선투자\2026년 2월 네이버 김악개 정산상세.xlsx","12560","2026-03-04 오전 10:59:50"
"네이버","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\2월\선투자\2026년 2월 네이버 북홀릭 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\네이버\2월\선투자\2026년 2월 네이버 북홀릭 정산상세.xlsx","12506","2026-03-04 오전 10:55:16"
"네이버","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\2월\선투자\2026년 2월 네이버 선투자 정산상세(통합).xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\네이버\2월\선투자\2026년 2월 네이버 선투자 정산상세(통합).xlsx","13526","2026-03-04 오전 11:17:30"
"네이버","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\2월\선투자\2026년 2월 네이버 차라리 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\네이버\2월\선투자\2026년 2월 네이버 차라리 정산상세.xlsx","12499","2026-03-04 오전 11:10:11"
"네이버","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\2월\일반\2026년 2월 네이버 일반 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\네이버\2월\일반\2026년 2월 네이버 일반 정산상세.xlsx","12517","2026-03-09 오후 1:32:07"
"네이버","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\2월\킹묵추가\2026년 2월 네이버 킹묵 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\네이버\2월\킹묵추가\2026년 2월 네이버 킹묵 정산상세.xlsx","12480","2026-03-10 오후 2:34:52"
"노벨피아","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\노벨피아\2월\2026년 2월 노벨피아 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\노벨피아\2월\2026년 2월 노벨피아 정산상세.xlsx","17335","2026-03-03 오후 4:36:58"
"로망띠끄","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\로망띠끄\2월\2026년 2월 로망띠끄 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\로망띠끄\2월\2026년 2월 로망띠끄 정산상세.xlsx","17500","2026-03-03 오전 9:42:26"
"리디북스","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\리디북스\2월\2026년 2월 리디북스 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\리디북스\2월\2026년 2월 리디북스 정산상세.xlsx","7435197","2026-03-17 오후 12:52:29"
"모픽","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\모픽\2월\2026년 2월 모픽 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\모픽\2월\2026년 2월 모픽 정산상세.xlsx","22769","2026-03-05 오후 4:00:35"
"무툰","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\무툰\2월\2026년 2월 무툰 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\무툰\2월\2026년 2월 무툰 정산상세.xlsx","58730","2026-03-05 오전 9:42:16"
"문피아","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\문피아\2월\2026년 2월 문피아 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\문피아\2월\2026년 2월 문피아 정산상세.xlsx","23543","2026-03-05 오전 10:04:49"
"미소설","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\미소설\2월\2026년 2월 미소설 정산상세_확장체크.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\미소설\2월\2026년 2월 미소설 정산상세_확장체크.xlsx","21365","2026-03-19 오후 1:48:10"
"미소설","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\미소설\2월\2026년 2월 미소설 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\미소설\2월\2026년 2월 미소설 정산상세.xlsx","21089","2026-03-03 오전 10:01:29"
"미스터블루","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\미스터블루\2월\2026년 2월 미스터블루 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\미스터블루\2월\2026년 2월 미스터블루 정산상세.xlsx","2726077","2026-03-03 오후 3:15:32"
"밀리의서재","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\밀리의서재\2월\2026년 2월 밀리의서재 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\밀리의서재\2월\2026년 2월 밀리의서재 정산상세.xlsx","101019","2026-03-04 오후 12:25:06"
"부커스","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\부커스\2월\2026년 2월 부커스 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\부커스\2월\2026년 2월 부커스 정산상세.xlsx","21093","2026-03-03 오후 2:16:42"
"북큐브","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\북큐브\2월\2026년 2월 북큐브(로맨스) 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\북큐브\2월\2026년 2월 북큐브(로맨스) 정산상세.xlsx","20898","2026-03-05 오후 12:20:29"
"북큐브","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\북큐브\2월\2026년 북큐브(판무) 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\북큐브\2월\2026년 북큐브(판무) 정산상세.xlsx","39290","2026-03-05 오전 11:21:15"
