Platform,YearMonth,FileName,RelativePath,SourcePath,CopiedPath,SizeBytes,LastWriteTime,DetectionStatus,DetectedAppChannel,DetectedAppPlatform,LiteralS2ChannelInFileName,AllLiteralS2Matches
교보,2026-04,2026년 4월 교보문고 정산상세.xlsx,교보\4월\2026년 4월 교보문고 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\교보\4월\2026년 4월 교보문고 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\교보\4월\2026년 4월 교보문고 정산상세.xlsx,1029860,2026-05-06 오전 10:36:58,S2_LITERAL_BUT_RULE_MISSING,,,교보문고,교보문고
구글,2026-04,2026년 4월 구글 정산상세(법인세).xlsx,구글\4월\2026년 4월 구글 정산상세(법인세).xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\4월\2026년 4월 구글 정산상세(법인세).xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\구글\4월\2026년 4월 구글 정산상세(법인세).xlsx,575806,2026-05-07 오전 9:39:52,NO_S2_CHANNEL_IN_FILENAME,,,,
네이버,2026-04,2026년 4월 네이버 연재 정산상세.xlsx,네이버\4월\2026년 4월 네이버 연재 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\4월\2026년 4월 네이버 연재 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\네이버\4월\2026년 4월 네이버 연재 정산상세.xlsx,187928,2026-05-06 오전 8:24:53,APP_DETECTED,네이버_연재,네이버,네이버_연재,네이버_연재
네이버,2026-04,2026년 4월 네이버 장르 정산상세.xlsx,네이버\4월\2026년 4월 네이버 장르 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\4월\2026년 4월 네이버 장르 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\네이버\4월\2026년 4월 네이버 장르 정산상세.xlsx,180715,2026-05-06 오전 8:26:03,APP_DETECTED,네이버_장르,네이버,네이버_장르,네이버_장르
네이버,2026-04,2026년 4월 네이버 간딴 정산상세.xlsx,네이버\4월\선투자\2026년 4월 네이버 간딴 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\4월\선투자\2026년 4월 네이버 간딴 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\네이버\4월\선투자\2026년 4월 네이버 간딴 정산상세.xlsx,12567,2026-05-06 오전 8:37:41,NO_S2_CHANNEL_IN_FILENAME,,,,
네이버,2026-04,2026년 4월 네이버 김악개 정산상세.xlsx,네이버\4월\선투자\2026년 4월 네이버 김악개 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\4월\선투자\2026년 4월 네이버 김악개 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\네이버\4월\선투자\2026년 4월 네이버 김악개 정산상세.xlsx,12533,2026-05-06 오전 8:31:25,NO_S2_CHANNEL_IN_FILENAME,,,,
네이버,2026-04,2026년 4월 네이버 낙필 정산상세.xlsx,네이버\4월\선투자\2026년 4월 네이버 낙필 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\4월\선투자\2026년 4월 네이버 낙필 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\네이버\4월\선투자\2026년 4월 네이버 낙필 정산상세.xlsx,12549,2026-05-06 오전 8:38:34,NO_S2_CHANNEL_IN_FILENAME,,,,
네이버,2026-04,2026년 4월 네이버 북홀릭 정산상세.xlsx,네이버\4월\선투자\2026년 4월 네이버 북홀릭 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\4월\선투자\2026년 4월 네이버 북홀릭 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\네이버\4월\선투자\2026년 4월 네이버 북홀릭 정산상세.xlsx,12412,2026-05-06 오전 8:34:46,NO_S2_CHANNEL_IN_FILENAME,,,,
네이버,2026-04,2026년 4월 네이버 선투자 정산상세(통합).xlsx,네이버\4월\선투자\2026년 4월 네이버 선투자 정산상세(통합).xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\4월\선투자\2026년 4월 네이버 선투자 정산상세(통합).xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\네이버\4월\선투자\2026년 4월 네이버 선투자 정산상세(통합).xlsx,14452,2026-05-06 오전 8:40:48,NO_S2_CHANNEL_IN_FILENAME,,,,
네이버,2026-04,2026년 4월 네이버 차라리 정산상세.xlsx,네이버\4월\선투자\2026년 4월 네이버 차라리 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\4월\선투자\2026년 4월 네이버 차라리 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\네이버\4월\선투자\2026년 4월 네이버 차라리 정산상세.xlsx,12565,2026-05-06 오전 8:36:47,NO_S2_CHANNEL_IN_FILENAME,,,,
네이버,2026-04,2026년 4월 네이버 호수 정산상세.xlsx,네이버\4월\선투자\2026년 4월 네이버 호수 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\4월\선투자\2026년 4월 네이버 호수 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\네이버\4월\선투자\2026년 4월 네이버 호수 정산상세.xlsx,12551,2026-05-06 오전 8:35:33,NO_S2_CHANNEL_IN_FILENAME,,,,
노벨피아,2026-04,2026년 4월 노벨피아 정산상세.xlsx,노벨피아\4월\2026년 4월 노벨피아 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\노벨피아\4월\2026년 4월 노벨피아 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\노벨피아\4월\2026년 4월 노벨피아 정산상세.xlsx,14207,2026-05-04 오후 2:30:22,NO_S2_CHANNEL_IN_FILENAME,,,,
로망띠끄,2026-04,2026년 4월 로망띠끄 정산상세.xlsx,로망띠끄\4월\2026년 4월 로망띠끄 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\로망띠끄\4월\2026년 4월 로망띠끄 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\로망띠끄\4월\2026년 4월 로망띠끄 정산상세.xlsx,16837,2026-05-06 오전 10:30:05,APP_DETECTED,로망띠끄,로망띠끄,로망띠끄,로망띠끄
리디북스,2026-03,2026년 3월 리디 정산상세.xlsx,리디북스\3월\2026년 3월 리디 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\리디북스\3월\2026년 3월 리디 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\리디북스\3월\2026년 3월 리디 정산상세.xlsx,6941813,2026-04-16 오전 9:28:47,NO_S2_CHANNEL_IN_FILENAME,,,,
