정산서_원본행번호,정산서_콘텐츠명,정제_상품명,IPS_매칭상태,IPS_콘텐츠ID,IPS_콘텐츠명,지급정산관리_S2상태,지급정산관리_후보수,판매채널콘텐츠_후보수,판매채널콘텐츠ID_목록,판매채널콘텐츠명_목록,판매채널콘텐츠ID_대표,판매채널콘텐츠명_대표,진단,자동매핑허용,조치
8,십왕책(개정판),십왕책,matched,114204,십왕책(개정판),no_match,0,1,209371,십왕책(개정판),209371,십왕책(개정판),정산정보없음_차단_후보,N,지급정산관리 계약/정산 설정 확인
34,검(劍),검,matched,111330,검(劍),no_match,0,1,190905,검(劍),190905,검(劍),정산정보없음_차단_후보,N,지급정산관리 계약/정산 설정 확인
73,검정대륙행,검정대륙행,matched,111358,검정대륙행,no_match,0,1,191064,검정대륙행,191064,검정대륙행,정산정보없음_차단_후보,N,지급정산관리 계약/정산 설정 확인
76,천의역근참수기,천의역근참수기,matched,115644,천의역근참수기,no_match,0,1,116337,천의역근참수기,116337,천의역근참수기,정산정보없음_차단_후보,N,지급정산관리 계약/정산 설정 확인
77,칠색무,칠색무,matched,115819,칠색무,no_match,0,1,631422,칠색무,631422,칠색무,정산정보없음_차단_후보,N,지급정산관리 계약/정산 설정 확인
91,검무흔(개정판. 무삭제본),검무흔,matched,109362,[연재] 검무흔(개정판. 무삭제본),no_match,0,1,165934,[10%할인]검무흔(개정판. 무삭제본),165934,[10%할인]검무흔(개정판. 무삭제본),정산정보없음_차단_후보,N,지급정산관리 계약/정산 설정 확인
92,검웅영제(무삭제 개정판),검웅영제,matched,111345,검웅영제(무삭제 개정판),no_match,0,1,111907,검웅영제(무삭제 개정판),111907,검웅영제(무삭제 개정판),정산정보없음_차단_후보,N,지급정산관리 계약/정산 설정 확인
198,혈무연,혈무연,matched,116315,혈무연,no_match,0,1,222509,혈무연,222509,혈무연,정산정보없음_차단_후보,N,지급정산관리 계약/정산 설정 확인
224,천마겁(무삭제본),천마겁,matched,115591,천마겁(무삭제본),no_match,0,1,116283,천마겁(무삭제본),116283,천마겁(무삭제본),정산정보없음_차단_후보,N,지급정산관리 계약/정산 설정 확인
225,칠기무제(무삭제 개정판),칠기무제,matched,115816,칠기무제(무삭제 개정판),no_match,0,1,116524,칠기무제(무삭제 개정판),116524,칠기무제(무삭제 개정판),정산정보없음_차단_후보,N,지급정산관리 계약/정산 설정 확인
232,삼랑소,삼랑소,matched,113754,삼랑소,no_match,0,1,206738,삼랑소,206738,삼랑소,정산정보없음_차단_후보,N,지급정산관리 계약/정산 설정 확인
233,구룡겁,구룡겁,matched,111572,구룡겁,no_match,0,1,192469,구룡겁,192469,구룡겁,정산정보없음_차단_후보,N,지급정산관리 계약/정산 설정 확인
274,재벌집 망나니 7대 독자,재벌집망나니대독자,matched,322006,재벌집 망나니 7대 독자_앤서_1005608_1167_확정,no_match,0,0,,,,,판매채널콘텐츠_없음_또는_명칭차이,N,수동 확인
300,핵무기도 만들어 드릴까요?,핵무기도만들어드릴까요,matched,110907,핵무기도 만들어 드릴까요?_북홀릭_1003122_804_확정,no_match,0,0,,,,,판매채널콘텐츠_없음_또는_명칭차이,N,수동 확인
309,늙은 경비에게 조교당하는 스튜어디스의 이야기,늙은경비에게조교당하는스튜어디스의이야기,no_match,,,no_match,0,0,,,,,IPS_마스터_확인필요,N,수동 확인
310,보수적이라며 팬티는 왜 벗어,보수적이라며팬티는왜벗어,no_match,,,no_match,0,0,,,,,IPS_마스터_확인필요,N,수동 확인
335,내가 알던 게임이 아니다,내가알던게임이아니다,matched,109325,내가 알던 게임이 아니다_오시안_1005012_918_확정,no_match,0,0,,,,,판매채널콘텐츠_없음_또는_명칭차이,N,수동 확인
338,핵무기도 만들어 드릴까요? [단행본],핵무기도만들어드릴까요,matched,110907,핵무기도 만들어 드릴까요?_북홀릭_1003122_804_확정,no_match,0,0,,,,,판매채널콘텐츠_없음_또는_명칭차이,N,수동 확인
362,코드네임 사신,코드네임사신,matched,160310,코드네임 사신_준강_1003576_818_확정,no_match,0,0,,,,,판매채널콘텐츠_없음_또는_명칭차이,N,수동 확인
396,절망하고 복종하라,절망하고복종하라,matched,107832,절망하고 복종하라_베노맨서_1005014_919_확정,no_match,0,0,,,,,판매채널콘텐츠_없음_또는_명칭차이,N,수동 확인
399,코드네임 사신 [단행본],코드네임사신,matched,160310,코드네임 사신_준강_1003576_818_확정,no_match,0,0,,,,,판매채널콘텐츠_없음_또는_명칭차이,N,수동 확인
412,음공천하,음공천하,matched,312022,[카카오]음공천하 단행본,no_match,0,0,,,,,판매채널콘텐츠_없음_또는_명칭차이,N,수동 확인
415,코인 게이트를 열었다,코인게이트를열었다,matched,247429,코인게이트를열었다_용병애쉬_1005404_1081_확정,no_match,0,0,,,,,판매채널콘텐츠_없음_또는_명칭차이,N,수동 확인
456,독식하는 재벌 3세,독식하는재벌세,no_match,,,no_match,0,0,,,,,IPS_마스터_확인필요,N,수동 확인
462,혜정이의 야한 이야기,혜정이의야한이야기,matched,322745,혜정이의 야한 이야기,no_match,0,0,,,,,판매채널콘텐츠_없음_또는_명칭차이,N,수동 확인
472,다따먹점혈법,다따먹점혈법,no_match,,,no_match,0,0,,,,,IPS_마스터_확인필요,N,수동 확인
473,독식하는 재벌 3세 [단행본],독식하는재벌세,no_match,,,no_match,0,0,,,,,IPS_마스터_확인필요,N,수동 확인
484,야한 규칙으로 다 따먹음,야한규칙으로다따먹음,no_match,,,no_match,0,0,,,,,IPS_마스터_확인필요,N,수동 확인
493,야한 연극의 TS 주인공이 되었다 [단행본],야한연극의ts주인공이되었다,no_match,,,no_match,0,0,,,,,IPS_마스터_확인필요,N,수동 확인
500,야한 연극의 TS 주인공이 되었다,야한연극의ts주인공이되었다,no_match,,,no_match,0,0,,,,,IPS_마스터_확인필요,N,수동 확인
510,야한 규칙으로 다 따먹음 [단행본],야한규칙으로다따먹음,no_match,,,no_match,0,0,,,,,IPS_마스터_확인필요,N,수동 확인
513,조금은 야한 우리 회사,조금은야한우리회사,no_match,,,no_match,0,0,,,,,IPS_마스터_확인필요,N,수동 확인
