순번,상태,플랫폼,판매채널명,판매채널ID,행수,파일명,저장경로,오류
1,success,교보,교보문고(소설),87,3370,교보문고(소설)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\교보문고(소설)_원본.xlsx,
2,success,교보,교보문고(톡소다),65,600,교보문고(톡소다)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\교보문고(톡소다)_원본.xlsx,
3,success,구글,구글(소설),82,3530,구글(소설)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\구글(소설)_원본.xlsx,
4,success,네이버,네이버_연재,35,897,네이버_연재_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\네이버_연재_원본.xlsx,
5,success,네이버,네이버_연재(광고수익),34,1272,네이버_연재(광고수익)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\네이버_연재(광고수익)_원본.xlsx,
6,success,네이버,네이버_일반,36,3272,네이버_일반_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\네이버_일반_원본.xlsx,
7,success,네이버,네이버_장르,37,1900,네이버_장르_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\네이버_장르_원본.xlsx,
8,success,네이버,네이버_장르(광고수익),33,2874,네이버_장르(광고수익)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\네이버_장르(광고수익)_원본.xlsx,
9,success,노벨피아,노벨피아 (소설),1169,348,노벨피아 (소설)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\노벨피아 (소설)_원본.xlsx,
10,success,로망띠끄,로망띠끄,84,948,로망띠끄_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\로망띠끄_원본.xlsx,
11,success,리디북스,리디북스(이벤트),61,3571,리디북스(이벤트)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\리디북스(이벤트)_원본.xlsx,
12,success,모픽,모픽(mofic),1248,680,모픽(mofic)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\모픽(mofic)_원본.xlsx,
13,success,무툰,무툰(소설 서비스),63,3081,무툰(소설 서비스)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\무툰(소설 서비스)_원본.xlsx,
14,success,문피아,문피아(후원금 정산),49,796,문피아(후원금 정산)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\문피아(후원금 정산)_원본.xlsx,
15,success,미소설,미소설,67,767,미소설_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\미소설_원본.xlsx,
16,success,미스터블루,미스터블루(소설),93,9668,미스터블루(소설)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\미스터블루(소설)_원본.xlsx,
17,success,밀리의서재,밀리의 서재,1106,428,밀리의 서재_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\밀리의 서재_원본.xlsx,
18,success,보인&국립장애인도서관,국립장애인도서관,1284,113,국립장애인도서관_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\국립장애인도서관_원본.xlsx,
19,success,보인&국립장애인도서관,보인,1280,144,보인_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\보인_원본.xlsx,
20,success,부커스,부커스,42,328,부커스_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\부커스_원본.xlsx,
21,success,북큐브,북큐브(소설),66,3663,북큐브(소설)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\북큐브(소설)_원본.xlsx,
22,success,북팔,북팔(소설),46,1150,북팔(소설)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\북팔(소설)_원본.xlsx,
23,success,북팔,예원북스(북팔),78,265,예원북스(북팔)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\예원북스(북팔)_원본.xlsx,
