platform,schn_id,schn_nm,bcnc_cd,bcnc_nm,ctns_stle_cd,ctns_stle_cd_nm
교보,87,교보문고(소설),1028111670,(주)교보문고,102,소설
교보,65,교보문고(톡소다),1028111670,(주)교보문고,102,소설
구글,82,구글(소설),F000000251,Google Ireland Limited,102,소설
네이버,35,네이버_연재,6698601888,네이버웹툰 유한회사,102,소설
네이버,34,네이버_연재(광고수익),6698601888,네이버웹툰 유한회사,102,소설
네이버,36,네이버_일반,2208162517,네이버 주식회사,102,소설
네이버,37,네이버_장르,6698601888,네이버웹툰 유한회사,102,소설
네이버,33,네이버_장르(광고수익),6698601888,네이버웹툰 유한회사,102,소설
노벨피아,1169,노벨피아 (소설),CN2025020371,㈜메타크래프트/주식회사 헥토파이낸셜,102,소설
로망띠끄,84,로망띠끄,6020637265,로망띠끄,102,소설
리디북스,61,리디북스(이벤트),1208727435,리디 주식회사,102,소설
모픽,1248,모픽(mofic),7238801847,주식회사 테일크루,102,소설
무툰,63,무툰(소설 서비스),7168100915,주식회사 핑거스토리,102,소설
문피아,49,문피아(후원금 정산),2648108435,(주)문피아,102,소설
미소설,67,미소설,2728100259,주식회사 미툰앤노벨,102,소설
미스터블루,93,미스터블루(소설),1078830967,미스터블루(주),102,소설
밀리의서재,1106,밀리의 서재,4238800370,주식회사 밀리의서재,102,소설
보인&국립장애인도서관,1284,국립장애인도서관,3628300051,국립장애인도서관,102,소설
보인&국립장애인도서관,1280,보인,2448600486,(주) 보인정보기술(구.아성이앤아이),102,소설
부커스,42,부커스,4588801884,주식회사 부커스,102,소설
북큐브,66,북큐브(소설),1138624199,(주)북큐브네트웍스,102,소설
북팔,46,북팔(소설),2148874813,(주)북팔,102,소설
북팔,78,예원북스(북팔),2148874813,(주)북팔,102,소설
블라이스,1107,블라이스 셀렉트,4238800370,주식회사 밀리의서재,102,소설
블라이스,57,블라이스_인앱결제,4238800370,주식회사 밀리의서재,102,소설
블라이스,58,블라이스_일반결제,4238800370,주식회사 밀리의서재,102,소설
스낵북,74,스낵북(알에스),3048700261,(주) 스토리야,102,소설
스토린랩,77,스토린랩(원스토어),6048600280,스토린랩,102,소설
신영미디어,80,신영미디어,1018124115,(주)신영미디어,102,소설
알라딘,55,알라딘(소설)(1068659313),2018123094,알라딘커뮤니케이션,102,소설
에이블리,40,에이블리(소설),1648700149,(주)에이블리코퍼레이션,102,소설
에피루스,73,에피루스 이북클럽(B2C),2148631557,(주)블루마운틴소프트,102,소설
예스24,54,Yes24(서점),2298137000,예스이십사 주식회사,102,소설
예스24,85,Yes24(시프트북스),2298137000,예스이십사 주식회사,102,소설
올툰,466,올툰,1798102225,주식회사 레브잇,101,웹툰
올툰,1108,올툰(소설),1798102225,주식회사 레브잇,102,소설
원스토어,92,원스토어(소설),8568600329,원스토어 주식회사,102,소설
윌라,41,윌라(오디오북),2208765006,인플루엔셜,102,소설
윌라,38,윌라(전자책),2208765006,인플루엔셜,102,소설
조아라,79,조아라(소설),6178165421,(주)조아라,102,소설
카카오,31,카카오페이지(선투자),2208802594,주식회사 카카오엔터테인먼트,102,소설
카카오,32,카카오페이지(소설),2208802594,주식회사 카카오엔터테인먼트,102,소설
카카오,30,카카오페이지(창작지원금),2208802594,주식회사 카카오엔터테인먼트,102,소설
큐툰,47,큐툰(소설 서비스),7168100915,주식회사 핑거스토리,102,소설
토스(구루컴퍼니),453,구루컴퍼니,1678601247,주식회사 구루컴퍼니,101,웹툰
토스(구루컴퍼니),1109,토스(소설),1678601247,주식회사 구루컴퍼니,102,소설
판무림,62,판무림,5878702092,(주)디엘피스튜디오,102,소설
피우리(누온),88,누온,2278700227,(주)누온,102,소설
피플앤스토리,75,피플앤스토리 (P2P 웹소설 서비스),1058810325,(주)피플앤스토리,102,소설
하이북,76,웹소설 하이북,3748700519,팀씨에스피(하이북),102,소설
한아름,70,한아름(P000003716),1108144866,(주)한아름닷컴,102,소설
