순번,플랫폼,S2판매채널명,S2판매채널ID,거래처코드,거래처명,상태,행수,오류
1,교보,교보문고(소설),87,1028111670,(주)교보문고,success,3370,
2,교보,교보문고(톡소다),65,1028111670,(주)교보문고,success,600,
3,구글,구글(소설),82,F000000251,Google Ireland Limited,success,3530,
4,네이버,네이버_연재,35,6698601888,네이버웹툰 유한회사,success,897,
5,네이버,네이버_연재(광고수익),34,6698601888,네이버웹툰 유한회사,success,1272,
6,네이버,네이버_일반,36,2208162517,네이버 주식회사,success,3272,
7,네이버,네이버_장르,37,6698601888,네이버웹툰 유한회사,success,1900,
8,네이버,네이버_장르(광고수익),33,6698601888,네이버웹툰 유한회사,success,2874,
9,노벨피아,노벨피아 (소설),1169,CN2025020371,㈜메타크래프트/주식회사 헥토파이낸셜,success,348,
10,로망띠끄,로망띠끄,84,6020637265,로망띠끄,success,948,
11,리디북스,리디북스(이벤트),61,1208727435,리디 주식회사,success,3571,
12,모픽,모픽(mofic),1248,7238801847,주식회사 테일크루,success,680,
13,무툰,무툰(소설 서비스),63,7168100915,주식회사 핑거스토리,success,3081,
14,문피아,문피아(후원금 정산),49,2648108435,(주)문피아,success,796,
15,미소설,미소설,67,2728100259,주식회사 미툰앤노벨,success,767,
16,미스터블루,미스터블루(소설),93,1078830967,미스터블루(주),success,9668,
17,밀리의서재,밀리의 서재,1106,4238800370,주식회사 밀리의서재,success,428,
18,보인&국립장애인도서관,국립장애인도서관,1284,3628300051,국립장애인도서관,success,113,
19,보인&국립장애인도서관,보인,1280,2448600486,(주) 보인정보기술(구.아성이앤아이),success,144,
20,부커스,부커스,42,4588801884,주식회사 부커스,success,328,
21,북큐브,북큐브(소설),66,1138624199,(주)북큐브네트웍스,success,3663,
22,북팔,북팔(소설),46,2148874813,(주)북팔,success,1150,
23,북팔,예원북스(북팔),78,2148874813,(주)북팔,success,265,
24,블라이스,블라이스 셀렉트,1107,4238800370,주식회사 밀리의서재,success,348,
25,블라이스,블라이스_인앱결제,57,4238800370,주식회사 밀리의서재,success,569,
26,블라이스,블라이스_일반결제,58,4238800370,주식회사 밀리의서재,success,995,
27,스낵북,스낵북(알에스),74,3048700261,(주) 스토리야,success,522,
28,스토린랩,스토린랩(원스토어),77,6048600280,스토린랩,success,2068,
29,신영미디어,신영미디어,80,1018124115,(주)신영미디어,success,373,
30,알라딘,알라딘(소설)(1068659313),55,2018123094,알라딘커뮤니케이션,success,1373,
31,에이블리,에이블리(소설),40,1648700149,(주)에이블리코퍼레이션,success,474,
32,에피루스,에피루스 이북클럽(B2C),73,2148631557,(주)블루마운틴소프트,success,871,
33,예스24,Yes24(서점),54,2298137000,예스이십사 주식회사,success,3996,
34,예스24,Yes24(시프트북스),85,2298137000,예스이십사 주식회사,success,247,
35,올툰,올툰,466,1798102225,주식회사 레브잇,success,826,
36,올툰,올툰(소설),1108,1798102225,주식회사 레브잇,success,336,
37,원스토어,원스토어(소설),92,8568600329,원스토어 주식회사,success,9999,
38,윌라,윌라(오디오북),41,2208765006,인플루엔셜,success,247,
39,윌라,윌라(전자책),38,2208765006,인플루엔셜,success,500,
40,조아라,조아라(소설),79,6178165421,(주)조아라,success,1264,
41,카카오,카카오페이지(선투자),31,2208802594,주식회사 카카오엔터테인먼트,success,760,
42,카카오,카카오페이지(소설),32,2208802594,주식회사 카카오엔터테인먼트,success,1244,
43,카카오,카카오페이지(창작지원금),30,2208802594,주식회사 카카오엔터테인먼트,success,1334,
44,큐툰,큐툰(소설 서비스),47,7168100915,주식회사 핑거스토리,success,415,
45,토스(구루컴퍼니),구루컴퍼니,453,1678601247,주식회사 구루컴퍼니,success,807,
46,토스(구루컴퍼니),토스(소설),1109,1678601247,주식회사 구루컴퍼니,success,620,
47,판무림,판무림,62,5878702092,(주)디엘피스튜디오,success,9127,
48,피우리(누온),누온,88,2278700227,(주)누온,success,2398,
49,피플앤스토리,피플앤스토리 (P2P 웹소설 서비스),75,1058810325,(주)피플앤스토리,success,1749,
50,하이북,웹소설 하이북,76,3748700519,팀씨에스피(하이북),success,3544,
51,한아름,한아름(P000003716),70,1108144866,(주)한아름닷컴,success,7442,
