콘텐츠ID,콘텐츠명_IPS,콘텐츠명_판매채널조회,콘텐츠형태,귀속법인,서비스유형,작가필명,등급,장르,세부장르,담당부서,담당자명,판매채널콘텐츠_전체,지급정산관리_존재_채널수,정산정보없음_채널수,사용안함_채널수,콘텐츠단위_rename_위험,권장조치
107869,(카카오) 언어의 주인이란,(카카오) 언어의 주인이란,소설,키다리스튜디오,연재,"정보석,정보석(가을bee),정보석가을bee",비성인,남성향,판타지,소설편집팀,홍지표,4,3,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
107907,[10%할인] 복마지존(무삭제판) (전4권 완결),[10%할인] 복마지존(무삭제판) (전4권 완결),소설,키다리스튜디오,단행본,강태산,성인,,성인물,소설편집팀,이선근,2,1,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
107990,[네이버]대기업 말단이 일을 잘함,[네이버]대기업 말단이 일을 잘함,소설,키다리스튜디오,연재,동면거북이,비성인,남성향,판타지,소설편집팀,김경민,2,1,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
108533,[세트] 와룡등천 (전6권 완결),[세트] 와룡등천 (전6권 완결),소설,키다리스튜디오,단행본,동윤,비성인,,무협,소설편집팀,이선근,2,1,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
109416,[연재] 나태한 연기 천재,[연재] 나태한 연기 천재,소설,키다리스튜디오,연재,빅피쉬,비성인,,현대판타지,소설편집팀,이선근,19,18,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
109428,[연재] 내게 팔려 온 왕자님,[연재] 내게 팔려 온 왕자님,소설,키다리스튜디오,연재,전진배럭,비성인,여성향,로맨스판타지,봄툰소설편집팀,배지은,15,14,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
109432,[연재] 노룡탄(무삭제판),[연재] 노룡탄(무삭제판),소설,키다리스튜디오,연재,강태산,성인,남성향,성인물,소설편집팀,이선근,3,2,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
109504,[연재] 복마지존(무삭제판),[연재] 복마지존(무삭제판),소설,키다리스튜디오,연재,강태산,성인,남성향,성인물,소설편집팀,이선근,3,2,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
109520,[연재] 새비어 매니저,[연재] 새비어 매니저,소설,키다리스튜디오,연재,김종휘,비성인,,판타지,소설편집팀,이선근,3,2,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
109526,[연재] 소뢰아,[연재] 소뢰아,소설,키다리스튜디오,연재,강태산,성인,남성향,성인물,소설편집팀,이선근,5,2,3,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
109554,[연재] 야망시대(무삭제판),[연재] 야망시대(무삭제판),소설,키다리스튜디오,연재,강태산,성인,남성향,성인물,소설편집팀,이선근,3,1,2,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
