콘텐츠ID,변경전콘텐츠명,변경후콘텐츠명,candidate_원본콘텐츠명,변경여부,처리사유,콘텐츠형태,담당부서,담당자명
107965,[네이버] 악마가 내 이름을 부르면,[정산정보없음]_[네이버] 악마가 내 이름을 부르면,[네이버] 악마가 내 이름을 부르면,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=봄툰소설편집팀; 담당자=김수지(A),소설,봄툰소설편집팀,김수지(A)
110970,[카카오창작지원금] 사자님은 비정규직!,[정산정보없음]_[카카오창작지원금] 사자님은 비정규직!,[카카오창작지원금] 사자님은 비정규직!,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=봄툰소설편집팀; 담당자=김수지(A),소설,봄툰소설편집팀,김수지(A)
116488,후회물 남주를 잘못 훈육해버렸다 (연재),[정산정보없음]_후회물 남주를 잘못 훈육해버렸다 (연재),후회물 남주를 잘못 훈육해버렸다 (연재),Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=봄툰소설편집팀; 담당자=김수지(A),소설,봄툰소설편집팀,김수지(A)
112400,달콤한 최면 세트,[정산정보없음]_달콤한 최면 세트,달콤한 최면 세트,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=4; 담당부서=봄툰소설편집팀; 담당자=배지은,소설,봄툰소설편집팀,배지은
113455,불량 연애 세트,[정산정보없음]_불량 연애 세트,불량 연애 세트,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=봄툰소설편집팀; 담당자=배지은,소설,봄툰소설편집팀,배지은
147312,히트 가이딩,[정산정보없음]_히트 가이딩,히트 가이딩,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=봄툰소설편집팀; 담당자=배지은,소설,봄툰소설편집팀,배지은
324238,유리알 유희(봄툰),[정산정보없음]_유리알 유희(봄툰),유리알 유희(봄툰),Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=봄툰소설편집팀; 담당자=윤민희,소설,봄툰소설편집팀,윤민희
109435,[연재] 논 마라나타(non marana tha),[정산정보없음]_[연재] 논 마라나타(non marana tha),[연재] 논 마라나타(non marana tha),Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=5; 담당부서=봄툰소설편집팀; 담당자=허은지,소설,봄툰소설편집팀,허은지
112812,리스트 컷 세트,[정산정보없음]_리스트 컷 세트,리스트 컷 세트,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=봄툰소설편집팀; 담당자=허은지,소설,봄툰소설편집팀,허은지
114987,이름을 세 번 부를 때까지,[정산정보없음]_이름을 세 번 부를 때까지,이름을 세 번 부를 때까지,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=6; 담당부서=봄툰소설편집팀; 담당자=허은지,소설,봄툰소설편집팀,허은지
