콘텐츠ID,콘텐츠명_IPS,콘텐츠명_판매채널조회,콘텐츠형태,귀속법인,서비스유형,작가필명,등급,장르,세부장르,담당부서,담당자명,판매채널콘텐츠_전체,지급정산관리_존재_채널수,정산정보없음_채널수,사용안함_채널수,콘텐츠단위_rename_위험,권장조치
107774,(연재)1422만 포인트로 환생하기,(연재)1422만 포인트로 환생하기,소설,키다리스튜디오,연재,호드,비성인,,판타지,소설편집팀,이선근,7,0,7,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
107917,[10%할인] 질풍권 (전6권 완결),[10%할인] 질풍권 (전6권 완결),소설,키다리스튜디오,단행본,별도,비성인,,무협,소설편집팀,이선근,2,0,2,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
107919,[10%할인]검무흔(개정판. 무삭제본),[10%할인]검무흔(개정판. 무삭제본),소설,키다리스튜디오,단행본,천중행,성인,남성향,성인물,소설편집팀,이선근,6,0,6,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
107940,[개정판]팝콘은 옥수수로 튀긴다,[개정판]팝콘은 옥수수로 튀긴다,소설,키다리스튜디오,단행본,낭인,비성인,,현대로맨스,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
107965,[네이버] 악마가 내 이름을 부르면,[네이버] 악마가 내 이름을 부르면,소설,키다리스튜디오,연재,"무화과,우윤희",비성인,,로맨스판타지,봄툰소설편집팀,김수지(A),2,0,2,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
108369,[세트] 가짜 성녀에게 죽음을,[세트] 가짜 성녀에게 죽음을,소설,키다리스튜디오,단행본,한설온,성인,여성향,현대로맨스,소설유통팀,권소현,2,0,2,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
108462,[세트] 뱀파이어 보스 (전5권 완결),[세트] 뱀파이어 보스 (전5권 완결),소설,키다리스튜디오,단행본,김서울,비성인,,현대로맨스,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
108473,[세트] 비밀 (전2권 완결),[세트] 비밀 (전2권 완결),소설,키다리스튜디오,단행본,이서윤,성인,,현대로맨스,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
108557,[세트] 진천뇌협 (전6권 완결),[세트] 진천뇌협 (전6권 완결),소설,키다리스튜디오,단행본,동윤,비성인,,무협,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
108959,[세트]시나브로 성인 육감소설 중편선(전5권 완결),[세트]시나브로 성인 육감소설 중편선(전5권 완결),소설,키다리스튜디오,단행본,시나브로,성인,,성인물,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
109190,[세트]칠기무제(무삭제 개정판)(전3권 완결),[세트]칠기무제(무삭제 개정판)(전3권 완결),소설,키다리스튜디오,단행본,천중행,성인,,성인물,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
109355,[연재] 가짜 성녀에게 죽음을,[연재] 가짜 성녀에게 죽음을,소설,키다리스튜디오,연재,한설온,성인,여성향,현대로맨스,소설유통팀,권소현,4,0,4,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
109364,[연재] 검한몽전,[연재] 검한몽전,소설,키다리스튜디오,연재,천중행,비성인,,무협,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
109421,[연재] 남해삼십육검,[연재] 남해삼십육검,소설,키다리스튜디오,연재,설봉,비성인,,무협,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
109435,[연재] 논 마라나타(non marana tha),[연재] 논 마라나타(non marana tha),소설,키다리스튜디오,단행본,두고,성인,여성향,BL,봄툰소설편집팀,허은지,5,0,5,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
109544,[연재] 아이돌 공략법으로 데뷔합니다,[연재] 아이돌 공략법으로 데뷔합니다,소설,키다리스튜디오,연재,당근맛쿠키,비성인,,현대판타지,소설편집팀,이선근,10,0,10,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
109586,[연재] 일단 고등학생이 이계로 왔습니다만?,[연재] 일단 고등학생이 이계로 왔습니다만?,소설,키다리스튜디오,연재,프로스트,비성인,남성향,판타지,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
109637,[연재]폭풍야,[연재]폭풍야,소설,키다리스튜디오,연재,강태산,비성인,,무협,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
109656,[연재]1위 할건데 불만이세요?,[연재]1위 할건데 불만이세요?,소설,키다리스튜디오,연재,중용도,비성인,남성향,판타지,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
109764,너무 잘 아는 게임에 소환됐다_지피노_1003381_530_확정,너무 잘 아는 게임에 소환됐다_지피노_1003381_530_확정,소설,키다리스튜디오,연재,지피노,비성인,남성향,판타지,소설편집팀,조원재,2,0,2,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
109779,[연재]능력 믿고 막 간다,[연재]능력 믿고 막 간다,소설,키다리스튜디오,연재,반취객,비성인,남성향,판타지,소설편집팀,이선근,8,0,8,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
109818,[연재]드림 컨트롤러,[연재]드림 컨트롤러,소설,키다리스튜디오,연재,최소혜,비성인,,판타지,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
109919,[연재]베스트 단편 추리소설 걸작선,[연재]베스트 단편 추리소설 걸작선,소설,키다리스튜디오,연재,한국추리작가협회,비성인,남성향,일반서,소설편집팀,이선근,2,0,2,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
109927,[연재]복싱 가이드,[연재]복싱 가이드,소설,키다리스튜디오,연재,비수,비성인,,판타지,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
109997,[연재]시스템 오류로 에이스 등극!,[연재]시스템 오류로 에이스 등극!,소설,키다리스튜디오,연재,글상사,비성인,남성향,현대판타지,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110155,[연재]제국의 연가,[연재]제국의 연가,소설,키다리스튜디오,연재,홍은재,성인,,현대로맨스,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110188,[연재]짙은 유혹,[연재]짙은 유혹,소설,키다리스튜디오,연재,적랑,성인,,현대로맨스,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110207,[연재]천마 재벌집 아들로 환생,[연재]천마 재벌집 아들로 환생,소설,키다리스튜디오,연재,방탄리무진,비성인,,판타지,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110220,[연재]천애비검,[연재]천애비검,소설,키다리스튜디오,연재,설봉,비성인,,무협,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110295,[연재]핵재벌 개망나니,[연재]핵재벌 개망나니,소설,키다리스튜디오,연재,방탄리무진,비성인,,판타지,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110296,[연재]핵재벌이 돈을 숨김,[연재]핵재벌이 돈을 숨김,소설,키다리스튜디오,연재,방탄리무진,비성인,,판타지,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110304,[연재]혈무연,[연재]혈무연,소설,키다리스튜디오,연재,와룡강,성인,남성향,성인물,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110587,0_드래곤 엔터테인먼트_지미신_일반,0_드래곤 엔터테인먼트_지미신_일반,소설,키다리스튜디오,연재,지미신,비성인,남성향,판타지,소설사업부,김정원,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110596,[카카오] 백치 공주 시리즈,[카카오] 백치 공주 시리즈,소설,키다리스튜디오,연재,마뇽,비성인,,현대로맨스,소설편집팀,이선근,2,0,2,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110642,[카카오] 줍고보니 괴담백서,[카카오] 줍고보니 괴담백서,소설,키다리스튜디오,연재,윤원,비성인,남성향,현대판타지,소설편집팀,이선근,5,0,5,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110683,[카카오]곤륜신기전,[카카오]곤륜신기전,소설,키다리스튜디오,연재,송재일,비성인,남성향,무협,소설편집팀,김경민,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110951,[카카오창작지원금] 가짜 후궁,[카카오창작지원금] 가짜 후궁,소설,키다리스튜디오,연재,온해,비성인,여성향,현대로맨스,소설2팀,김인희,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110957,[카카오창작지원금] 그녀를 탐하다,[카카오창작지원금] 그녀를 탐하다,소설,키다리스튜디오,연재,"마승리,마승리(문지원)",비성인,여성향,현대로맨스,소설2팀,김인희,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110963,"[카카오창작지원금] 떨어지는 꽃잎, 흩어지는 칼","[카카오창작지원금] 떨어지는 꽃잎, 흩어지는 칼",소설,키다리스튜디오,연재,마승리,비성인,여성향,현대로맨스,소설2팀,김인희,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110970,[카카오창작지원금] 사자님은 비정규직!,[카카오창작지원금] 사자님은 비정규직!,소설,키다리스튜디오,연재,"박희진, 차혜영,박희진,차혜영",비성인,여성향,로맨스판타지,봄툰소설편집팀,김수지(A),1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110976,[카카오창작지원금] 야래향의 거울,[카카오창작지원금] 야래향의 거울,소설,키다리스튜디오,연재,대파랑,비성인,여성향,현대로맨스,소설2팀,김인희,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110977,[카카오창작지원금] 어느 매분구의 은밀한 이중생활,[카카오창작지원금] 어느 매분구의 은밀한 이중생활,소설,키다리스튜디오,연재,마승리,비성인,여성향,현대로맨스,소설2팀,김인희,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110979,[카카오창작지원금] 이미 넌 사랑,[카카오창작지원금] 이미 넌 사랑,소설,키다리스튜디오,연재,이솔,비성인,여성향,현대로맨스,소설2팀,김인희,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110985,[카카오창작지원금] 중전마마의 야릇한 사정,[카카오창작지원금] 중전마마의 야릇한 사정,소설,키다리스튜디오,연재,"마승리,마승리(문지원)",비성인,여성향,현대로맨스,소설2팀,김인희,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
110990,[카카오창작지원금] 키스까지 한순간,[카카오창작지원금] 키스까지 한순간,소설,키다리스튜디오,연재,정지율,비성인,여성향,현대로맨스,소설2팀,김인희,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111009,[카카오창작지원금]레벨 업! 하는 식당,[카카오창작지원금]레벨 업! 하는 식당,소설,키다리스튜디오,연재,인기영,비성인,남성향,판타지,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111033,[카카오창작지원금]초월자 어빈,[카카오창작지원금]초월자 어빈,소설,키다리스튜디오,연재,인기영,비성인,남성향,판타지,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111039,[카카오창작지원금]현대영웅전,[카카오창작지원금]현대영웅전,소설,키다리스튜디오,연재,인기영,비성인,남성향,판타지,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111072,[판매중지]_하이북_천마겁(무삭제본),[판매중지]_하이북_천마겁(무삭제본),소설,키다리스튜디오,연재,천중행,비성인,남성향,무협,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111111,1분 안에 숏타임 저질 성교,1분 안에 숏타임 저질 성교,소설,키다리스튜디오,단행본,떨녀,성인,,일반서,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111114,2층 자위 여학생 농락,2층 자위 여학생 농락,소설,키다리스튜디오,단행본,떨녀,성인,,일반서,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111138,Cool한 일처다부제를 지지한다,Cool한 일처다부제를 지지한다,소설,키다리스튜디오,단행본,"시아,이혜경",성인,,현대로맨스,소설편집팀,이선근,2,0,2,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111141,Dear,Dear,소설,키다리스튜디오,단행본,후카자와 진,비성인,,현대로맨스,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111161,Moon,Moon,소설,키다리스튜디오,단행본,준영(극치),비성인,,현대로맨스,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111203,We're Nobody,We're Nobody,소설,키다리스튜디오,단행본,"베릴 K,베릴·K",비성인,여성향,현대로맨스,소설2팀,김인희,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111207,가난한 남자,가난한 남자,소설,키다리스튜디오,단행본,"령후,최정화 (령후)",비성인,,현대로맨스,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111260,감자,감자,소설,키다리스튜디오,단행본,김동인,비성인,기타,"일반서,기타",소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111305,거짓말,거짓말,소설,키다리스튜디오,단행본,령후,성인,,현대로맨스,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111330,검(劍),검(劍),소설,키다리스튜디오,단행본,천중행,비성인,남성향,무협,소설편집팀,이선근,7,0,7,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111345,검웅영제(무삭제 개정판),검웅영제(무삭제 개정판),소설,키다리스튜디오,단행본,천중행,성인,남성향,성인물,소설편집팀,이선근,4,0,4,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111350,검은 달의 전설,검은 달의 전설,소설,키다리스튜디오,단행본,아도인,비성인,,무협,소설편집팀,이선근,2,0,2,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111371,검혼무,검혼무,소설,키다리스튜디오,단행본,설풍,비성인,남성향,무협,소설편집팀,이선근,6,0,6,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111406,결혼 5년차 성 보고서,결혼 5년차 성 보고서,소설,키다리스튜디오,단행본,시나브로,성인,,일반서,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111422,경국지색,경국지색,소설,키다리스튜디오,단행본,이정운,비성인,,현대로맨스,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111445,고검사우객,고검사우객,소설,키다리스튜디오,단행본,고월,비성인,남성향,무협,소설편집팀,이선근,2,0,2,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111465,고애,고애,소설,키다리스튜디오,단행본,유리가면,성인,,성인물,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111467,고양이 여인,고양이 여인,소설,키다리스튜디오,단행본,이수,성인,,성인물,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111529,과외선생,과외선생,소설,키다리스튜디오,단행본,시나브로,성인,,일반서,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111556,광혈사혼무,광혈사혼무,소설,키다리스튜디오,단행본,설풍,비성인,,무협,소설편집팀,이선근,5,0,5,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111572,구룡겁,구룡겁,소설,키다리스튜디오,단행본,천중행,비성인,남성향,무협,소설편집팀,이선근,6,0,6,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111607,군(軍),군(軍),소설,키다리스튜디오,단행본,천중행,비성인,남성향,무협,소설편집팀,이선근,8,0,8,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111633,권태,권태,소설,키다리스튜디오,단행본,유리가면,성인,,성인물,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111648,귀혼열,귀혼열,소설,키다리스튜디오,단행본,종린,비성인,,무협,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111670,그 밤의 사정,그 밤의 사정,소설,키다리스튜디오,단행본,김애정,성인,,현대로맨스,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111725,그녀의 못된 거짓말,그녀의 못된 거짓말,소설,키다리스튜디오,단행본,"연정,연정(連靜)",비성인,,현대로맨스,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111747,그대와같이걸어요,그대와같이걸어요,소설,키다리스튜디오,단행본,해바라기i,비성인,여성향,현대로맨스,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111770,그리움도 쌓이면 짐이 된다,그리움도 쌓이면 짐이 된다,소설,키다리스튜디오,단행본,심형준,비성인,,일반서,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111821,금황,금황,소설,키다리스튜디오,단행본,선우궁,비성인,남성향,무협,소설편집팀,이선근,5,0,5,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
111850,길들이는 겁니까? 세트,길들이는 겁니까? 세트,소설,키다리스튜디오,단행본,반트,성인,,현대로맨스,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
