플랫폼,파일,상태,파싱행수,매핑입력행수,상품명행수,오류
교보,교보\4월\2026년 4월 교보문고 정산상세.xlsx,include,918,918,918,
구글,구글\4월\2026년 4월 구글 정산상세(법인세).xlsx,include,4393,4393,4393,
네이버,네이버\4월\2026년 4월 네이버 연재 정산상세.xlsx,include,537,537,537,
네이버,네이버\4월\2026년 4월 네이버 장르 정산상세.xlsx,include,570,570,570,
네이버,네이버\4월\선투자\2026년 4월 네이버 간딴 정산상세.xlsx,include,1,1,1,
네이버,네이버\4월\선투자\2026년 4월 네이버 김악개 정산상세.xlsx,include,1,1,1,
네이버,네이버\4월\선투자\2026년 4월 네이버 낙필 정산상세.xlsx,include,1,1,1,
네이버,네이버\4월\선투자\2026년 4월 네이버 북홀릭 정산상세.xlsx,include,1,1,1,
네이버,네이버\4월\선투자\2026년 4월 네이버 선투자 정산상세(통합).xlsx,review_gate_not_default,6,0,0,
네이버,네이버\4월\선투자\2026년 4월 네이버 차라리 정산상세.xlsx,include,1,1,1,
네이버,네이버\4월\선투자\2026년 4월 네이버 호수 정산상세.xlsx,include,1,1,1,
노벨피아,노벨피아\4월\2026년 4월 노벨피아 정산상세.xlsx,include,28,28,28,
로망띠끄,로망띠끄\4월\2026년 4월 로망띠끄 정산상세.xlsx,include,0,0,0,
리디북스,리디북스\3월\2026년 3월 리디 정산상세.xlsx,include,29958,29958,29958,
모픽,모픽\4월\2026년 4월 모픽 정산상세.xlsx,include,154,154,154,
무툰,무툰\4월\2026년 4월 무툰 정산상세.xlsx,include,537,537,537,
문피아,문피아\4월\2026년 4월 문피아 정산상세.xlsx,include,123,123,123,
미소설,미소설\4월\2026년 4월 미소설 정산상세.xlsx,include,106,106,106,
미스터블루,미스터블루\4월\2026년 4월 미스터블루 정산상세.xlsx,include,928,928,928,
밀리의서재,밀리의서재\4월\2026년 4월 밀리의서재 정산상세.xlsx,include,1427,1427,1427,
보인&국립장애인도서관,보인&국립장애인도서관\2026년 3월 국립장애인도서관 정산상세.xlsx,blocked_non_s2_source,184,0,0,
부커스,부커스\4월\2026년 4월 부커스 정산상세.xlsx,include,176,176,176,
북큐브,북큐브\4월\2026년 4월 북큐브(로맨스) 정산상세.xlsx,fallback_ooxml_text,0,141,141,"Unable to read workbook: could not read stylesheet from C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\01_공유폴더_정산서_샘플\37개플랫폼_최신월_정산상세\북큐브\4월\2026년 4월 북큐브(로맨스) 정산상세.xlsx.
This is most probably because the workbook source files contain some invalid XML.
Please see the exception for more details."
