판정등급,조치,플랫폼,S2판매채널명,S2판매채널ID,거래처코드,거래처명,판매채널콘텐츠ID,콘텐츠ID,콘텐츠명,정제키,판매채널콘텐츠_콘텐츠형태,지급정산관리_존재,정산서샘플_등장,사용안함_사용금지_표식,지급정산관리_판매채널명,지급정산관리_콘텐츠명,지급정산관리_콘텐츠ID,정산서샘플_등장파일
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,488477,109704,"(사용안함)_고인물, 무림에 가다·갈드,갈드,noaru_중복",고인물무림에가다·갈드갈드noaru중복,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,836893,111006,(사용안함)_독식하는 재벌 3세·서오_중복,독식하는재벌세·서오중복,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,675947,112663,(사용안함)_드래곤 엔터테인먼트,드래곤엔터테인먼트,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,489191,247289,(사용안함)_마왕이나노머신을숨김·갈드_중복,마왕이나노머신을숨김·갈드중복,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,565343,110024,(사용안함)_아포칼립스인데 나 혼자 농사·이루이_중복,아포칼립스인데나혼자농사·이루이중복,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,488818,247114,(사용안함)_음공천하·서호_중복,음공천하·서호중복,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,841549,322271,(사용안함)_이세계 2회차는 먼치킨 편집장으로 종횡무진합니다·쉴드태클_중복,이세계차는먼치킨편집장으로종횡무진합니다·쉴드태클중복,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,673307,109667,[사용안함]_MLB-메이저 리그_말리브해적,mlb메이저리그말리브해적,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,109840,109320,[사용안함]_M녀 조교_키제이,m녀조교키제이,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,109841,109321,[사용안함]_SM클럽_푸른산붉은꽃,sm클럽푸른산붉은꽃,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,808534,295583,[사용안함]_SM클럽_푸른산붉은꽃,sm클럽푸른산붉은꽃,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,896036,109671,[사용안함]_SSS급 괴물 사냥꾼_나 홀로 마법사_북홀릭,sss급괴물사냥꾼나홀로마법사북홀릭,소설,N,N,Y,,,,
