순수판정,조치,플랫폼,S2판매채널명,판매채널콘텐츠ID,판매채널ID,콘텐츠ID,콘텐츠명,콘텐츠형태,판매채널명,사용안함_사용금지_표식,지급정산관리_존재,지급정산관리_판매채널명,지급정산관리_콘텐츠명,지급정산관리_콘텐츠ID,IPS_존재,콘텐츠명_IPS,담당부서,담당자명,장르,세부장르,원본파일,판매채널콘텐츠ID_빈값,지급정산관리_지급정산상태,지급정산관리_승인상태,귀속법인,서비스유형,작가필명,등급
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),844482,87,319513,0_네임드·네임드 플레이어·망한 세상에서 나 혼자 각성·보스 몹이 너무 강함·사이코패스 살인마는 살고 싶다_민작가_일반,소설,교보문고(소설),N,N,,,,Y,0_네임드·네임드 플레이어·망한 세상에서 나 혼자 각성·보스 몹이 너무 강함·사이코패스 살인마는 살고 싶다_민작가_일반,소설편집팀,조원재,남성향,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,연재,,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),111696,87,111141,Dear,소설,교보문고(소설),N,N,,,,Y,Dear,소설편집팀,이선근,,현대로맨스,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,후카자와 진,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),701013,87,317820,GPS,소설,교보문고(소설),N,N,,,,Y,GPS,소설유통팀,김성경,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,,-
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),163679,87,160317,SEX실전테크닉,소설,교보문고(소설),N,N,,,,Y,SEX실전테크닉,소설2팀,김인희,기타,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,,성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),108430,87,107917,[10%할인] 질풍권 (전6권 완결),소설,교보문고(소설),N,N,,,,Y,[10%할인] 질풍권 (전6권 완결),소설편집팀,이선근,,무협,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,별도,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),109956,87,109435,[연재] 논 마라나타(non marana tha),소설,교보문고(소설),N,N,,,,Y,[연재] 논 마라나타(non marana tha),봄툰소설편집팀,허은지,여성향,BL,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,두고,성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),487081,87,111260,감자,소설,교보문고(소설),N,N,,,,Y,감자,소설편집팀,이선근,기타,"일반서,기타",교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,김동인,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),487098,87,246339,개와고양이의진실,소설,교보문고(소설),N,N,,,,Y,개와고양이의진실,소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,편집부,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),111985,87,111422,경국지색,소설,교보문고(소설),N,N,,,,Y,경국지색,소설편집팀,이선근,,현대로맨스,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,이정운,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),488202,87,160177,고검기,소설,교보문고(소설),N,N,,,,Y,고검기,소설편집팀,이선근,남성향,무협,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,와룡생,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),691568,87,312848,고양이의 안주인이 되어버렸다,소설,교보문고(소설),N,N,,,,Y,고양이의 안주인이 되어버렸다,소설유통팀,김성경,,로맨스,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,,-
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),160202,87,157479,광무록 제,소설,교보문고(소설),N,N,,,,Y,광무록 제,소설편집팀,이선근,,일반서,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,검궁인,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),163690,87,160328,그놈의달콤한키스는슬프고도아름다운유혹,소설,교보문고(소설),N,N,,,,Y,그놈의달콤한키스는슬프고도아름다운유혹,소설2팀,김인희,여성향,현대로맨스,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,엄마쟤흙먹어,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),112345,87,111770,그리움도 쌓이면 짐이 된다,소설,교보문고(소설),N,N,,,,Y,그리움도 쌓이면 짐이 된다,소설편집팀,이선근,,일반서,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,심형준,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),163133,87,160065,금검지,소설,교보문고(소설),N,N,,,,Y,금검지,소설편집팀,이선근,남성향,무협,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,와룡생,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),488198,87,246945,금수사,소설,교보문고(소설),N,N,,,,Y,금수사,소설편집팀,이선근,,무협,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,"와룡생,와룡생 | 왕문정 번역",비성인
