순수판정,조치,플랫폼,S2판매채널명,판매채널콘텐츠ID,판매채널ID,콘텐츠ID,콘텐츠명,콘텐츠형태,판매채널명,사용안함_사용금지_표식,지급정산관리_존재,지급정산관리_판매채널명,지급정산관리_콘텐츠명,지급정산관리_콘텐츠ID,IPS_존재,콘텐츠명_IPS,담당부서,담당자명,장르,세부장르,원본파일,판매채널콘텐츠ID_빈값,지급정산관리_지급정산상태,지급정산관리_승인상태,귀속법인,서비스유형,작가필명,등급
02_사용안함_사용금지_선차단,사용안함/사용금지 표식. 매핑 기준에서 선 차단.,교보,교보문고(소설),488477,87,109704,"(사용안함)_고인물, 무림에 가다·갈드,갈드,noaru_중복",소설,교보문고(소설),Y,N,,,,Y,"(사용안함)_고인물, 무림에 가다·갈드,갈드,noaru_중복",소설편집팀,조원재,남성향,"무협,기타",교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,연재,"갈드,갈드,noaru",비성인
02_사용안함_사용금지_선차단,사용안함/사용금지 표식. 매핑 기준에서 선 차단.,교보,교보문고(소설),836893,87,111006,(사용안함)_독식하는 재벌 3세·서오_중복,소설,교보문고(소설),Y,N,,,,Y,(사용안함)_독식하는 재벌 3세·서오_중복,소설편집팀,이선근,남성향,판타지,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,연재,서오,비성인
02_사용안함_사용금지_선차단,사용안함/사용금지 표식. 매핑 기준에서 선 차단.,교보,교보문고(소설),675947,87,112663,(사용안함)_드래곤 엔터테인먼트,소설,교보문고(소설),Y,N,,,,Y,(사용안함)_드래곤 엔터테인먼트,소설편집팀,조원재,남성향,판타지,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,지미신,비성인
02_사용안함_사용금지_선차단,사용안함/사용금지 표식. 매핑 기준에서 선 차단.,교보,교보문고(소설),489191,87,247289,(사용안함)_마왕이나노머신을숨김·갈드_중복,소설,교보문고(소설),Y,N,,,,Y,(사용안함)_마왕이나노머신을숨김·갈드_중복,소설편집팀,조원재,남성향,판타지,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,,비성인
02_사용안함_사용금지_선차단,사용안함/사용금지 표식. 매핑 기준에서 선 차단.,교보,교보문고(소설),565343,87,110024,(사용안함)_아포칼립스인데 나 혼자 농사·이루이_중복,소설,교보문고(소설),Y,N,,,,Y,(사용안함)_아포칼립스인데 나 혼자 농사·이루이_중복,소설편집팀,조원재,여성향,로맨스판타지,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,연재,이루이,비성인
02_사용안함_사용금지_선차단,사용안함/사용금지 표식. 매핑 기준에서 선 차단.,교보,교보문고(소설),488818,87,247114,(사용안함)_음공천하·서호_중복,소설,교보문고(소설),Y,N,,,,Y,(사용안함)_음공천하·서호_중복,소설편집팀,조원재,남성향,판타지,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,,비성인
02_사용안함_사용금지_선차단,사용안함/사용금지 표식. 매핑 기준에서 선 차단.,교보,교보문고(소설),841549,87,322271,(사용안함)_이세계 2회차는 먼치킨 편집장으로 종횡무진합니다·쉴드태클_중복,소설,교보문고(소설),Y,N,,,,Y,(사용안함)_이세계 2회차는 먼치킨 편집장으로 종횡무진합니다·쉴드태클_중복,운영팀,김부용,남성향,판타지,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,연재,,성인
02_사용안함_사용금지_선차단,사용안함/사용금지 표식. 매핑 기준에서 선 차단.,교보,교보문고(소설),673307,87,109667,[사용안함]_MLB-메이저 리그_말리브해적,소설,교보문고(소설),Y,N,,,,Y,[사용안함]_MLB-메이저 리그_말리브해적,소설편집팀,조원재,남성향,판타지,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,연재,"말리브의해적,말리브해적",비성인
02_사용안함_사용금지_선차단,사용안함/사용금지 표식. 매핑 기준에서 선 차단.,교보,교보문고(소설),109840,87,109320,[사용안함]_M녀 조교_키제이,소설,교보문고(소설),Y,N,,,,Y,[사용안함]_M녀 조교_키제이,소설편집팀,조원재,남성향,성인물,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,키제이,성인
02_사용안함_사용금지_선차단,사용안함/사용금지 표식. 매핑 기준에서 선 차단.,교보,교보문고(소설),109841,87,109321,[사용안함]_SM클럽_푸른산붉은꽃,소설,교보문고(소설),Y,N,,,,Y,[사용안함]_SM클럽_푸른산붉은꽃,소설편집팀,조원재,남성향,성인물,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,푸른산붉은꽃,성인
