상태,플랫폼,S2판매채널명,파일,행수,오류
success,교보,교보문고(소설),교보문고(소설)_원본.xlsx,3370,
success,교보,교보문고(톡소다),교보문고(톡소다)_원본.xlsx,600,
success,구글,구글(소설),구글(소설)_원본.xlsx,3530,
success,네이버,네이버_연재,네이버_연재_원본.xlsx,897,
success,네이버,네이버_연재(광고수익),네이버_연재(광고수익)_원본.xlsx,1272,
success,네이버,네이버_일반,네이버_일반_원본.xlsx,3272,
success,네이버,네이버_장르,네이버_장르_원본.xlsx,1900,
success,네이버,네이버_장르(광고수익),네이버_장르(광고수익)_원본.xlsx,2874,
success,노벨피아,노벨피아 (소설),노벨피아 (소설)_원본.xlsx,348,
success,로망띠끄,로망띠끄,로망띠끄_원본.xlsx,948,
success,리디북스,리디북스(이벤트),리디북스(이벤트)_원본.xlsx,3571,
success,모픽,모픽(mofic),모픽(mofic)_원본.xlsx,680,
success,무툰,무툰(소설 서비스),무툰(소설 서비스)_원본.xlsx,3081,
success,문피아,문피아(후원금 정산),문피아(후원금 정산)_원본.xlsx,796,
success,미소설,미소설,미소설_원본.xlsx,767,
success,미스터블루,미스터블루(소설),미스터블루(소설)_원본.xlsx,9668,
success,밀리의서재,밀리의 서재,밀리의 서재_원본.xlsx,428,
success,보인&국립장애인도서관,국립장애인도서관,국립장애인도서관_원본.xlsx,113,
success,보인&국립장애인도서관,보인,보인_원본.xlsx,144,
success,부커스,부커스,부커스_원본.xlsx,328,
success,북큐브,북큐브(소설),북큐브(소설)_원본.xlsx,3663,
success,북팔,북팔(소설),북팔(소설)_원본.xlsx,1150,
success,북팔,예원북스(북팔),예원북스(북팔)_원본.xlsx,265,
success,블라이스,블라이스 셀렉트,블라이스 셀렉트_원본.xlsx,348,
success,블라이스,블라이스_인앱결제,블라이스_인앱결제_원본.xlsx,569,
success,블라이스,블라이스_일반결제,블라이스_일반결제_원본.xlsx,995,
success,스낵북,스낵북(알에스),스낵북(알에스)_원본.xlsx,522,
success,스토린랩,스토린랩(원스토어),스토린랩(원스토어)_원본.xlsx,2068,
success,신영미디어,신영미디어,신영미디어_원본.xlsx,373,
success,알라딘,알라딘(소설)(1068659313),알라딘(소설)(1068659313)_원본.xlsx,1373,
success,에이블리,에이블리(소설),에이블리(소설)_원본.xlsx,474,
success,에피루스,에피루스 이북클럽(B2C),에피루스 이북클럽(B2C)_원본.xlsx,871,
success,예스24,Yes24(서점),Yes24(서점)_원본.xlsx,3996,
success,예스24,Yes24(시프트북스),Yes24(시프트북스)_원본.xlsx,247,
success,올툰,올툰,올툰_원본.xlsx,826,
success,올툰,올툰(소설),올툰(소설)_원본.xlsx,336,
success,원스토어,원스토어(소설),원스토어(소설)_원본.xlsx,9999,
success,윌라,윌라(오디오북),윌라(오디오북)_원본.xlsx,247,
success,윌라,윌라(전자책),윌라(전자책)_원본.xlsx,500,
success,조아라,조아라(소설),조아라(소설)_원본.xlsx,1264,
success,카카오,카카오페이지(선투자),카카오페이지(선투자)_원본.xlsx,760,
success,카카오,카카오페이지(소설),카카오페이지(소설)_원본.xlsx,1244,
success,카카오,카카오페이지(창작지원금),카카오페이지(창작지원금)_원본.xlsx,1334,
success,큐툰,큐툰(소설 서비스),큐툰(소설 서비스)_원본.xlsx,415,
success,토스(구루컴퍼니),구루컴퍼니,구루컴퍼니_원본.xlsx,807,
success,토스(구루컴퍼니),토스(소설),토스(소설)_원본.xlsx,620,
success,판무림,판무림,판무림_원본.xlsx,9127,
success,피우리(누온),누온,누온_원본.xlsx,2398,
success,피플앤스토리,피플앤스토리 (P2P 웹소설 서비스),피플앤스토리 (P2P 웹소설 서비스)_원본.xlsx,1749,
success,하이북,웹소설 하이북,웹소설 하이북_원본.xlsx,3544,
success,한아름,한아름(P000003716),한아름(P000003716)_원본.xlsx,7442,
