플랫폼,S2판매채널명,01_정산정보없음_판매채널콘텐츠ID,02_사용안함_사용금지_선차단,03_정상_지급정산관리존재
교보,교보문고(소설),97,103,3170
교보,교보문고(톡소다),14,60,526
구글,구글(소설),63,80,3387
네이버,네이버_연재,22,49,826
네이버,네이버_연재(광고수익),25,47,1200
네이버,네이버_일반,17,8,3247
네이버,네이버_장르,56,44,1800
네이버,네이버_장르(광고수익),27,40,2807
노벨피아,노벨피아 (소설),3,20,325
로망띠끄,로망띠끄,15,9,924
리디북스,리디북스(이벤트),24,60,3487
모픽,모픽(mofic),3,29,648
무툰,무툰(소설 서비스),46,92,2943
문피아,문피아(후원금 정산),10,18,768
미소설,미소설,12,56,699
미스터블루,미스터블루(소설),276,111,9281
밀리의서재,밀리의 서재,12,20,396
보인&국립장애인도서관,국립장애인도서관,1,5,107
보인&국립장애인도서관,보인,5,6,133
부커스,부커스,4,16,308
북큐브,북큐브(소설),24,76,3563
북팔,북팔(소설),9,36,1105
북팔,예원북스(북팔),4,10,251
블라이스,블라이스 셀렉트,46,50,252
블라이스,블라이스_인앱결제,4,45,520
블라이스,블라이스_일반결제,12,56,927
스낵북,스낵북(알에스),10,61,451
스토린랩,스토린랩(원스토어),39,12,2017
신영미디어,신영미디어,5,8,360
알라딘,알라딘(소설)(1068659313),31,80,1262
에이블리,에이블리(소설),6,18,450
에피루스,에피루스 이북클럽(B2C),23,61,787
예스24,Yes24(서점),53,82,3861
예스24,Yes24(시프트북스),4,8,235
올툰,올툰,414,8,404
올툰,올툰(소설),3,8,325
원스토어,원스토어(소설),186,118,9695
윌라,윌라(오디오북),6,9,232
윌라,윌라(전자책),3,64,433
조아라,조아라(소설),18,49,1197
카카오,카카오페이지(선투자),43,39,678
카카오,카카오페이지(소설),25,47,1172
카카오,카카오페이지(창작지원금),42,45,1247
큐툰,큐툰(소설 서비스),3,9,403
토스(구루컴퍼니),구루컴퍼니,412,8,387
토스(구루컴퍼니),토스(소설),5,34,581
판무림,판무림,68,81,8978
피우리(누온),누온,13,9,2376
피플앤스토리,피플앤스토리 (P2P 웹소설 서비스),11,11,1727
하이북,웹소설 하이북,47,67,3430
한아름,한아름(P000003716),255,72,7115
