플랫폼,01_정산정보없음_판매채널콘텐츠ID,02_사용안함_사용금지_선차단,03_정상_지급정산관리존재
교보,111,163,3696
구글,63,80,3387
네이버,147,188,9880
노벨피아,3,20,325
로망띠끄,15,9,924
리디북스,24,60,3487
모픽,3,29,648
무툰,46,92,2943
문피아,10,18,768
미소설,12,56,699
미스터블루,276,111,9281
밀리의서재,12,20,396
보인&국립장애인도서관,6,11,240
부커스,4,16,308
북큐브,24,76,3563
북팔,13,46,1356
블라이스,62,151,1699
스낵북,10,61,451
스토린랩,39,12,2017
신영미디어,5,8,360
알라딘,31,80,1262
에이블리,6,18,450
에피루스,23,61,787
예스24,57,90,4096
올툰,417,16,729
원스토어,186,118,9695
윌라,9,73,665
조아라,18,49,1197
카카오,110,131,3097
큐툰,3,9,403
토스(구루컴퍼니),417,42,968
판무림,68,81,8978
피우리(누온),13,9,2376
피플앤스토리,11,11,1727
하이북,47,67,3430
한아름,255,72,7115
